subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Nikolai_Gogol,Text:has_text,writing,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Temporal_collocation:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Nose_(opera),Grasp:has_theme,reader,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Text_creation:has_text,short-story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russian_language,Text:has_text,novelist,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Quantified_mass:has_theme,writers and critics,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Text:has_text,writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Experiencer_focus:has_theme,"Tsar Nicholas I, who",0.9,Unknown,True
http://en.wikipedia.org/wiki/Vladimir_Nabokov,Political_locales:has_theme,Ukrainian Cossack,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Objective_influence:has_theme,"his Ukrainian upbringing, Ukrainian culture and folklore",0.9,Unknown,True
http://en.wikipedia.org/wiki/Viktor_Shklovsky,Attributed_information:has_theme,"Gogol used the technique of defamiliarization, whereby a writer presents common things in an unfamiliar or strange way so that the reader can gain new perspectives and see the world differently",0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Cause_to_perceive:has_agent,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Quantified_mass:has_quantity,Many,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Nose_(opera),Grasp:has_theme,differently,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nikolai_Gogol,Labor_product:has_theme,work,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Becoming_aware:has_theme,Many writers and critics,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Be_subset_of:has_theme,his best-known works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Vladimir_Nabokov,Arriving:has_theme,We all,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Cause_to_perceive:has_theme,unfamiliar or strange way so that the reader can gain new perspectives and see the world differently,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Be_subset_of:has_theme,"novel Taras Bulba (1835 ), the play Marriage (1842 ), and the short stories "" The Tale of How Ivan Ivanovich Quarreled with Ivan Nikiforovich "", "" The Portrait "", and "" The Carriage ",0.9,Unknown,True
http://en.wikipedia.org/wiki/Vladimir_Nabokov,Political_locales:has_theme,http://en.wikipedia.org/wiki/Velyki_Sorochyntsi,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Familiarity:has_entity,way,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Portrait_(short_story),Statement:has_speaker,"Fyodor Dostoevsky, Mikhail Saltykov-Shchedrin, Rynosuke Akutagawa, Franz Kafka, Mikhail Bulgakov, Vladimir Nabokov, Flannery O'Connor and others",0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Being_named:has_entity,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Cause_to_perceive:has_theme,common things,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ukrainians_in_Russia,Reference_text:has_theme,Gogol (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/Ukrainians_in_Russia,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nikolai_Gogol,Using:has_instrument,"technique of defamiliarization, whereby a writer presents common things in an unfamiliar or strange way so that the reader can gain new perspectives and see the world differently",0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Duration_description:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russian_language,Political_locales:has_theme,Empire,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Nose_(opera),Capability:has_entity,reader,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Objective_influence:has_theme,"Russian, Ukrainian and world literature",0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Text:has_text,Taras Bulba,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Getting:has_theme,new perspectives,0.9,Unknown,True
http://en.wikipedia.org/wiki/Vladimir_Nabokov,Political_locales:has_theme,town,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ukraine,Origin:has_theme,origin,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Reading_perception:has_reader,reader,0.9,Unknown,True
http://en.wikipedia.org/wiki/Vladimir_Nabokov,Political_locales:has_theme,Poltava Governorate of the Russian Empire,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nikolai_Gogol,Being_born:has_location,"Ukrainian Cossack town of Sorochyntsi, in the Poltava Governorate of the Russian Empire",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nikolai_Gogol,Using:has_instrument,grotesque in his writings,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Nose_(opera),Judgment:has_reason,their proto-surrealist qualities,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Portrait_(short_story),Statement:has_message,Gogol's influence,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Nose_(opera),Judgment:has_evaluee,"These stories, and others such as "" Diary of a Madman ",0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Political_locales:has_theme,world,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Experiencer_focus:has_theme,his work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ukraine,Kinship:has_theme,http://en.wikipedia.org/wiki/Nikolai_Gogol,0.9,Unknown,True
http://en.wikipedia.org/wiki/Melchior_de_Vogüé,Statement:has_message,We all came out from under Gogol's Overcoat,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Text_creation:has_author,21 February] 1852,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Objective_influence:has_theme,Gogol's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Vladimir_Nabokov,Objective_influence:has_theme,Gogol's,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Being_named:has_theme,http://en.wikipedia.org/wiki/Nikolai_Gogol,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Objective_influence:has_theme,"His early works, such as Evenings on a Farm Near Dikanka",0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Becoming_aware:has_theme,"Gogol's deep influence on Russian, Ukrainian and world literature",0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Topic:has_theme,political corruption in contemporary Russia,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Nose_(opera),Capability:has_event,gain new perspectives and see the world differently,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Nose_(opera),Grasp:has_theme,world,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Getting:has_recipient,reader,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Familiarity:has_entity,perspectives,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Objective_influence:has_degree,deep,0.9,Unknown,True
http://en.wikipedia.org/wiki/East_Slavs,Topic:has_text,His later writing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Vladimir_Nabokov,Arriving:has_theme,out from under Gogol's Overcoat,0.9,Unknown,True
