Source,Target,Label,Frame
http://en.wikipedia.org/wiki/John_Milton,author,has entity,Origin
http://en.wikipedia.org/wiki/John_Milton,http://en.wikipedia.org/wiki/England,has theme,Origin
http://en.wikipedia.org/wiki/England,freedom,has theme,Desiring
http://en.wikipedia.org/wiki/John_Milton,as one of history's greatest poets,has reason,Fame
http://en.wikipedia.org/wiki/John_Milton,12 books,has text,Text_creation
http://en.wikipedia.org/wiki/John_Milton,fall of man,has theme,Inclusion
http://en.wikipedia.org/wiki/John_Milton,fame and recognition,has goal,Accomplishment
http://en.wikipedia.org/wiki/John_Milton,unrhymed verse,has instrument,Using
http://en.wikipedia.org/wiki/John_Milton,employ unrhymed verse outside of the theatre or translations,has theme,Ordinal_numbers
http://en.wikipedia.org/wiki/John_Milton,books,has text,Text
http://en.wikipedia.org/wiki/Paradise_Lost,"fall of man, including the temptation of Adam and Eve by the fallen angel Satan, and God's expulsion of them from the Garden of Eden",has theme,Topic
http://en.wikipedia.org/wiki/John_Milton,defences of freedom of speech and freedom of the press,has entity,Subjective_influence
http://en.wikipedia.org/wiki/John_Milton,history's most influential and impassioned defences of freedom of speech and freedom of the press,has theme,Be_subset_of
http://en.wikipedia.org/wiki/John_Milton,theatre,has theme,Fields
http://en.wikipedia.org/wiki/John_Milton,modern writer,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Paradise_Lost,Milton's reputation as one of history's greatest poets,has theme,Connecting_architecture
http://en.wikipedia.org/wiki/John_Milton,place,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/John_Milton,first modern writer,has agent,Using
http://en.wikipedia.org/wiki/John_Milton,words,has theme,Simple_name
http://en.wikipedia.org/wiki/Paradise_Lost,His 1667 epic poem Paradise Lost,has theme,Inclusion
http://en.wikipedia.org/wiki/John_Milton,words,has entity,Age
http://en.wikipedia.org/wiki/John_Milton,outside of the theatre or translations,has location,Using
http://en.wikipedia.org/wiki/John_Milton,other people,has entity,Being_named
http://en.wikipedia.org/wiki/Paradise_Lost,His 1667 epic poem Paradise Lost,has text,Text_creation
http://en.wikipedia.org/wiki/John_Milton,"poets such as William Blake, William Wordsworth, and Thomas Hardy",has theme,Judgment
http://en.wikipedia.org/wiki/John_Milton,as one of the preeminent writers in the English language,has category,Categorization
http://en.wikipedia.org/wiki/God,God,has theme,Removing
http://en.wikipedia.org/wiki/Paradise_Lost,Milton's politics,has item,Communicate_categorization
http://en.wikipedia.org/wiki/John_Milton,http://en.wikipedia.org/wiki/England,has text,Text_creation
http://en.wikipedia.org/wiki/John_Milton,freedom of speech and freedom of the press,has theme,Defending
http://en.wikipedia.org/wiki/John_Milton,writers,has text,Text_creation
http://en.wikipedia.org/wiki/Paradise_Lost,"as "" a poem which... with respect to design may claim the first place, and with respect to performance, the second, among the productions of the human mind ",has reason,Judgment_communication
http://en.wikipedia.org/wiki/John_Milton,"generally regarded "" as one of the preeminent writers in the English language ",has state,State_continue
http://en.wikipedia.org/wiki/John_Milton,new,has age,Age
http://en.wikipedia.org/wiki/Paradise_Lost,"12 books, written in a time of immense religious flux and political upheaval",has theme,Inclusion
http://en.wikipedia.org/wiki/Paradise_Lost,Samuel Johnson,has theme,Judgment_communication
http://en.wikipedia.org/wiki/John_Milton,history's,has theme,Defending
http://en.wikipedia.org/wiki/Paradise_Lost,"as those of an "" acrimonious and surly republican",has category,Communicate_categorization
http://en.wikipedia.org/wiki/John_Milton,impassioned,has theme,Defending
http://en.wikipedia.org/wiki/John_Milton,modern verse,has text,Text_creation
http://en.wikipedia.org/wiki/John_Milton,English language,has theme,Text_creation
http://en.wikipedia.org/wiki/John_Milton,His celebrated Areopagitica 1644 condemning pre-publication censorship,has theme,Be_subset_of
http://en.wikipedia.org/wiki/John_Milton,poem,has text,Text
http://en.wikipedia.org/wiki/Paradise_Lost,blank verse,has theme,Text_creation
http://en.wikipedia.org/wiki/God,http://en.wikipedia.org/wiki/Garden_of_Eden,has theme,Removing
http://en.wikipedia.org/wiki/John_Milton,pre-publication censorship,has theme,Judgment_communication
http://en.wikipedia.org/wiki/John_Milton,his biographer William Hayley,has theme,Categorization
http://en.wikipedia.org/wiki/John_Milton,people,has class,Increment
http://en.wikipedia.org/wiki/John_Milton,place,has theme,Locale
http://en.wikipedia.org/wiki/John_Milton,Milton's,has entity,Fame
http://en.wikipedia.org/wiki/John_Milton,among the productions of the human mind,has theme,Ordinal_numbers
http://en.wikipedia.org/wiki/John_Milton,"as the "" greatest English author ",has category,Categorization
http://en.wikipedia.org/wiki/John_Milton,centuries,has theme,Measure_duration
http://en.wikipedia.org/wiki/John_Milton,poets,has text,Text
http://en.wikipedia.org/wiki/John_Milton,people,has person,People
http://en.wikipedia.org/wiki/John_Milton,"temptation of Adam and Eve by the fallen angel Satan, and God's expulsion of them from the Garden of Eden",has theme,Inclusion
http://en.wikipedia.org/wiki/John_Milton,which,has theme,Inclusion
http://en.wikipedia.org/wiki/John_Milton,verse,has theme,Expertise
http://en.wikipedia.org/wiki/John_Milton,time of immense religious flux and political upheaval,has time,Text_creation
http://en.wikipedia.org/wiki/John_Milton,during his lifetime,has time,Accomplishment
http://en.wikipedia.org/wiki/John_Milton,His celebrated Areopagitica 1644,has theme,Judgment_communication
http://en.wikipedia.org/wiki/John_Milton,"his introduction of new words to the English language, coined from Latin and Ancient Greek",has theme,Inclusion
