Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Han_Chinese,which,has cause,Causation
http://en.wikipedia.org/wiki/Cao_Xueqin,Cao Yin's,has theme,Kinship
http://en.wikipedia.org/wiki/Cao_Xueqin,as the author of Dream of the Red Chamber,has theme,Being_named
http://en.wikipedia.org/wiki/Qing_dynasty,His birth date can be confined to between 1715 and 1724,has theme,Evidence
http://en.wikipedia.org/wiki/Cao_Xueqin,Cao Yin,has person,People
http://en.wikipedia.org/wiki/Cao_Xueqin,After the Plain White Banner was put under the direct jurisdiction of the Qing emperor,has time,Activity_start
http://en.wikipedia.org/wiki/Cao_Xueqin,friends,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Han_Chinese,era,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Cao_Xueqin,Cao Zhan,has entity,Being_named
http://en.wikipedia.org/wiki/Jiankang,family,has theme,Kinship
http://en.wikipedia.org/wiki/Cao_Xueqin,Cao Zhan  ,has theme,Being_named
http://en.wikipedia.org/wiki/Lady_Sun,"Cao Yin's mother, Lady Sun  ",has theme,Medical_professionals
http://en.wikipedia.org/wiki/Cao_Xueqin,family,has theme,Kinship
http://en.wikipedia.org/wiki/Han_Chinese,book,has text,Text
http://en.wikipedia.org/wiki/Jiankang,his ascension,has theme,Time_vector
http://en.wikipedia.org/wiki/Jiankang,http://en.wikipedia.org/wiki/Kangxi_Emperor,has theme,Appointing
http://en.wikipedia.org/wiki/Cao_Xueqin,Mengruan,has theme,Being_named
http://en.wikipedia.org/wiki/Han_Chinese,"Cao grandfather, Cao Yin  , was a childhood playmate to Kangxi",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Han_Chinese,http://en.wikipedia.org/wiki/Cao_Zhen,has theme,Death
http://en.wikipedia.org/wiki/Qing_dynasty,Cao was forty and nearly fifty respectively when he died,has message,Statement
http://en.wikipedia.org/wiki/Han_Chinese,emperor,has leader,Leadership
http://en.wikipedia.org/wiki/Han_Chinese,Cao's family began to serve in civil positions of the Imperial Household Department,has event,Time_vector
http://en.wikipedia.org/wiki/Qing_dynasty,novelist and poet,has entity,Origin
http://en.wikipedia.org/wiki/Han_Chinese,http://en.wikipedia.org/wiki/Qing_dynasty,has theme,Leadership
http://en.wikipedia.org/wiki/Han_Chinese,His ancestors,has theme,Differentiation
http://en.wikipedia.org/wiki/Jonathan_Spence,Jonathan Spence,has speaker,Statement
http://en.wikipedia.org/wiki/Han_Chinese,late,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Qing_dynasty,his friends – Duncheng   and Zhang Yiquan  ,has author,Text
http://en.wikipedia.org/wiki/Han_Chinese,as officials,has theme,Assigned_location
http://en.wikipedia.org/wiki/Kangxi_Emperor,Kangxi's,has theme,Certainty
http://en.wikipedia.org/wiki/Han_Chinese,civil positions of the Imperial Household Department,has goal,Assistance
http://en.wikipedia.org/wiki/Han_Chinese,there,has location,Moving_in_place
http://en.wikipedia.org/wiki/Han_Chinese,1610s,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Han_Chinese,family,has theme,Moving_in_place
http://en.wikipedia.org/wiki/Jiankang,"Cao Xueqin's great-grandfather, Cao Xi  ",has theme,Appointing
http://en.wikipedia.org/wiki/Cao_Xueqin,Chinese novelist and poet 1710–1765,has entity,Being_named
http://en.wikipedia.org/wiki/Cao_Xueqin,serve in civil positions of the Imperial Household Department,has activity,Activity_start
http://en.wikipedia.org/wiki/Jiankang,http://en.wikipedia.org/wiki/Kangxi_Emperor,has theme,Intentional_traversing
http://en.wikipedia.org/wiki/Han_Chinese,military,has type,Rite
http://en.wikipedia.org/wiki/Cao_Xueqin,courtesy,has type,Being_named
http://en.wikipedia.org/wiki/Han_Chinese,Qing emperor,has agent,Authority
http://en.wikipedia.org/wiki/Han_Chinese,clan's,has leader,Leadership
http://en.wikipedia.org/wiki/Cao_Xueqin,letters,has theme,People
http://en.wikipedia.org/wiki/Qing_dynasty,poems,has text,Text
http://en.wikipedia.org/wiki/Han_Chinese,"Cao Yin's mother, Lady Sun  , was Kangxi's wet nurse",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Han_Chinese,servants,has person,People_by_vocation
http://en.wikipedia.org/wiki/Jiankang,"Kangxi appointed Cao Xueqin's great-grandfather, Cao Xi  , as the Commissioner of Imperial Textiles   in Jiangning present-day Nanjing ",has event,Time_vector
http://en.wikipedia.org/wiki/Cao_Xueqin,Cao Xueqin's,has theme,Death
http://en.wikipedia.org/wiki/Cao_Xueqin,mother,has theme,Kinship
http://en.wikipedia.org/wiki/Jiankang,as the Commissioner of Imperial Textiles   in Jiangning present-day Nanjing ,has role,Appointing
http://en.wikipedia.org/wiki/Cao_Xueqin,name,has theme,Being_named
http://en.wikipedia.org/wiki/Qing_dynasty,matter,has theme,Discussion
http://en.wikipedia.org/wiki/Qing_dynasty,Chinese,has theme,Origin
http://en.wikipedia.org/wiki/Han_Chinese,clan,has theme,Kinship
http://en.wikipedia.org/wiki/Han_Chinese,one,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Cao_Xueqin,Cao's,has theme,Kinship
http://en.wikipedia.org/wiki/Cao_Xueqin,Chinese,has entity,Being_named
http://en.wikipedia.org/wiki/Cao_Xueqin,grandfather,has theme,Kinship
http://en.wikipedia.org/wiki/Lady_Sun,Kangxi's,has theme,Medical_professionals
http://en.wikipedia.org/wiki/Han_Chinese,military,has theme,Military
http://en.wikipedia.org/wiki/Qing_dynasty,which,has theme,Statement
http://en.wikipedia.org/wiki/Han_Chinese,1684,has time,Death
http://en.wikipedia.org/wiki/Eight_Banners,ancestors,has theme,Kinship
http://en.wikipedia.org/wiki/Cao_Xueqin,Han Chinese clan that was brought into personal service as booi aha or bondservants of Cigu Niru,has theme,Being_born
http://en.wikipedia.org/wiki/Cao_Xueqin,Cao's family,has agent,Activity_start
http://en.wikipedia.org/wiki/Cao_Xueqin,"Dream of the Red Chamber, one of the Four Great Classical Novels of Chinese literature",has text,Text_creation
http://en.wikipedia.org/wiki/Han_Chinese,Imperial Household bond,has theme,People_by_vocation
http://en.wikipedia.org/wiki/Han_Chinese,held posts as officials which brought both prestige and wealth,has theme,Relative_time
http://en.wikipedia.org/wiki/Kangxi_Emperor,confidant,has theme,Certainty
http://en.wikipedia.org/wiki/Qing_dynasty,elegiac poems by his friends – Duncheng   and Zhang Yiquan   – which stated Cao was forty and nearly fifty respectively when he died,has theme,Evidence
http://en.wikipedia.org/wiki/Han_Chinese,era's most prominent men of letters and a keen book collector,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Jiankang,Two,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Han_Chinese,themselves,has theme,Differentiation
http://en.wikipedia.org/wiki/Han_Chinese,Cao's family,has theme,Assistance
http://en.wikipedia.org/wiki/Han_Chinese,direct,has theme,Authority
http://en.wikipedia.org/wiki/Han_Chinese,Han Chinese,has theme,Kinship
http://en.wikipedia.org/wiki/Han_Chinese,both prestige and wealth,has effect,Causation
http://en.wikipedia.org/wiki/Jonathan_Spence,strong Manchu element in the lives of these Imperial Household bond servants,has message,Statement
http://en.wikipedia.org/wiki/Han_Chinese,through military service in the Plain White Banner of the Eight Banners,has quality,Differentiation
http://en.wikipedia.org/wiki/Han_Chinese,Manchu element,has theme,Level_of_force_exertion
http://en.wikipedia.org/wiki/Han_Chinese,officials,has leader,Leadership
http://en.wikipedia.org/wiki/Han_Chinese,His ancestors,has theme,Assigned_location
http://en.wikipedia.org/wiki/Jiankang,Two years,has theme,Time_vector
http://en.wikipedia.org/wiki/Cao_Xueqin,Cao Xueqin's,has child,Giving_birth
