Source,Target,Label,Frame
http://en.wikipedia.org/wiki/New_Jersey,chief,has leader,Leadership
http://en.wikipedia.org/wiki/American_poetry,1963,has time,Cognitive_connection
http://en.wikipedia.org/wiki/New_Jersey,which,has entity,Being_named
http://en.wikipedia.org/wiki/New_Jersey,Some,has theme,Proportional_quantity
http://en.wikipedia.org/wiki/The_Waste_Land,as breaking through the alienation of the near at hand and reviving its wonder,has category,Categorization
http://en.wikipedia.org/wiki/American_poetry,1923,has time,Calendric_unit
http://en.wikipedia.org/wiki/William_Carlos_Williams, The Great Figure,has text,Text
http://en.wikipedia.org/wiki/The_Waste_Land,real original emphasis function of the imagination,has item,Categorization
http://en.wikipedia.org/wiki/New_Jersey,poems,has text,Text
http://en.wikipedia.org/wiki/New_Jersey,St. Mary's,has theme,Buildings
http://en.wikipedia.org/wiki/New_Jersey,"his best known poems, "" This Is Just to Say "" and "" The Red Wheelbarrow",has theme,Proportional_quantity
http://en.wikipedia.org/wiki/Little_Men,his point of view,has theme,Expressing_publicly
http://en.wikipedia.org/wiki/New_Jersey,Hospital,has theme,Buildings
http://en.wikipedia.org/wiki/New_Jersey,arts,has activity,Craft
http://en.wikipedia.org/wiki/Williams_College,his democracy,has theme,Expressing_publicly
http://en.wikipedia.org/wiki/Williams_College,"that the differences between men are less important than their similarities—that he and you and I, together, are the Little Men",has message,Statement
http://en.wikipedia.org/wiki/Williams_College,through his way of speaking,has means,Expressing_publicly
http://en.wikipedia.org/wiki/New_Jersey,"Paterson, New Jersey",has item,Categorization
http://en.wikipedia.org/wiki/Liberia_national_football_team,poetry such as I did not know,has message,Request
http://en.wikipedia.org/wiki/The_Waste_Land,"his poem "" The Great Figure ",has entity,Subjective_influence
http://en.wikipedia.org/wiki/Liberia_national_football_team,as,has theme,Awareness
http://en.wikipedia.org/wiki/American_poetry,poet and physician,has entity,Origin
http://en.wikipedia.org/wiki/Charles_Demuth,Gold,has location,Perception_experience
http://en.wikipedia.org/wiki/American_poetry,closely,has degree,Cognitive_connection
http://en.wikipedia.org/wiki/New_Jersey,Poems,has text,Text
http://en.wikipedia.org/wiki/Little_Men,men,has person,People
http://en.wikipedia.org/wiki/The_Waste_Land,wake of T. S. Eliot's The Waste Land 1922,has time,Text_creation
http://en.wikipedia.org/wiki/The_Waste_Land,His Spring and All 1923,has text,Text_creation
http://en.wikipedia.org/wiki/New_Jersey,pediatrics,has theme,Leadership
http://en.wikipedia.org/wiki/New_Jersey,http://en.wikipedia.org/wiki/William_Carlos_Williams,has theme,Death
http://en.wikipedia.org/wiki/New_Jersey,1924,has time,Buildings
http://en.wikipedia.org/wiki/New_Jersey,poems,has class,Increment
http://en.wikipedia.org/wiki/New_Jersey,http://en.wikipedia.org/wiki/William_Carlos_Williams,has theme,Objective_influence
http://en.wikipedia.org/wiki/New_Jersey,visual,has culture,Craft
http://en.wikipedia.org/wiki/Little_Men,between men,has theme,Similarity
http://en.wikipedia.org/wiki/Randall_Jarrell,"that Williams "" feels, not just says, that the differences between men are less important than their similarities—that he and you and I, together, are the Little Men",has message,Statement
http://en.wikipedia.org/wiki/American_poetry,http://en.wikipedia.org/wiki/Americans,has theme,Origin
http://en.wikipedia.org/wiki/New_Jersey,hospital,has theme,Buildings
http://en.wikipedia.org/wiki/New_Jersey,1924,has time,Death
http://en.wikipedia.org/wiki/New_Jersey,that,has theme,Statement
http://en.wikipedia.org/wiki/Charles_Demuth,Figure 5 in Gold by Charles Demuth,has theme,Perception_experience
http://en.wikipedia.org/wiki/New_Jersey,as St. Mary's General Hospital,has theme,Being_named
http://en.wikipedia.org/wiki/William_Carlos_Williams,1963,has time,People_by_vocation
http://en.wikipedia.org/wiki/William_Carlos_Williams,http://en.wikipedia.org/wiki/Americans,has theme,People_by_vocation
http://en.wikipedia.org/wiki/American_poetry,Spring,has theme,Calendric_unit
http://en.wikipedia.org/wiki/New_Jersey,We walk the wards that Williams walked,has message,Statement
http://en.wikipedia.org/wiki/Williams_College,that,has theme,Self_motion
http://en.wikipedia.org/wiki/American_poetry,1963,has time,Origin
http://en.wikipedia.org/wiki/New_Jersey,hospital's,has theme,Leadership
http://en.wikipedia.org/wiki/New_Jersey,best,has degree,Fame
http://en.wikipedia.org/wiki/New_Jersey,General,has type,Buildings
http://en.wikipedia.org/wiki/New_Jersey,"as "" my'case'to work up",has category,Categorization
http://en.wikipedia.org/wiki/New_Jersey,painting,has theme,Physical_artworks
