Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Weimar_Classicism,war and highway commissions,has group,Membership
http://en.wikipedia.org/wiki/Weimar,nearby Ilmenau,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Weimar,University,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,poet,has text,Text
http://en.wikipedia.org/wiki/Weimar,1791,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Weimar,years,has theme,Measure_duration
http://en.wikipedia.org/wiki/Weimar,novel,has type,Ordinal_numbers
"http://en.wikipedia.org/wiki/Anna_Amalia,_Abbess_of_Quedlinburg",managing,has theme,Leadership
"http://en.wikipedia.org/wiki/Anna_Amalia,_Abbess_of_Quedlinburg",theatre at Weimar,has theme,Leadership
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,German language,has theme,Subjective_influence
http://en.wikipedia.org/wiki/Weimar_Classicism,http://en.wikipedia.org/wiki/Weimar,has location,Membership
http://en.wikipedia.org/wiki/Weimar,ten,has theme,Measure_duration
http://en.wikipedia.org/wiki/Weimar_Classicism,1782,has time,Cause_emotion
http://en.wikipedia.org/wiki/Weimar_Classicism,Duke's privy council,has group,Membership
"http://en.wikipedia.org/wiki/Anna_Amalia,_Abbess_of_Quedlinburg",director,has leader,Leadership
http://en.wikipedia.org/wiki/Weimar_Classicism,http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,has theme,Cause_emotion
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,plays,has theme,Performing_arts
http://en.wikipedia.org/wiki/Weimar,mines,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,planning of Weimar's botanical park and the rebuilding of its Ducal Palace,has recipient,Giving
http://en.wikipedia.org/wiki/Weimar,he was made managing director of the theatre at Weimar,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,"literary, political, and philosophical thought in the Western world",has theme,Objective_influence
http://en.wikipedia.org/wiki/Weimar,silver,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,wide-ranging,has degree,Objective_influence
http://en.wikipedia.org/wiki/Weimar_Classicism,During his first ten years in Weimar,has time,Membership
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Sturm und Drang literary movement,has event,Participation
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,http://en.wikipedia.org/wiki/Weimar,has location,Activity_start
http://en.wikipedia.org/wiki/Weimar,Jena,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,http://en.wikipedia.org/wiki/Weimar,has location,Residence
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Weimar_Classicism,http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,has member,Membership
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,German language,has text,Text_creation
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,"wide range of works, including plays, poetry and aesthetic criticism, as well as treatises on botany, anatomy, and colour",has text,Text_creation
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,His work,has theme,Objective_influence
http://en.wikipedia.org/wiki/Weimar,"his first novel, The Sorrows of Young Werther 1774",has theme,Personal_success
http://en.wikipedia.org/wiki/Weimar,1805,has time,Death
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,writer,has entity,Subjective_influence
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,treatises,has text,Text
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,http://en.wikipedia.org/wiki/Weimar,has location,Execute_plan
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,works,has theme,Inclusion
http://en.wikipedia.org/wiki/Weimar_Classicism,http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,has entity,Becoming
http://en.wikipedia.org/wiki/Germany,uses,has class,Increment
http://en.wikipedia.org/wiki/Weimar_Classicism,"Karl August, Duke of Saxe-Weimar",has agent,Cause_emotion
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,wide,has theme,Dimension
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,"botany, anatomy, and colour",has theme,Text
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,who,has item,Categorization
http://en.wikipedia.org/wiki/Weimar,ten years,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Weimar_Classicism,During his first ten years in Weimar,has time,Becoming
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,range,has object,Dimension
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,whose plays,has theme,Leadership
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,series of administrative reforms at the University of Jena,has plan,Execute_plan
http://en.wikipedia.org/wiki/Weimar,theatre,has theme,Buildings
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,18th century,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,During his first ten years in Weimar,has time,Execute_plan
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,"friendship with the dramatist, historian, and philosopher Friedrich Schiller, whose plays he premiered until Schiller's death in 1805",has activity,Activity_start
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,early,has time,Participation
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,war and highway commissions,has location,Posture
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,as the most influential writer in the German language,has category,Categorization
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,participant in the Sturm und Drang literary movement,has theme,Relative_time
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,http://en.wikipedia.org/wiki/Weimar,has location,Leadership
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,late 18th century to the present,has time,Objective_influence
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,"http://en.wikipedia.org/wiki/Karl_August,_Grand_Duke_of_Saxe-Weimar-Eisenach",has theme,Giving
http://en.wikipedia.org/wiki/Weimar_Classicism,http://en.wikipedia.org/wiki/Weimar,has location,Becoming
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,works,has group,Diversity
