Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Henrik_Ibsen,theatre,has theme,Buildings
http://en.wikipedia.org/wiki/Anton_Chekhov,and literature is my mistress,has message,Statement
http://en.wikipedia.org/wiki/Henrik_Ibsen,no longer present,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Anton_Chekhov,1898,has time,Cause_to_resume
http://en.wikipedia.org/wiki/Henrik_Ibsen,subsequently,has time,Behind_the_scenes
http://en.wikipedia.org/wiki/Henrik_Ibsen,conventional,has theme,Intentionally_act
http://en.wikipedia.org/wiki/Anton_Chekhov,formal,has theme,Intentionally_create
http://en.wikipedia.org/wiki/Henrik_Ibsen,modernism,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Henrik_Ibsen,plays,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Henrik_Ibsen,Chekhov renounced the theatre,has theme,Relative_time
http://en.wikipedia.org/wiki/Henrik_Ibsen,plays that Chekhov wrote,has cause,Creating
http://en.wikipedia.org/wiki/Anton_Chekhov,money,has theme,Earnings_and_losses
http://en.wikipedia.org/wiki/Henrik_Ibsen,action,has act,Intentionally_act
http://en.wikipedia.org/wiki/The_Seagull,modern short story,has entity,Coming_to_be
http://en.wikipedia.org/wiki/Anton_Chekhov,house,has theme,Buildings
http://en.wikipedia.org/wiki/Anton_Chekhov,formal innovations that influenced the evolution of the modern short story,has theme,Intentionally_create
http://en.wikipedia.org/wiki/Russia,Medicine,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Henrik_Ibsen,1896,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Henrik_Ibsen,money,has theme,Money
http://en.wikipedia.org/wiki/Henrik_Ibsen,his artistic ambition,has item,Expansion
http://en.wikipedia.org/wiki/Anton_Chekhov,that,has text,Text_creation
http://en.wikipedia.org/wiki/Anton_Chekhov,high,has judgment,Regard
http://en.wikipedia.org/wiki/Anton_Chekhov,after the reception of The Seagull in 1896,has time,Renunciation
http://en.wikipedia.org/wiki/Henrik_Ibsen,reception of The Seagull,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Anton_Chekhov,as one of the three seminal figures in the birth of early modernism in the theatre,has theme,Referring_by_name
http://en.wikipedia.org/wiki/Anton_Chekhov,esteem,has theme,Position_on_a_scale
http://en.wikipedia.org/wiki/Anton_Chekhov,four classics,has theme,Behind_the_scenes
http://en.wikipedia.org/wiki/Henrik_Ibsen,two,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Henrik_Ibsen,present,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Anton_Chekhov,http://en.wikipedia.org/wiki/Russia,has theme,Communication_response
http://en.wikipedia.org/wiki/Henrik_Ibsen,cross on top is,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Moscow_Art_Theatre,artist,has speaker,Questioning
http://en.wikipedia.org/wiki/Taganrog,19th century,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Anton_Chekhov,"Konstantin Stanislavski's Moscow Art Theatre, which subsequently also produced Chekhov's Uncle Vanya and premiered his last two plays, Three Sisters and The Cherry Orchard",has agent,Cause_to_resume
http://en.wikipedia.org/wiki/Henrik_Ibsen,theatre,has theme,Fields
http://en.wikipedia.org/wiki/Henrik_Ibsen,"because in place of conventional action Chekhov offers a ""theatre of mood"" and a ""submerged life in the text",has theme,Omen
http://en.wikipedia.org/wiki/Henrik_Ibsen,audience,has theme,Creating
http://en.wikipedia.org/wiki/Henrik_Ibsen,this,has activity,Difficulty
http://en.wikipedia.org/wiki/Henrik_Ibsen,questions,has message,Questioning
http://en.wikipedia.org/wiki/Anton_Chekhov,short stories,has theme,Desirability
http://en.wikipedia.org/wiki/Henrik_Ibsen,early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Henrik_Ibsen,which,has theme,Behind_the_scenes
http://en.wikipedia.org/wiki/Anton_Chekhov,his best short stories,has theme,Regard
http://en.wikipedia.org/wiki/Henrik_Ibsen,readers,has reader,Reading_perception
http://en.wikipedia.org/wiki/Anton_Chekhov,"that the role of an artist was to ask questions, not to answer them",has message,Statement
http://en.wikipedia.org/wiki/Henrik_Ibsen,reception of The Seagull in 1896,has theme,Relative_time
http://en.wikipedia.org/wiki/Anton_Chekhov,feast day of St,has time,Being_born
http://en.wikipedia.org/wiki/Anton_Chekhov,acclaim,has purpose,Cause_to_resume
http://en.wikipedia.org/wiki/Henrik_Ibsen,somewhat haunting atmosphere,has theme,Creating
http://en.wikipedia.org/wiki/Anton_Chekhov,stories,has text,Text_creation
http://en.wikipedia.org/wiki/The_Seagull,acting ensemble  f  as well as to audiences,has theme,Competition
http://en.wikipedia.org/wiki/Henrik_Ibsen,evolution of the modern short story,has theme,Objective_influence
http://en.wikipedia.org/wiki/Anton_Chekhov,writing stories to earn money,has activity,Activity_start
http://en.wikipedia.org/wiki/Henrik_Ibsen,"also produced Chekhov's Uncle Vanya and premiered his last two plays, Three Sisters and The Cherry Orchard",has theme,Relative_time
http://en.wikipedia.org/wiki/Anton_Chekhov,play,has process,Cause_to_resume
http://en.wikipedia.org/wiki/Henrik_Ibsen,theatre,has location,Giving_birth
http://en.wikipedia.org/wiki/Henrik_Ibsen,artistic,has theme,Desiring
http://en.wikipedia.org/wiki/Anton_Chekhov,theatre,has theme,Renunciation
