Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Hatch_End,architecture,has theme,Studying
http://en.wikipedia.org/wiki/Pink_Floyd,end,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Pink_Floyd,1973,has time,Aggregate
http://en.wikipedia.org/wiki/Rock_and_Roll_Hall_of_Fame,into the Rock and Roll Hall of Fame,has effect,Causation
http://en.wikipedia.org/wiki/The_Wall,touring The Wall,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Wright,65,has age,Age
http://en.wikipedia.org/wiki/Hatch_End,http://en.wikipedia.org/wiki/Wright,has theme,Locative_relation
http://en.wikipedia.org/wiki/Richard_Wright_(musician),1943,has time,Create_physical_artwork
http://en.wikipedia.org/wiki/Pink_Floyd,1981,has time,Aggregate
http://en.wikipedia.org/wiki/The_Wall,1981,has time,Relative_time
http://en.wikipedia.org/wiki/Rock_and_Roll_Hall_of_Fame,1996,has time,Causation
http://en.wikipedia.org/wiki/Richard_Wright_(musician),Momentary Lapse of Reason,has theme,Communication_response
http://en.wikipedia.org/wiki/Pink_Floyd,keyboard playing,has entity,Distinctiveness
http://en.wikipedia.org/wiki/Pink_Floyd,period,has theme,Frequency
http://en.wikipedia.org/wiki/David_Gilmour,1968,has time,Text_creation
http://en.wikipedia.org/wiki/Hatch_End,"Regent Street Polytechnic, London",has institution,Studying
http://en.wikipedia.org/wiki/Richard_Wright_(musician),contribute less towards the end of the 1970s,has activity,Activity_start
http://en.wikipedia.org/wiki/Pink_Floyd,http://en.wikipedia.org/wiki/Richard_Wright_(musician),has theme,Vocalizations
http://en.wikipedia.org/wiki/Wright,lead vocals,has theme,Supply
http://en.wikipedia.org/wiki/Wright,band,has recipient,Giving
http://en.wikipedia.org/wiki/Pink_Floyd,1968,has time,Inclusion
http://en.wikipedia.org/wiki/Richard_Wright_(musician),later,has time,Releasing
http://en.wikipedia.org/wiki/Pink_Floyd,1967,has time,Time_vector
http://en.wikipedia.org/wiki/Richard_Wright_(musician),1994,has time,Becoming
http://en.wikipedia.org/wiki/Pink_Floyd,1967,has time,Success_or_failure
http://en.wikipedia.org/wiki/Pink_Floyd,1973,has time,Text
http://en.wikipedia.org/wiki/Syd_Barrett,http://en.wikipedia.org/wiki/David_Gilmour,has theme,Take_place_of
http://en.wikipedia.org/wiki/The_Wall,http://en.wikipedia.org/wiki/Richard_Wright_(musician),has employee,Quitting
http://en.wikipedia.org/wiki/Roger_Waters,compositions,has text,Text
http://en.wikipedia.org/wiki/Wright,"Hatch End, Middlesex",has location,Growing_food
http://en.wikipedia.org/wiki/Pink_Floyd,1968,has time,Text
http://en.wikipedia.org/wiki/London,lung cancer,has theme,Death
http://en.wikipedia.org/wiki/Roger_Waters,http://en.wikipedia.org/wiki/Pink_Floyd,has theme,Personal_relationship
http://en.wikipedia.org/wiki/The_Wall,band,has theme,Quitting
http://en.wikipedia.org/wiki/Wright,1968,has time,Text_creation
http://en.wikipedia.org/wiki/Richard_Wright_(musician),full-time,has theme,Membership
http://en.wikipedia.org/wiki/Pink_Floyd,1943,has time,Aggregate
http://en.wikipedia.org/wiki/Pink_Floyd,1968,has time,Aggregate
http://en.wikipedia.org/wiki/Pink_Floyd,1973,has time,Vocalizations
http://en.wikipedia.org/wiki/Pink_Floyd,frontman,has theme,Front_for
http://en.wikipedia.org/wiki/Wright,1968,has time,Supply
http://en.wikipedia.org/wiki/Richard_Wright_(musician),Division Bell,has group,Membership
http://en.wikipedia.org/wiki/Richard_Wright_(musician),Sessions with Wright during this period,has theme,Releasing
http://en.wikipedia.org/wiki/Pink_Floyd,songs,has theme,Inclusion
http://en.wikipedia.org/wiki/Pink_Floyd,part of the Pink Floyd sound,has theme,Importance
http://en.wikipedia.org/wiki/Pink_Floyd,solo,has theme,Text
http://en.wikipedia.org/wiki/Richard_Wright_(musician),Farfisa and Hammond organs and Kurzweil synthesisers,has type,Performers
http://en.wikipedia.org/wiki/Pink_Floyd,1968,has time,Accompaniment
http://en.wikipedia.org/wiki/The_Dark_Side_of_the_Moon,http://en.wikipedia.org/wiki/Dave_Harris,has entity,Becoming
http://en.wikipedia.org/wiki/Pink_Floyd,frontman and songwriter Syd Barrett,has theme,Becoming_a_member
http://en.wikipedia.org/wiki/Wright,"songs including "" Remember a Day "" and the single "" It Would Be So Nice "" both 1968",has text,Text_creation
http://en.wikipedia.org/wiki/Hatch_End,"Hatch End, Middlesex",has theme,Locative_relation
http://en.wikipedia.org/wiki/Pink_Floyd,being joined by frontman and songwriter Syd Barrett,has theme,Time_vector
http://en.wikipedia.org/wiki/Pink_Floyd,jazz,has theme,Objective_influence
http://en.wikipedia.org/wiki/Pink_Floyd,2005,has time,Aggregate
http://en.wikipedia.org/wiki/The_Dark_Side_of_the_Moon,part of Gilmour's touring band,has theme,Becoming
http://en.wikipedia.org/wiki/Richard_Wright_(musician),1973,has time,Performers
http://en.wikipedia.org/wiki/Pink_Floyd,1967,has time,Front_for
http://en.wikipedia.org/wiki/The_Wall,after touring The Wall in 1981,has time,Quitting
http://en.wikipedia.org/wiki/Pink_Floyd,2005,has time,Relative_time
http://en.wikipedia.org/wiki/Pink_Floyd,Pink Floyd's Live 8 appearance in 2005,has theme,Relative_time
http://en.wikipedia.org/wiki/Richard_Wright_(musician),Musical,has theme,Create_physical_artwork
http://en.wikipedia.org/wiki/Richard_Wright_(musician),all of their tours,has act,Intentionally_act
http://en.wikipedia.org/wiki/Pink_Floyd,Pink Floyd achieved commercial success in 1967,has event,Time_vector
http://en.wikipedia.org/wiki/Pink_Floyd,2005,has time,Membership
http://en.wikipedia.org/wiki/London,September 2008,has time,Death
http://en.wikipedia.org/wiki/Pink_Floyd,progressive,has theme,Aggregate
http://en.wikipedia.org/wiki/Wright,http://en.wikipedia.org/wiki/London,has location,Age
http://en.wikipedia.org/wiki/Pink_Floyd,1981,has time,Giving
http://en.wikipedia.org/wiki/Richard_Wright_(musician),1987,has time,Communication_response
http://en.wikipedia.org/wiki/Pink_Floyd,lead,has theme,Vocalizations
http://en.wikipedia.org/wiki/Richard_Wright_(musician),regularly,has theme,Communication_manner
http://en.wikipedia.org/wiki/Wright,albums,has theme,Work
http://en.wikipedia.org/wiki/Pink_Floyd,band,has theme,Aggregate
http://en.wikipedia.org/wiki/Pink_Floyd,Wright acted mainly as an arranger on compositions by Waters and Gilmour,has event,Time_vector
http://en.wikipedia.org/wiki/Pink_Floyd,http://en.wikipedia.org/wiki/Richard_Wright_(musician),has theme,Giving
http://en.wikipedia.org/wiki/Wright,"songs including "" Remember a Day "" and the single "" It Would Be So Nice ",has recipient,Supply
http://en.wikipedia.org/wiki/Pink_Floyd,"songs such as "" Time "" 1973 and "" Wearing the Inside Out "" 1994",has location,Vocalizations
http://en.wikipedia.org/wiki/Wright,mainly as an arranger on compositions by Waters and Gilmour,has act,Intentionally_act
http://en.wikipedia.org/wiki/Pink_Floyd,Gilmour's touring band,has group,Membership
http://en.wikipedia.org/wiki/Wright,2008,has time,Age
http://en.wikipedia.org/wiki/Roger_Waters,http://en.wikipedia.org/wiki/Hatch_End,has location,Personal_relationship
http://en.wikipedia.org/wiki/Wright,initially,has time,Giving
http://en.wikipedia.org/wiki/The_Wall,left the band,has theme,Relative_time
http://en.wikipedia.org/wiki/Pink_Floyd,2014,has time,Clothing
http://en.wikipedia.org/wiki/The_Dark_Side_of_the_Moon,Following Pink Floyd's Live 8 appearance in 2005,has time,Becoming
http://en.wikipedia.org/wiki/Pink_Floyd,part,has member,Membership
http://en.wikipedia.org/wiki/Pink_Floyd,appearance,has theme,Make_noise
http://en.wikipedia.org/wiki/Pink_Floyd,touring,has theme,Aggregate
http://en.wikipedia.org/wiki/London,lung,has theme,Medical_conditions
http://en.wikipedia.org/wiki/Pink_Floyd,albums,has text,Text
http://en.wikipedia.org/wiki/Pink_Floyd,less,has theme,Giving
http://en.wikipedia.org/wiki/Pink_Floyd,1970s,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Roger_Waters,Roger Waters and Nick Mason,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Pink_Floyd,Pink Floyd's,has theme,Make_noise
http://en.wikipedia.org/wiki/Richard_Wright_(musician),almost every Pink Floyd album,has location,Circumscribed_existence
http://en.wikipedia.org/wiki/Rock_and_Roll_Hall_of_Fame,http://en.wikipedia.org/wiki/Richard_Wright_(musician),has theme,Causation
http://en.wikipedia.org/wiki/Pink_Floyd,rock,has theme,Aggregate
http://en.wikipedia.org/wiki/London,2008,has time,Medical_conditions
http://en.wikipedia.org/wiki/Pink_Floyd,songs,has text,Text
http://en.wikipedia.org/wiki/Richard_Wright_(musician),1996,has time,Membership
http://en.wikipedia.org/wiki/Pink_Floyd,2014,has time,Frequency
http://en.wikipedia.org/wiki/Pink_Floyd,Wright's jazz influences and distinctive keyboard playing,has theme,Part_whole
http://en.wikipedia.org/wiki/The_Wall,touring The Wall in 1981,has theme,Relative_time
http://en.wikipedia.org/wiki/Richard_Wright_(musician),full-time member again for The Division Bell,has theme,Becoming
http://en.wikipedia.org/wiki/Roger_Waters,Waters and Gilmour,has author,Text
