subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/William_Shakespeare,Intentionally_act:has_act,His plays,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Shakespeare,Frequency:has_event,"called England's national poet and the "" Bard of Avon "" or simply "" the Bard",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Shakespeare,Kinship:has_theme,children,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Shakespeare,Increment:has_class,verses,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_VI_and_I,Coming_to_believe:has_theme,"such matters as his physical appearance, his sexuality, his religious beliefs and even certain fringe theories as to whether the works attributed to him were written by others",0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Shakespeare,Scrutiny:has_theme,his works,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Shakespeare,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_VI_and_I,Measure_duration:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Shakespeare,Subjective_influence:has_theme,English language,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Shakespeare,Being_born:has_location,"Stratford-upon-Avon, Warwickshire",0.9,Unknown,True
http://en.wikipedia.org/wiki/London,Referring_by_name:has_theme,Lord Chamberlain's Men,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Shakespeare,Categorization:has_category,as the greatest writer in the English language and the world's pre-eminent dramatist,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_VI_and_I,Awareness:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_VI_and_I,Records:has_theme,records,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Shakespeare,Activity_start:has_location,http://en.wikipedia.org/wiki/London,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_VI_and_I,Give_impression:has_theme,http://en.wikipedia.org/wiki/William_Shakespeare,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chamberlain_(office),Being_named:has_entity,playing company called the Lord Chamberlain's Men,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_VI_and_I,Cause_to_start:has_cause,this,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Shakespeare,Rejuvenation:has_entity,his works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chamberlain_(office),Being_named:has_location,http://en.wikipedia.org/wiki/London,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Shakespeare,State_continue:has_state,arguably the most influential writer in the English language,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_VI_and_I,Records:has_data,Shakespeare's private life,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Shakespeare,Activity_start:has_time,Sometime between 1585 and 1592,0.9,Unknown,True
