Source,Target,Label,Frame
http://en.wikipedia.org/wiki/National_Book_Award,miniaturist ’s,has theme,Attention
http://en.wikipedia.org/wiki/Neustadt_International_Prize_for_Literature,Poetry,has location,Finish_competition
http://en.wikipedia.org/wiki/Neustadt_International_Prize_for_Literature,Poetry,has competition,Finish_competition
http://en.wikipedia.org/wiki/National_Book_Award,"tranquil observation, craft-like accuracy, care for the small things of the world, a miniaturist ’s discretion and attention",has quality,Differentiation
http://en.wikipedia.org/wiki/National_Book_Award,1916,has time,Relative_time
http://en.wikipedia.org/wiki/United_States,1911,has time,Text
http://en.wikipedia.org/wiki/Nova_Scotia,http://en.wikipedia.org/wiki/Elizabeth_Bishop,has theme,Separating
http://en.wikipedia.org/wiki/Dwight_Garner_(critic),"that she was perhaps "" the most purely gifted poet of the 20th century",has theme,Reasoning
http://en.wikipedia.org/wiki/Elizabeth_Bishop,mother,has theme,Kinship
http://en.wikipedia.org/wiki/National_Book_Award,its careful attention to detail,has reason,Fame
http://en.wikipedia.org/wiki/United_States,poet,has text,Text
http://en.wikipedia.org/wiki/Worcester,child,has type,Sole_instance
http://en.wikipedia.org/wiki/National_Book_Award,"write about the time of her mother's struggles in her short story "" In the Village",has event,Time_vector
http://en.wikipedia.org/wiki/Nova_Scotia,her separation from her maternal grandparents,has cause,Causation
http://en.wikipedia.org/wiki/Worcester,Her time in Worcester,has theme,Recording
http://en.wikipedia.org/wiki/National_Book_Award,1949,has time,Text
http://en.wikipedia.org/wiki/National_Book_Award,"her father, a successful builder, died when she was eight months old",has theme,Relative_time
http://en.wikipedia.org/wiki/National_Book_Award,2018,has time,Calendric_unit
http://en.wikipedia.org/wiki/Bishop,"Worcester, Massachusetts",has location,Being_born
http://en.wikipedia.org/wiki/Bishop,time of her mother's struggles,has theme,Statement
http://en.wikipedia.org/wiki/National_Book_Award,her poetry,has entity,Fame
http://en.wikipedia.org/wiki/Nova_Scotia,lonely,has effect,Causation
http://en.wikipedia.org/wiki/Elizabeth_Bishop,http://en.wikipedia.org/wiki/Worcester,has location,Text
http://en.wikipedia.org/wiki/Worcester,"her poem "" In the Waiting Room ",has theme,Recording
http://en.wikipedia.org/wiki/National_Book_Award,her mother's,has theme,Hostile_encounter
http://en.wikipedia.org/wiki/Bishop,1911,has time,Increment
http://en.wikipedia.org/wiki/Worcester,briefly,has theme,Recording
http://en.wikipedia.org/wiki/Bishop,people,has class,Increment
http://en.wikipedia.org/wiki/Bishop,William Thomas and Gertrude May Bulmer Bishop,has theme,Being_born
http://en.wikipedia.org/wiki/Worcester,she was living,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/National_Book_Award,century,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Worcester,asthma,has theme,Medical_conditions
http://en.wikipedia.org/wiki/Elizabeth_Bishop,"Elizabeth Bishop February 8, 1911 – October 6, 1979 ",has author,Text_creation
http://en.wikipedia.org/wiki/Bishop,people,has person,People
http://en.wikipedia.org/wiki/Worcester,"chronic asthma, from which she suffered for the rest of her life",has theme,Medical_conditions
http://en.wikipedia.org/wiki/National_Book_Award,builder,has agent,Success_or_failure
http://en.wikipedia.org/wiki/Bishop,asylum,has state,State_continue
http://en.wikipedia.org/wiki/Nova_Scotia,Bishop's paternal family gained custody,has event,Time_vector
http://en.wikipedia.org/wiki/Bishop,mentally ill,has theme,Becoming
http://en.wikipedia.org/wiki/Worcester,chronic,has theme,Medical_conditions
http://en.wikipedia.org/wiki/Bishop,later,has time,Statement
http://en.wikipedia.org/wiki/Great_Village,http://en.wikipedia.org/wiki/Elizabeth_Bishop,has theme,Topic
