subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/The_Lord_of_the_Rings,Causation:has_cause,his wartime radio broadcasts on the subject of Christianity,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Being_incarcerated:has_theme,English faculty at the University of Oxford,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Time_vector:has_theme,four years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isle_of_Lewis,Text:has_author,Lewis's,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Lord_of_the_Rings,Death:has_time,age of 45,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isle_of_Lewis,Text:has_text,memoir Surprised by Joy,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Objective_influence:has_theme,his work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Theology,Expertise:has_knowledge,http://en.wikipedia.org/wiki/Church_of_England,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Age:has_age,45,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Magdalen_College,_Oxford",Social_event:has_theme,Oxford literary group,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Time_vector:has_event,she died of cancer,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Magdalen_College,_Oxford",Inclusion:has_theme,his non-fiction Christian apologetics,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Magdalen_College,_Oxford",Increment:has_class,works of fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Coolock_parish_(Church_of_Ireland),Attributed_information:has_theme,"he was baptized in the Church of Ireland, but fell away from his faith during adolescence",0.9,Unknown,True
http://en.wikipedia.org/wiki/Isle_of_Lewis,Text:has_theme,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/C._S._Lewis,Fame:has_reason,as the author of The Chronicles of Narnia,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Time_vector:has_time,1956,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Measure_duration:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/C._S._Lewis,Fame:has_reason,"his other works of fiction, such as The Screwtape Letters and The Space Trilogy, and for his non-fiction Christian apologetics, including Mere Christianity, Miracles and The Problem of Pain",0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Translating:has_theme,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Age:has_time,1956,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isle_of_Lewis,Arriving:has_goal,http://en.wikipedia.org/wiki/Anglicanism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cecil_Day-Lewis,Reference_text:has_time,1963,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Text_creation:has_text,Lord of the Rings,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Increment:has_class,friends,0.9,Unknown,True
http://en.wikipedia.org/wiki/Oxford,Aggregate:has_theme,group,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Age:has_age,64,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Age:has_time,1963,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Lord_of_the_Rings,Causation:has_theme,http://en.wikipedia.org/wiki/C._S._Lewis,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isle_of_Lewis,Social_connection:has_theme,friend,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Duplication:has_theme,copies,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Cause_expansion:has_item,acclaim,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isle_of_Lewis,Social_connection:has_degree,close,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isle_of_Lewis,Personal_relationship:has_theme,"J. R. R. Tolkien, the author of The Lord of the Rings",0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Being_incarcerated:has_theme,Both men,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Age:has_age,32,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isle_of_Lewis,Personal_relationship:has_theme,American writer Joy Davidman,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,People:has_person,men,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Text:has_text,books,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Medical_conditions:has_time,1956,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Cardinal_numbers:has_theme,30,0.9,Unknown,True
http://en.wikipedia.org/wiki/Theology,Expertise:has_theme,layman,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Objective_influence:has_theme,Tolkien and other friends,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,People_by_age:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/J._R._R._Tolkien,Text_creation:has_author,J. R. R. Tolkien,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Oxford,Commerce_sell:has_theme,millions of copies,0.9,Unknown,True
