subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/War_and_Peace,Duration_description:has_time,1911,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leo_Tolstoy,Categorization:has_category,as one of the greatest and most influential authors of all time,0.9,Unknown,True
http://en.wikipedia.org/wiki/Crimean_War,Kinship:has_theme,aristocratic,0.9,Unknown,True
http://en.wikipedia.org/wiki/War_and_Peace,Causation:has_theme,http://en.wikipedia.org/wiki/Leo_Tolstoy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ludwig_Wittgenstein,Expressing_publicly:has_theme,His ideas on nonviolent resistance,0.9,Unknown,True
http://en.wikipedia.org/wiki/War_and_Peace,Inclusion:has_time,1911,0.9,Unknown,True
http://en.wikipedia.org/wiki/Crimean_War,Categorization:has_category,as an equally profound spiritual awakening,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alyosha_the_Pot,Labor_product:has_agent,Alyosha the Pot,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Referring_by_name:has_theme,as Leo Tolstoy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leo_Tolstoy,Becoming:has_theme,fervent Christian anarchist and pacifist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alyosha_the_Pot,Labor_product:has_theme,oeuvre,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Referring_by_name:has_entity,7 November] 1910),0.9,Unknown,True
http://en.wikipedia.org/wiki/War_and_Peace,Topic:has_theme,"philosophical, moral and religious themes",0.9,Unknown,True
http://en.wikipedia.org/wiki/War_and_Peace,Duration_description:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Crimean_War,Categorization:has_item,what,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leo_Tolstoy,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/War_and_Peace,Adducing:has_role,as pinnacles of realist fiction and three of the greatest novels ever written,0.9,Unknown,True
http://en.wikipedia.org/wiki/Devil,Categorization:has_theme,http://en.wikipedia.org/wiki/Jesus,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leo_Tolstoy,Judgment_communication:has_time,his twenties,0.9,Unknown,True
http://en.wikipedia.org/wiki/Crimean_War,Perception_experience:has_time,Crimean War,0.9,Unknown,True
http://en.wikipedia.org/wiki/War_and_Peace,Text_creation:has_text,greatest novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Subjective_influence:has_entity,authors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leo_Tolstoy,Text_creation:has_text,"plays and essays concerning philosophical, moral and religious themes",0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Text:has_text,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/War_and_Peace,Causation:has_effect,become a fervent Christian anarchist and pacifist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leo_Tolstoy,Reference_text:has_theme,Tolstoy (disambiguation) and Lev Tolstoy (disambiguation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Crimean_War,Perception_experience:has_theme,http://en.wikipedia.org/wiki/Leo_Tolstoy,0.9,Unknown,True
http://en.wikipedia.org/wiki/War_and_Peace,Adducing:has_theme,"His War and Peace (1869 ), Anna Karenina (1878 ), and Resurrection (1899 ), which is based on his youthful sins,",0.9,Unknown,True
http://en.wikipedia.org/wiki/Ludwig_Wittgenstein,Expressing_publicly:has_theme,such works as The Kingdom of God Is Within You (1894,0.9,Unknown,True
http://en.wikipedia.org/wiki/Alyosha_the_Pot,Labor_product:has_time,1911,0.9,Unknown,True
http://en.wikipedia.org/wiki/Devil,Categorization:has_item,ethical teachings of Jesus,0.9,Unknown,True
http://en.wikipedia.org/wiki/Crimean_War,Being_born:has_theme,aristocratic family,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Text_creation:has_author,authors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Leo_Tolstoy,Judgment_communication:has_reason,"his semi-autobiographical trilogy, Childhood, Boyhood and Youth (1852–1856), and with Sevastopol Sketches (1855 ) based on his experiences in the Crimean War",0.9,Unknown,True
http://en.wikipedia.org/wiki/War_and_Peace,Inclusion:has_theme,His oeuvre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Devil,Categorization:has_theme,literal,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Referring_by_name:has_time,1910,0.9,Unknown,True
http://en.wikipedia.org/wiki/War_and_Peace,Topic:has_text,plays and essays,0.9,Unknown,True
http://en.wikipedia.org/wiki/Crimean_War,Categorization:has_theme,http://en.wikipedia.org/wiki/Leo_Tolstoy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Text:has_location,http://en.wikipedia.org/wiki/England,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Text:has_time,1910,0.9,Unknown,True
http://en.wikipedia.org/wiki/War_and_Peace,Causation:has_cause,"His literal interpretation of the ethical teachings of Jesus, centering on the Sermon on the Mount",0.9,Unknown,True
http://en.wikipedia.org/wiki/War_and_Peace,Inclusion:has_theme,"short stories such as "" Alyosha the Pot "" (1911) and "" After the Ball "" (1911) and novellas such as Family Happiness (1859 ), The Death of Ivan Ilyich (1886 ), The Kreutzer Sonata (1889 ), The Devil (1911 ), and Hadji Murat (1912",0.9,Unknown,True
