subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Categorization:has_category,be the inventor of the detective fiction genre,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Becoming_a_member:has_theme,http://en.wikipedia.org/wiki/Edgar_Allan_Poe,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Death:has_time,1829,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Being_born:has_location,http://en.wikipedia.org/wiki/Boston,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Text_creation:has_author,"Edgar Allan Poe ( né Edgar Poe ; January 19, 1809 – October 7, 1849)",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Type:has_category,detective fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Commitment:has_theme,gambling,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Publishing:has_work,"his first collection, Tamerlane and Other Poems, which was credited only to ""a Bostonian",0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Fame:has_entity,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Praiseworthiness:has_behavior,contributing significantly to the emergence of science fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Death:has_theme,http://en.wikipedia.org/wiki/ELIZA,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Military_Academy,Education_teaching:has_teacher,officer,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Ordinal_numbers:has_theme,earn a living exclusively through writing,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Calendric_unit:has_theme,following,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Possession:has_theme,money,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Measure_duration:has_theme,year,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Being_necessary:has_theme,funds,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Text:has_text,poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Becoming:has_theme,"writer, primarily of poems",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Arriving:has_goal,temporary rapprochement,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Age:has_entity,adulthood,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Reference_text:has_theme,Edgar Allan Poe (disambiguation) and Poe (disambiguation ),0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Education_teaching:has_student,http://en.wikipedia.org/wiki/Edgar_Allan_Poe,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Purpose:has_location,http://en.wikipedia.org/wiki/United_States_Military_Academy,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Praiseworthiness:has_theme,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Statement:has_location,http://en.wikipedia.org/wiki/United_States_Military_Academy,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Frequency:has_event,quarreled with John Allan over the funds needed to continue his education as well as his gambling debts,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Becoming:has_entity,http://en.wikipedia.org/wiki/Edgar_Allan_Poe,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Political_locales:has_theme,country,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Death:has_theme,"Allan's wife, Frances",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Adopt_selection:has_theme,formally,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Adopt_selection:has_value,http://en.wikipedia.org/wiki/Edgar_Allan_Poe,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Becoming_a_member:has_group,United States Army,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Success_or_failure:has_goal,as an officer cadet at West Point,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Age:has_age,young,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Personal_relationship:has_theme,Allan's,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Money:has_theme,funds,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Publishing:has_time,1827,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Relative_time:has_theme,temporary,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Becoming:has_location,http://en.wikipedia.org/wiki/United_States_Military_Academy,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Ordinal_numbers:has_type,child,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Military_Academy,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States_Military_Academy,Time_vector:has_event,failed as an officer cadet at West Point,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Relative_time:has_theme,"death of Allan's wife, Frances, in 1829",0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Means:has_location,http://en.wikipedia.org/wiki/United_States_Military_Academy,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Arriving:has_theme,Poe and Allan,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Relative_time:has_theme,year,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Quarreling:has_theme,http://en.wikipedia.org/wiki/Edgar_Allan_Poe,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Origin:has_entity,"writer, poet, editor, and literary critic",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Praiseworthiness:has_theme,http://en.wikipedia.org/wiki/Edgar_Allan_Poe,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Commitment:has_speaker,http://en.wikipedia.org/wiki/Edgar_Allan_Poe,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Conquering:has_theme,"John and Frances Allan of Richmond, Virginia",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Quarreling:has_issue,over the funds needed to continue his education as well as his gambling debts,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Being_named:has_theme,Edgar A. Perry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Achieving_first:has_theme,detective fiction genre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Success_or_failure:has_time,later,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Temporal_subregion:has_theme,early,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Money:has_theme,money,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Type:has_theme,genre,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Quarreling:has_theme,frequently,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Duration_description:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Text_creation:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Means:has_means,ways,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Activity_ongoing:has_activity,his education as well as his gambling debts,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Fame:has_degree,best,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Death:has_time,following year,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Categorization:has_category,as one of the central figures of Romanticism and Gothic fiction in the United States and of early American literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Origin:has_theme,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,People_by_age:has_theme,"actors David and Elizabeth ""Eliza "" Poe",0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Purpose:has_agent,http://en.wikipedia.org/wiki/Edgar_Allan_Poe,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Praiseworthiness:has_degree,"only to ""a Bostonian",0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Aggregate:has_theme,first,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Success_or_failure:has_location,http://en.wikipedia.org/wiki/United_States_Military_Academy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Departing:has_time,after only a year due to a lack of money,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Publishing:has_theme,http://en.wikipedia.org/wiki/Edgar_Allan_Poe,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Relative_time:has_theme,Poe and Allan,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Relative_time:has_theme,Poe and Allan reached a temporary rapprochement,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Frequency:has_event,formally adopted him,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Ordinal_numbers:has_theme,"actors David and Elizabeth ""Eliza"" Poe",0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Ordinal_numbers:has_type,collection,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Fame:has_reason,"his poetry and short stories, particularly his tales involving mystery and the macabre",0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Statement:has_message,"his intention to become a writer, primarily of poems",0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Personal_relationship:has_theme,http://en.wikipedia.org/wiki/Frances,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Personal_success:has_person,practitioners of the short story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Text_creation:has_location,http://en.wikipedia.org/wiki/United_States_Military_Academy,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Purpose:has_goal,"become a writer, primarily of poems",0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Attending:has_event,http://en.wikipedia.org/wiki/University_of_Virginia,0.9,Unknown,True
http://en.wikipedia.org/wiki/University_of_Virginia,Being_necessary:has_theme,continue his education as well as his gambling debts,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Duration_description:has_theme,story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Residence:has_time,well into young adulthood,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,Residence:has_theme,American,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Temporal_subregion:has_theme,American literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Ordinal_numbers:has_type,well-known American writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Edgar_Allan_Poe,People_by_age:has_theme,second,0.9,Unknown,True
http://en.wikipedia.org/wiki/John_Allan_(colonel),Arriving:has_time,"after the death of Allan's wife, Frances, in 1829",0.9,Unknown,True
