Source,Target,Label,Frame
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,1977,has time,Attention
http://en.wikipedia.org/wiki/Toni_Morrison,"first Black female editor for fiction at Random House in New York City, in the late 1960s",has theme,Becoming
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,into a film,has role,Intentionally_create
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,1998,has time,Behind_the_scenes
http://en.wikipedia.org/wiki/African_Americans,American Fiction,has location,Grasp
http://en.wikipedia.org/wiki/Toni_Morrison,http://en.wikipedia.org/wiki/Howard_University,has goal,Arriving
http://en.wikipedia.org/wiki/African_Americans,addressing the harsh consequences of racism in the United States and the Black American experience,has reason,Judgment_communication
http://en.wikipedia.org/wiki/Toni_Morrison,1970s and'80s,has time,Intentionally_create
http://en.wikipedia.org/wiki/Toni_Morrison,1957,has time,Arriving
http://en.wikipedia.org/wiki/Toni_Morrison,1953,has time,Growing_food
http://en.wikipedia.org/wiki/New_York_City,Black female editor for fiction at Random House in New York City,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/National_Book_Foundation,2020,has time,Causation
http://en.wikipedia.org/wiki/National_Endowment_for_the_Humanities,1996,has time,Choosing
http://en.wikipedia.org/wiki/Toni_Morrison,"Lorain, Ohio",has location,Being_born
"http://en.wikipedia.org/wiki/Lorain,_Ohio",Chloe Ardelia Wofford,has item,Ordinal_numbers
http://en.wikipedia.org/wiki/Toni_Morrison,1964,has time,Forming_relationships
http://en.wikipedia.org/wiki/Toni_Morrison,National Book Foundation's Medal of Distinguished Contribution to American Letters,has theme,Compliance
http://en.wikipedia.org/wiki/African_Americans,http://en.wikipedia.org/wiki/Toni_Morrison,has recipient,Receiving
http://en.wikipedia.org/wiki/United_States,politician,has entity,Origin
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Literature,has location,Giving
http://en.wikipedia.org/wiki/Toni_Morrison,children,has theme,Kinship
http://en.wikipedia.org/wiki/Toni_Morrison,1970,has time,Text
http://en.wikipedia.org/wiki/National_Book_Foundation,http://en.wikipedia.org/wiki/Toni_Morrison,has theme,Causation
http://en.wikipedia.org/wiki/Toni_Morrison,Morrison's,has agent,Labor_product
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,1993,has time,Giving
http://en.wikipedia.org/wiki/African_Americans,federal,has theme,Leadership
http://en.wikipedia.org/wiki/Barack_Obama,2012,has time,Leadership
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Nobel Prize in Literature,has theme,Giving
http://en.wikipedia.org/wiki/New_York_City,late,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Toni_Morrison,1931,has time,Reference_text
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,1977,has time,Win_prize
http://en.wikipedia.org/wiki/Toni_Morrison,"http://en.wikipedia.org/wiki/Lorain,_Ohio",has location,Being_born
http://en.wikipedia.org/wiki/Toni_Morrison,http://en.wikipedia.org/wiki/New_York_City,has location,Becoming
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,critically acclaimed Song of Solomon 1977,has competitor,Win_prize
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,her own,has entity,Fame
"http://en.wikipedia.org/wiki/Lorain,_Ohio",children,has person,People_by_age
http://en.wikipedia.org/wiki/African_Americans,Morrison's works,has text,Topic
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,attention,has entity,Origin
"http://en.wikipedia.org/wiki/Lorain,_Ohio",Early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,1970,has time,Publishing
http://en.wikipedia.org/wiki/Cornell_University,master's degree in American Literature,has theme,Earnings_and_losses
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,"Her first novel, The Bluest Eye",has work,Publishing
http://en.wikipedia.org/wiki/Toni_Morrison,her own reputation as an author,has theme,Intentionally_create
"http://en.wikipedia.org/wiki/Lorain,_Ohio",years,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Toni_Morrison,1957,has time,Kinship
"http://en.wikipedia.org/wiki/Lorain,_Ohio","working-class, Black family",has theme,People_by_age
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,1977,has time,Judgment_communication
"http://en.wikipedia.org/wiki/Lorain,_Ohio",Black,has theme,Kinship
http://en.wikipedia.org/wiki/African_Americans,year,has type,Identicality
http://en.wikipedia.org/wiki/National_Book_Critics_Circle_Award,Her novel Beloved,has theme,Intentionally_create
http://en.wikipedia.org/wiki/National_Endowment_for_the_Humanities,http://en.wikipedia.org/wiki/Toni_Morrison,has theme,Choosing
http://en.wikipedia.org/wiki/African_Americans,same,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,novel,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Toni_Morrison,Chloe Ardelia Wofford,has person,Being_born
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,1970,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/African_Americans,Morrison's works,has theme,Judgment_communication
http://en.wikipedia.org/wiki/African_Americans,PEN/Saul Bellow,has theme,Grasp
http://en.wikipedia.org/wiki/Toni_Morrison,1988,has time,Win_prize
http://en.wikipedia.org/wiki/African_Americans,harsh consequences of racism in the United States and the Black American experience,has theme,Topic
"http://en.wikipedia.org/wiki/Lorain,_Ohio",years,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/African_Americans,government,has leader,Leadership
http://en.wikipedia.org/wiki/Barack_Obama,"May 29, 2012",has time,Cause_to_perceive
http://en.wikipedia.org/wiki/African_Americans,PEN/Saul Bellow Award for Achievement in American Fiction,has theme,Receiving
http://en.wikipedia.org/wiki/African_Americans,1996,has time,Leadership
"http://en.wikipedia.org/wiki/Lorain,_Ohio",family,has theme,Kinship
http://en.wikipedia.org/wiki/Toni_Morrison,Bluest Eye,has text,Text
http://en.wikipedia.org/wiki/American_Fiction,American Fiction,has location,Origin
http://en.wikipedia.org/wiki/Toni_Morrison,Beloved,has theme,Win_prize
http://en.wikipedia.org/wiki/Cornell_University,http://en.wikipedia.org/wiki/Toni_Morrison,has theme,Earnings_and_losses
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,http://en.wikipedia.org/wiki/Toni_Morrison,has recipient,Giving
http://en.wikipedia.org/wiki/National_Book_Foundation,into the National Women's Hall of Fame,has effect,Causation
http://en.wikipedia.org/wiki/Barack_Obama,http://en.wikipedia.org/wiki/Presidential_Medal_of_Freedom,has theme,Cause_to_perceive
http://en.wikipedia.org/wiki/Toni_Morrison,Early years,has time,Being_born
