Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Cannery_Row_(novel),novels,has text,Text
http://en.wikipedia.org/wiki/John_Steinbeck,works,has theme,Labor_product
http://en.wikipedia.org/wiki/United_States,75th anniversary of its publishing date,has time,Commerce_sell
http://en.wikipedia.org/wiki/Cannery_Row_(novel),literary,has theme,Text
http://en.wikipedia.org/wiki/John_Steinbeck,1935,has time,Fame
http://en.wikipedia.org/wiki/Palestine_(region),1913,has time,Killing
http://en.wikipedia.org/wiki/Cannery_Row_(novel),name,has theme,Being_named
http://en.wikipedia.org/wiki/Western_canon,http://en.wikipedia.org/wiki/United_States,has theme,Origin
http://en.wikipedia.org/wiki/United_States,people,has class,Increment
http://en.wikipedia.org/wiki/Baig,short stories,has theme,Aggregate
http://en.wikipedia.org/wiki/John_Steinbeck,Steinbeck surname ,has theme,Reference_text
http://en.wikipedia.org/wiki/Western_canon,American literary canon,has theme,Part_whole
http://en.wikipedia.org/wiki/John_Steinbeck,Steinbeck's,has author,Text
http://en.wikipedia.org/wiki/Cannery_Row_(novel),comic,has theme,Text
http://en.wikipedia.org/wiki/Palestine_(region),his brother's,has theme,Personal_relationship
http://en.wikipedia.org/wiki/John_Steinbeck,1962,has time,Win_prize
http://en.wikipedia.org/wiki/United_States,14 million copies,has goods,Commerce_sell
http://en.wikipedia.org/wiki/Baig,non-fiction,has theme,Text
http://en.wikipedia.org/wiki/John_Steinbeck,1962 Nobel Prize in Literature,has prize,Win_prize
http://en.wikipedia.org/wiki/Heiligenhaus,"family farm in Heiligenhaus, Mettmann, Germany",has entity,Being_named
http://en.wikipedia.org/wiki/Western_canon,1939,has time,Origin
http://en.wikipedia.org/wiki/John_Steinbeck,widely,has degree,Fame
http://en.wikipedia.org/wiki/John_Steinbeck,Literature,has location,Win_prize
http://en.wikipedia.org/wiki/John_Steinbeck,"Salinas, California",has location,Being_born
http://en.wikipedia.org/wiki/John_Steinbeck,"comic novels Tortilla Flat 1935 and Cannery Row 1945 , the multigeneration epic East of Eden 1952 , and the novellas The Red Pony 1933 and Of Mice and Men 1937",has reason,Fame
http://en.wikipedia.org/wiki/John_Steinbeck,Much of Steinbeck's work,has agent,Using
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Steinbeck's masterpiece,has category,Categorization
http://en.wikipedia.org/wiki/John_Steinbeck,1962,has time,Text
http://en.wikipedia.org/wiki/Cannery_Row_(novel),canon,has text,Text
http://en.wikipedia.org/wiki/Cannery_Row_(novel),East of Eden,has text,Text
http://en.wikipedia.org/wiki/Palestine_(region),1913,has time,Personal_relationship
http://en.wikipedia.org/wiki/Cannery_Row_(novel),1939,has time,Fields
http://en.wikipedia.org/wiki/California_Coast_Ranges,region,has theme,Locale
http://en.wikipedia.org/wiki/John_Steinbeck,"February 27, 1902",has time,Being_born
http://en.wikipedia.org/wiki/John_Steinbeck,writings,has text,Text
http://en.wikipedia.org/wiki/Baig,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Western_canon,literary canon,has entity,Origin
http://en.wikipedia.org/wiki/John_Steinbeck,http://en.wikipedia.org/wiki/United_States,has goal,Arriving
http://en.wikipedia.org/wiki/John_Steinbeck,1935,has time,Kinship
http://en.wikipedia.org/wiki/John_Steinbeck,his realistic and imaginative writings,has theme,Win_prize
http://en.wikipedia.org/wiki/John_Steinbeck,Steinbeck's,has agent,Labor_product
http://en.wikipedia.org/wiki/John_Steinbeck, a giant of American letters,has theme,Labeling
http://en.wikipedia.org/wiki/United_States,letters,has entity,Origin
http://en.wikipedia.org/wiki/Cannery_Row_(novel),farm,has theme,Buildings
http://en.wikipedia.org/wiki/Cannery_Row_(novel),"themes of fate and injustice, especially as applied to downtrodden or everyman protagonists",has theme,Explaining_the_facts
http://en.wikipedia.org/wiki/Western_canon,1939,has time,Part_whole
http://en.wikipedia.org/wiki/Cannery_Row_(novel),"Heiligenhaus, Mettmann, Germany",has location,Buildings
http://en.wikipedia.org/wiki/John_Steinbeck,"settings in his native central California, particularly in the Salinas Valley and the California Coast Ranges region",has instrument,Using
"http://en.wikipedia.org/wiki/Salinas,_California",Valley,has theme,Natural_features
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Pulitzer Prize –winning The Grapes of Wrath 1939,has item,Categorization
http://en.wikipedia.org/wiki/Ed_Ricketts,16 novels,has theme,Inclusion
http://en.wikipedia.org/wiki/John_Steinbeck,33 books,has text,Text_creation
http://en.wikipedia.org/wiki/John_Steinbeck,father,has theme,Kinship
http://en.wikipedia.org/wiki/Cannery_Row_(novel),1935,has time,Text
http://en.wikipedia.org/wiki/John_Steinbeck,1939,has time,Text
http://en.wikipedia.org/wiki/Baig,novels,has text,Text
