subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Assistance:has_goal,shape his literary work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Process_end:has_process,his formal education,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Reading_activity:has_text,"theological treatises, Greek mythology, Johann Wolfgang von Goethe, Gotthold Ephraim Lessing, Friedrich Schiller, and Friedrich Nietzsche",0.9,Unknown,True
http://en.wikipedia.org/wiki/Protestantism,Locale_by_use:has_theme,school,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Education_teaching:has_time,briefly,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Seeking:has_theme,individual's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,People_by_age:has_person,youth,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Performing_arts:has_theme,music,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Emotion_directed:has_theme,http://en.wikipedia.org/wiki/Hermann_Hesse,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Ordinal_numbers:has_type,works of poetry and prose,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bildungsroman,Circumscribed_existence:has_entity,"his first novel, Peter Camenzind",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Participation:has_location,Eastern,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,People_by_age:has_person,child,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Education_teaching:has_institution,"Protestant boarding school, the Evangelical Seminaries of Maulbronn and Blaubeuren, where he struggled with bouts of depression and once attempted suicide, which temporarily landed him in a sanatorium",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Cause_to_land:has_time,temporarily,0.9,Unknown,True
http://en.wikipedia.org/wiki/Hermann_Hesse,Text:has_time,1904,0.9,Unknown,True
http://en.wikipedia.org/wiki/Germany,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Hermann_Hesse,Being_born:has_time,1877,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Temporal_collocation:has_theme,1890s and early 1900s,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Cause_to_land:has_goal,sanatorium,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Temporal_collocation:has_time,1904,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Education_teaching:has_student,http://en.wikipedia.org/wiki/Hermann_Hesse,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Emotion_directed:has_theme,"Eastern religious, spiritual, and philosophical traditions",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Participation:has_event,Jungian analysis,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Custom:has_location,Eastern,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Medical_conditions:has_theme,depression,0.9,Unknown,True
http://en.wikipedia.org/wiki/Hermann_Hesse,Labor_product:has_time,1904,0.9,Unknown,True
http://en.wikipedia.org/wiki/Protestantism,Locale_by_use:has_theme,boarding,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Custom:has_theme,"religious, spiritual, and philosophical",0.9,Unknown,True
http://en.wikipedia.org/wiki/Calw,Political_locales:has_theme,Germany's Northern Black Forest,0.9,Unknown,True
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,Temporal_subregion:has_theme,1900s,0.9,Unknown,True
http://en.wikipedia.org/wiki/Germany,Text:has_text,article,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Assistance:has_location,Eastern,0.9,Unknown,True
http://en.wikipedia.org/wiki/Hermann_Hesse,Being_born:has_person,Hermann Karl Hesse,0.9,Unknown,True
http://en.wikipedia.org/wiki/Germany,Text:has_author,German - Swiss,0.9,Unknown,True
http://en.wikipedia.org/wiki/Hermann_Hesse,Labor_product:has_theme,poetry and prose,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Participation:has_theme,http://en.wikipedia.org/wiki/Hermann_Hesse,0.9,Unknown,True
http://en.wikipedia.org/wiki/Germany,Political_locales:has_theme,Empire,0.9,Unknown,True
