Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Amnesty_International,1997,has time,Text
http://en.wikipedia.org/wiki/J._K._Rowling,J. K. Rowling,has theme,Being_named
http://en.wikipedia.org/wiki/Amnesty_International,novel,has text,Text
http://en.wikipedia.org/wiki/Harry_Potter,novels,has text,Text
http://en.wikipedia.org/wiki/Amnesty_International,imitators,has theme,Aggregate
http://en.wikipedia.org/wiki/J._K._Rowling,as conventional,has category,Categorization
http://en.wikipedia.org/wiki/Amnesty_International,novel,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Amnesty_International,1997,has time,Publishing
http://en.wikipedia.org/wiki/J._K._Rowling,1997,has time,Personal_relationship
http://en.wikipedia.org/wiki/Amnesty_International,1997,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Amnesty_International,fantasy as a genre in the children's market,has process,Cause_to_resume
http://en.wikipedia.org/wiki/J._K._Rowling,"Yate, Gloucestershire",has location,Being_born
http://en.wikipedia.org/wiki/Harry_Potter,"British author and philanthropist born 1965  Joanne Rowling  / r o l / i ROH -ling ; born 31 July 1965 , better known by her pen name J. K. Rowling",has author,Text
http://en.wikipedia.org/wiki/J._K._Rowling,1965,has time,Being_named
http://en.wikipedia.org/wiki/Calluna,into 84 languages,has theme,Translating
http://en.wikipedia.org/wiki/Harry_Potter,"Harry Potter, a seven-volume series about a young wizard",has text,Text_creation
http://en.wikipedia.org/wiki/Amnesty_International,themes,has theme,Part_inner_outer
http://en.wikipedia.org/wiki/Harry_Potter,languages,has theme,Frequency
http://en.wikipedia.org/wiki/Harry_Potter,films and video games,has theme,Inclusion
http://en.wikipedia.org/wiki/Amnesty_International,many,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Harry_Potter,fantasy novels,has work,Publishing
http://en.wikipedia.org/wiki/Amnesty_International,1997,has time,Forming_relationships
http://en.wikipedia.org/wiki/Harry_Potter,1965,has time,Text_creation
http://en.wikipedia.org/wiki/Amnesty_International,series,has theme,Part_inner_outer
http://en.wikipedia.org/wiki/Harry_Potter,"British author and philanthropist born 1965 Joanne Rowling  / r o l / i ROH -ling ; born 31 July 1965 , better known by her pen name J. K. Rowling",has author,Text_creation
http://en.wikipedia.org/wiki/J._K._Rowling,writing,has text,Text
http://en.wikipedia.org/wiki/Amnesty_International,school,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Harry_Potter,1965,has time,Text
http://en.wikipedia.org/wiki/Amnesty_International,that,has theme,Relative_time
http://en.wikipedia.org/wiki/Amnesty_International,Six sequels,has theme,Relative_time
http://en.wikipedia.org/wiki/J._K._Rowling,Rowling's writing,has item,Categorization
http://en.wikipedia.org/wiki/Harry_Potter,http://en.wikipedia.org/wiki/United_Kingdom,has location,Text
http://en.wikipedia.org/wiki/Amnesty_International,series,has cause,Cause_to_resume
http://en.wikipedia.org/wiki/Harry_Potter,global media franchise,has theme,Inclusion
http://en.wikipedia.org/wiki/Amnesty_International,period,has theme,Frequency
http://en.wikipedia.org/wiki/J._K._Rowling,1965,has time,Text_creation
http://en.wikipedia.org/wiki/J._K._Rowling,mother,has theme,Kinship
http://en.wikipedia.org/wiki/J._K._Rowling,Many reviewers,has theme,Categorization
http://en.wikipedia.org/wiki/Harry_Potter,history,has theme,Individual_history
http://en.wikipedia.org/wiki/Amnesty_International,as regressive,has category,Categorization
http://en.wikipedia.org/wiki/Harry_Potter,over the Harry Potter series,has theme,Discussion
http://en.wikipedia.org/wiki/Harry_Potter,1997 to 2007,has time,Publishing
http://en.wikipedia.org/wiki/Harry_Potter,novelist,has text,Text
http://en.wikipedia.org/wiki/Harry_Potter,"death of her mother, the birth of her first child, divorce from her first husband, and relative poverty until the first novel in the series, Harry Potter and the Philosopher's Stone, was published in 1997",has effect,Causation
http://en.wikipedia.org/wiki/Amnesty_International,host of imitators,has theme,Giving_birth
http://en.wikipedia.org/wiki/Harry_Potter,copies,has theme,Duplication
http://en.wikipedia.org/wiki/Amnesty_International,"Bildungsroman  the coming-of-age genre , school stories, fairy tales, and Christian allegory",has theme,Inclusion
http://en.wikipedia.org/wiki/J._K._Rowling,Joanne Rowling  / r o l / i ROH -ling ; born 31 July 1965,has entity,Being_named
http://en.wikipedia.org/wiki/Harry_Potter,1965,has time,Being_born
http://en.wikipedia.org/wiki/Amnesty_International,sequels,has text,Text
http://en.wikipedia.org/wiki/Amnesty_International,"boy called Harry Potter as he attends Hogwarts  a school for wizards , and battles Lord Voldemort",has theme,Relative_time
http://en.wikipedia.org/wiki/Amnesty_International,accolades,has theme,Quantified_mass
http://en.wikipedia.org/wiki/J._K._Rowling,husband,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Amnesty_International,series,has mother,Giving_birth
http://en.wikipedia.org/wiki/Harry_Potter,1997,has time,Individual_history
http://en.wikipedia.org/wiki/Amnesty_International,wizards,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Harry_Potter,wizard,has entity,Age
http://en.wikipedia.org/wiki/Amnesty_International,boy,has person,People_by_age
http://en.wikipedia.org/wiki/Harry_Potter,31 July 1965,has time,Being_born
http://en.wikipedia.org/wiki/Amnesty_International,series,has theme,Text
http://en.wikipedia.org/wiki/Amnesty_International,Lord Voldemort,has theme,Hostile_encounter
http://en.wikipedia.org/wiki/Forbes,http://en.wikipedia.org/wiki/J._K._Rowling,has theme,Appointing
http://en.wikipedia.org/wiki/Harry_Potter,young,has age,Age
http://en.wikipedia.org/wiki/Forbes,2008,has time,Appointing
http://en.wikipedia.org/wiki/J._K._Rowling,her work,has reason,Judgment
http://en.wikipedia.org/wiki/Amnesty_International,her mother,has theme,Death
http://en.wikipedia.org/wiki/Amnesty_International,her first husband,has theme,Forming_relationships
http://en.wikipedia.org/wiki/Harry_Potter,1997,has time,Causation
http://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows,2007,has time,Process_end
http://en.wikipedia.org/wiki/Amnesty_International,Its influences,has theme,Inclusion
http://en.wikipedia.org/wiki/Harry_Potter,religious debates over the Harry Potter series,has entity,Existence
http://en.wikipedia.org/wiki/Harry_Potter,active fandom,has theme,Subjective_influence
