subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Patrick_Brontë,Kinship:has_theme,"Maria ( née Branwell) and Patrick Bront, a poor Irish clergyman in the Church of England",0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Temporal_collocation:has_theme,"he won a place to study theology at St. John's College, Cambridge",0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Likelihood:has_degree,most,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Ordinal_numbers:has_type,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Temporal_collocation:has_theme,1847,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,People_by_age:has_theme,"born to Hugh Brunty and Eleanor McCrory, poor Irish peasant farmers",0.9,Unknown,True
http://en.wikipedia.org/wiki/Irish_people,Wealthiness:has_person,Irish peasant farmers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mirfield,Being_employed:has_position,as a governess,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Text:has_text,book,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Temporal_collocation:has_theme,"Her first novel, Agnes Grey, was published",0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Categorization:has_category,classics of English literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Temporal_collocation:has_theme,he was ordained in the priesthood in the Church of England,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Brontë,Attending:has_time,between 1836 and 1837,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mirfield,Temporal_subregion:has_theme,1839 and 1845,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Categorization:has_item,both of her novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Joe_Prunty,Categorization:has_category,as Prunty or Brunty,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Locale:has_location,St,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Age:has_degree,"ten children born to Hugh Brunty and Eleanor McCrory, poor Irish peasant farmers",0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Fields:has_theme,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Quantified_mass:has_quantity,both,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,Getting:has_theme,"place to study theology at St. John's College, Cambridge",0.9,Unknown,True
http://en.wikipedia.org/wiki/Mirfield,Temporal_subregion:has_theme,between,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Residence:has_location,parish of Haworth on the Yorkshire Dales,0.9,Unknown,True
http://en.wikipedia.org/wiki/Church_of_England,Being_named:has_theme,Branwell,0.9,Unknown,True
http://en.wikipedia.org/wiki/Patrick_Brontë,Being_born:has_location,"two-room cottage in Emdale, Loughbrickland, County Down, Ireland",0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Ordinal_numbers:has_type,edition,0.9,Unknown,True
http://en.wikipedia.org/wiki/Irish_people,Wealthiness:has_person,Irish clergyman,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mirfield,Being_employed:has_employee,http://en.wikipedia.org/wiki/Anne_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,Getting:has_recipient,http://en.wikipedia.org/wiki/Patrick_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Being_born:has_theme,"Hugh Brunty and Eleanor McCrory, poor Irish peasant farmers",0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Studying:has_theme,theology,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Temporal_collocation:has_theme,1846,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Studying:has_institution,"St. John's College, Cambridge",0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,Preventing_or_letting:has_event,republication of The Tenant of Wildfell Hall,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Publishing:has_time,1846,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Brontë,Fame:has_degree,as well,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Patrick_Brontë,Education_teaching:has_student,others,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,Preventing_or_letting:has_theme,her sister Charlotte,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Increment:has_theme,others,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mirfield,Locale_by_use:has_theme,school,0.9,Unknown,True
http://en.wikipedia.org/wiki/Joe_Prunty,Categorization:has_item,"family surname, mac Aedh Proinntigh",0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Relative_time:has_theme,two novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Studying:has_student,http://en.wikipedia.org/wiki/Patrick_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Brontë,Causation:has_effect,Anne is not as well known as her sisters,0.9,Unknown,True
http://en.wikipedia.org/wiki/Patrick_Brontë,Kinship:has_theme,Anne Bront,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mirfield,Locale_by_use:has_theme,boarding,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Death:has_time,29,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Rite:has_theme,http://en.wikipedia.org/wiki/Patrick_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Text:has_author,http://en.wikipedia.org/wiki/Anne_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Cardinal_numbers:has_theme,two,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mirfield,Temporal_subregion:has_theme,1836 and 1837,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Kinship:has_theme,Bront,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Kinship:has_theme,http://en.wikipedia.org/wiki/Anne_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Being_named:has_theme,http://en.wikipedia.org/wiki/Brontë_family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Text:has_text,http://en.wikipedia.org/wiki/Agnes_Grey,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Likelihood:has_theme,pulmonary tuberculosis,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Being_named:has_entity,http://en.wikipedia.org/wiki/Patrick_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,Getting:has_location,St,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Identicality:has_theme,time,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Medical_conditions:has_theme,pulmonary,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Residence:has_theme,most of her life,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Brontë,Attending:has_location,http://en.wikipedia.org/wiki/Mirfield,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Cause_change:has_entity,"his name, Brunty",0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Rite:has_time,1807,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Brontë,Membership:has_member,"Anne Bront ( / b r n t i /, commonly /- t",0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Text:has_theme,feminist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Being_born:has_person,http://en.wikipedia.org/wiki/Patrick_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Residence:has_theme,http://en.wikipedia.org/wiki/Anne_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Brontë,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Church_of_England,Being_named:has_entity,Maria,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Brontë,Kinship:has_theme,Anne's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Publishing:has_work,"Her first novel, Agnes Grey",0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,Publishing:has_time,1848,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Temporal_collocation:has_theme,"she published a book of poems with her sisters and later two novels, initially under the pen name Acton Bell",0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Kinship:has_theme,brother,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Origin:has_entity,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Rite:has_organization,priesthood in the Church of England,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Brontë,Text:has_text,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Death:has_theme,http://en.wikipedia.org/wiki/Anne_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Patrick_Brontë,Education_teaching:has_skill,read and write,0.9,Unknown,True
http://en.wikipedia.org/wiki/Irish_people,People:has_person,peasant,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Publishing:has_theme,her sister Emily Bront,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Quantified_mass:has_theme,her novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Medical_conditions:has_theme,tuberculosis,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wuthering_Heights,Publishing:has_time,same time as Wuthering Heights,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mirfield,Locative_relation:has_theme,elsewhere,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Brontë,Attending:has_event,boarding school,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Charlotte,_North_Carolina",Text:has_theme,fix issues with its first edition,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Kinship:has_theme,http://en.wikipedia.org/wiki/Anne_Brontë,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Temporal_collocation:has_theme,1802,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Likelihood:has_theme,Anne died at 29,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,Relative_time:has_theme,her death,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Cause_change:has_theme,more distinguished sounding Bront,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Studying:has_location,St,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anne_Brontë,Text:has_author,Anne's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Yorkshire_Dales,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Emily_Brontë,Kinship:has_theme,sisters,0.9,Unknown,True
