Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,novellas,has text,Text
http://en.wikipedia.org/wiki/Prague,"His mother, Sophie ""Phia"" Entz 1851–1931 ",has entity,Origin
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,one,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,as an idiosyncratic and expressive poet,has reason,Judgment_communication
http://en.wikipedia.org/wiki/Prague,early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,"television shows, books and motion pictures",has location,Statement
http://en.wikipedia.org/wiki/Kingdom_of_Bohemia,"His father, Josef Rilke 1838–1906,",has employee,Being_employed
http://en.wikipedia.org/wiki/Kingdom_of_Bohemia,Herrengasse Panská 8,has location,Residence
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,1931,has time,Kinship
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,books,has text,Text
http://en.wikipedia.org/wiki/Czech_Republic,railway,has theme,Leadership
http://en.wikipedia.org/wiki/Austria-Hungary,then,has time,Leadership
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,writings,has text,Text
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,authors,has author,Text_creation
http://en.wikipedia.org/wiki/Prague,1931,has time,Origin
http://en.wikipedia.org/wiki/German_language,German language,has theme,Frequency
http://en.wikipedia.org/wiki/Kingdom_of_Bohemia,military,has theme,Military
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,correspondence,has theme,Text
http://en.wikipedia.org/wiki/Switzerland,which,has theme,Subjective_influence
http://en.wikipedia.org/wiki/Prague,family,has theme,Kinship
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,later,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,early novellas,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,Poet,has text,Text
http://en.wikipedia.org/wiki/Kingdom_of_Bohemia,as a railway official,has position,Being_employed
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,best,has degree,Fame
http://en.wikipedia.org/wiki/W._B._Yeats_bibliography,Young,has age,Age
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,few,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/The_Notebooks_of_Malte_Laurids_Brigge,"two poetry collections : Duino Elegies  Duineser Elegien  and Sonnets to Orpheus  Die Sonette an Orpheus , a semi-autobiographical novel The Notebooks of Malte Laurids Brigge  Die Aufzeichnungen des Malte Laurids Brigge , and a collection of ten letters published posthumously Letters to a Young Poet  Briefe an einen jungen Dichter ",has theme,Inclusion
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,http://en.wikipedia.org/wiki/France,has location,Fame
http://en.wikipedia.org/wiki/Czech_Republic,1906,has time,Leadership
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,idiosyncratic and expressive,has theme,Text
http://en.wikipedia.org/wiki/Switzerland,many of his poems,has product,Subjective_influence
http://en.wikipedia.org/wiki/Switzerland,finally,has time,Colonization
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,20th century,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Switzerland,many,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,collections of poetry,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,extensively throughout Europe,has theme,Travel
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,several,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,"Prague, capital of Kingdom of Bohemia then ruled by Austria-Hungary, now capital of the Czech Republic",has location,Being_born
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,http://en.wikipedia.org/wiki/Prague,has location,Kinship
http://en.wikipedia.org/wiki/Austria,Rilke disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Rainer_Maria_Rilke,mother,has theme,Kinship
