subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Middle_Ages,Assistance:has_goal,establish the modern-day standardized Italian language,0.9,Unknown,True
http://en.wikipedia.org/wiki/La_Vita_Nuova,Subjective_influence:has_theme,larger body of Western art and literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Categorization:has_category,one of the most important poems of the Middle Ages and the greatest literary work in the Italian language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Italy,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Time_vector:has_event,follow,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Purpose:has_means,"interlocking three-line rhyme scheme, or the terza rima,",0.9,Unknown,True
http://en.wikipedia.org/wiki/La_Vita_Nuova,Judgment:has_evaluee,"first use of the interlocking three-line rhyme scheme, or the terza rima,",0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Ordinal_numbers:has_type,use of the interlocking three-line rhyme scheme,0.9,Unknown,True
http://en.wikipedia.org/wiki/La_Vita_Nuova,Subjective_influence:has_theme,"English writers such as Geoffrey Chaucer, John Milton, and Alfred Tennyson, among many others",0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Categorization:has_item,"His Divine Comedy, originally called Comeda (modern Italian: Commedia ) and later christened Divina by Giovanni Boccaccio",0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Aggregate:has_theme,Western art and literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Divine_Comedy,Name_conferral:has_speaker,http://en.wikipedia.org/wiki/Giovanni_Boccaccio,0.9,Unknown,True
http://en.wikipedia.org/wiki/Divine_Comedy,Name_conferral:has_entity,His Divine Comedy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dante_Alighieri,Using:has_purpose,works such as The New Life (1295) and Divine Comedy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Fields:has_theme,literary,0.9,Unknown,True
http://en.wikipedia.org/wiki/English_language,Text:has_text,writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/La_Vita_Nuova,Judgment:has_theme,http://en.wikipedia.org/wiki/Dante_Alighieri,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Importance:has_theme,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Text_creation:has_author,writers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Italy,Text:has_text,poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Importance:has_theme,Italian writers such as Petrarch and Boccaccio,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dante_Alighieri,Subjective_influence:has_location,http://en.wikipedia.org/wiki/Italy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Divine_Comedy,Referring_by_name:has_theme,Comeda (modern Italian: Commedia,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Expertise:has_theme,writing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Quantified_mass:has_theme,Italian poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Supply:has_theme,inspiration,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Origin:has_theme,http://en.wikipedia.org/wiki/Italy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Italy,Reference_text:has_theme,Dante (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Dominate_situation:has_theme,language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Fields:has_theme,writing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Political_locales:has_theme,country,0.9,Unknown,True
http://en.wikipedia.org/wiki/Italy,Cause_motion:has_theme,inspiration,0.9,Unknown,True
http://en.wikipedia.org/wiki/Italy,Subjective_influence:has_theme,French or Provençal traditions,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dante_Alighieri,Be_subset_of:has_theme,country's national poets and the Western world's greatest literary icons,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Fields:has_theme,art,0.9,Unknown,True
http://en.wikipedia.org/wiki/Italy,Cause_motion:has_agent,many Italian poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Text:has_text,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Supply:has_theme,"His depictions of Hell, Purgatory, and Heaven",0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Political_locales:has_theme,national,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Custom:has_theme,French or Provençal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Text:has_text,writing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dante_Alighieri,Importance:has_theme,establishing the literature of Italy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Continued_state_of_affairs:has_theme,dominant language for scholarly and literary writing,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Fields:has_location,http://en.wikipedia.org/wiki/Italy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Assistance:has_theme,His use of the Florentine dialect for works such as The New Life (1295) and Divine Comedy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Tuscan_dialect,Indigenous_origin:has_entity,Tuscan dialect,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dante_Alighieri,Categorization:has_category,be among the country's national poets and the Western world's greatest literary icons,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dante_Alighieri,Text:has_text,poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/Divine_Comedy,Referring_by_name:has_entity,His Divine Comedy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Divine_Comedy,Referring_by_name:has_time,originally,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dante_Alighieri,Intentionally_create:has_theme,literature of Italy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dante_Alighieri,Categorization:has_category,"as the "" father "" of the Italian language",0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Origin:has_entity,poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Aggregate:has_theme,larger,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dante_Alighieri,Using:has_instrument,Florentine dialect,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Aggregate:has_theme,body,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Quantified_mass:has_quantity,many,0.9,Unknown,True
http://en.wikipedia.org/wiki/La_Vita_Nuova,Subjective_influence:has_theme,"His depictions of Hell, Purgatory, and Heaven",0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Text:has_theme,scholarly and literary,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Relative_time:has_theme,christened Divina by Giovanni Boccaccio,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Fields:has_theme,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Continued_state_of_affairs:has_theme,still,0.9,Unknown,True
http://en.wikipedia.org/wiki/La_Vita_Nuova,Subjective_influence:has_entity,http://en.wikipedia.org/wiki/Dante_Alighieri,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Intentionally_create:has_theme,modern-day standardized Italian language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Italy,Subjective_influence:has_theme,many Italian poets,0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Ordinal_numbers:has_type,scholarly defenses of the vernacular,0.9,Unknown,True
http://en.wikipedia.org/wiki/Italy,Cause_motion:has_theme,French or Provençal traditions,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dante_Alighieri,Text_creation:has_text,"vernacular, specifically his native Tuscan dialect",0.9,Unknown,True
http://en.wikipedia.org/wiki/Middle_Ages,Political_locales:has_theme,country's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dante_Alighieri,Categorization:has_location,http://en.wikipedia.org/wiki/Italy,0.9,Unknown,True
