Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Golden_Horde,serve Vasily II of Moscow,has purpose,Quitting
http://en.wikipedia.org/wiki/Ivan_Turgenev,Ivan Ivanovich Lutovinov,has theme,Kinship
http://en.wikipedia.org/wiki/Ivan_Turgenev,Turgenev family,has entity,Age
http://en.wikipedia.org/wiki/East_Slavic_languages,Sportsman's Sketches,has theme,Documents
http://en.wikipedia.org/wiki/East_Slavic_languages,http://en.wikipedia.org/wiki/Ivan_Turgenev,has theme,Being_named
http://en.wikipedia.org/wiki/Russia,http://en.wikipedia.org/wiki/Oryol,has location,Kinship
http://en.wikipedia.org/wiki/East_Slavic_languages,literature,has theme,Fields
http://en.wikipedia.org/wiki/East_Slavic_languages,childhood,has activity,Difficulty
http://en.wikipedia.org/wiki/Ivan_Turgenev,wealthy noble Lutovinov house of the Oryol Governorate,has theme,Origin
http://en.wikipedia.org/wiki/East_Slavic_languages,story,has text,Text
http://en.wikipedia.org/wiki/Ivan_Turgenev,1816,has time,Personal_relationship
http://en.wikipedia.org/wiki/East_Slavic_languages,short story,has theme,Aggregate
http://en.wikipedia.org/wiki/East_Slavic_languages,fiction,has text,Text
http://en.wikipedia.org/wiki/Ivan_Turgenev,old,has attribute,Age
http://en.wikipedia.org/wiki/East_Slavic_languages,house,has theme,Buildings
http://en.wikipedia.org/wiki/East_Slavic_languages,Lev Turgen Ivan Turgenev after his baptism,has theme,Assistance
http://en.wikipedia.org/wiki/East_Slavic_languages,19th-century,has theme,Text
http://en.wikipedia.org/wiki/East_Slavic_languages,mother,has theme,Kinship
http://en.wikipedia.org/wiki/East_Slavic_languages,huge,has theme,Luck
http://en.wikipedia.org/wiki/East_Slavic_languages,major,has theme,Labor_product
http://en.wikipedia.org/wiki/Ivan_Turgenev,Fathers and Sons,has text,Text
http://en.wikipedia.org/wiki/Fathers_and_Sons_(novel),His novel Fathers and Sons 1862,has item,Categorization
http://en.wikipedia.org/wiki/East_Slavic_languages,left his house,has theme,Relative_time
http://en.wikipedia.org/wiki/Ivan_Turgenev,ancestor,has theme,Kinship
http://en.wikipedia.org/wiki/East_Slavic_languages,live with her uncle,has purpose,Departing
http://en.wikipedia.org/wiki/East_Slavic_languages,she married Turgenev,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Fathers_and_Sons_(novel),Ivan and his brothers Nikolai and Sergei,has theme,Kinship
http://en.wikipedia.org/wiki/Russia,Turgenev surname ,has information,Reference_text
http://en.wikipedia.org/wiki/Oryol_Oblast,http://en.wikipedia.org/wiki/Oryol,has theme,Leadership
http://en.wikipedia.org/wiki/Russia,realism,has entity,Origin
http://en.wikipedia.org/wiki/East_Slavic_languages,woman,has agent,Strictness
http://en.wikipedia.org/wiki/East_Slavic_languages,Ivan and his brothers Nikolai and Sergei,has theme,Growing_food
http://en.wikipedia.org/wiki/Fathers_and_Sons_(novel),mother,has theme,Kinship
http://en.wikipedia.org/wiki/Russia,novelist,has text,Text
http://en.wikipedia.org/wiki/Ivan_Turgenev,mother,has theme,Kinship
http://en.wikipedia.org/wiki/East_Slavic_languages,Turgenev family,has participant,Individual_history
