Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Queen_Victoria,his poems,has theme,Desirability
http://en.wikipedia.org/wiki/Trinity_College_Dublin,stroke,has theme,Death
http://en.wikipedia.org/wiki/Baron_Tennyson,2025,has time,Calendric_unit
http://en.wikipedia.org/wiki/Baron_Tennyson,poems,has text,Text
http://en.wikipedia.org/wiki/Baron_Tennyson,uses,has class,Increment
http://en.wikipedia.org/wiki/Trinity_College_Dublin,"commemorate his friend Arthur Hallam, a fellow poet and student at Trinity College, Cambridge",has theme,Relative_time
http://en.wikipedia.org/wiki/Queen_Victoria,"his first solo collection of poems, Poems, Chiefly Lyrical",has work,Publishing
http://en.wikipedia.org/wiki/Queen_Victoria,Tennyson's most celebrated poems,has theme,Proportional_quantity
http://en.wikipedia.org/wiki/Trinity_College_Dublin,22,has age,Age
http://en.wikipedia.org/wiki/Queen_Victoria,solo collection of poems,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Samuel_Taylor_Coleridge,"well-known writers of the day, including Samuel Taylor Coleridge",has theme,Attention
http://en.wikipedia.org/wiki/Queen_Victoria,notable blank verse,has theme,Inclusion
http://en.wikipedia.org/wiki/Cambridge,1829,has time,Judgment_communication
http://en.wikipedia.org/wiki/Baron_Tennyson,improve it by rewriting it in an encyclopedic style,has goal,Assistance
http://en.wikipedia.org/wiki/Cambridge,"one of his first pieces, ""Timbuktu",has theme,Judgment_communication
http://en.wikipedia.org/wiki/Trinity_College_Dublin,he died of a stroke at the age of 22,has theme,Relative_time
http://en.wikipedia.org/wiki/Arthur_Hallam,"http://en.wikipedia.org/wiki/Alfred,_Lord_Tennyson",has theme,Personal_relationship
http://en.wikipedia.org/wiki/Cambridge,Chancellor's Gold Medal at Cambridge,has reason,Judgment_communication
http://en.wikipedia.org/wiki/Trinity_College_Dublin,poet,has person,People_by_vocation
http://en.wikipedia.org/wiki/Baron_Tennyson,how and when to remove this message,has skill,Education_teaching
http://en.wikipedia.org/wiki/Trinity_College_Dublin,after he died of a stroke at the age of 22,has time,Text_creation
http://en.wikipedia.org/wiki/Queen_Victoria,poetry,has theme,Temporal_subregion
"http://en.wikipedia.org/wiki/Alfred,_Lord_Tennyson","notable blank verse, including Idylls of the King, ""Ulysses, and "" Tithonus ",has text,Text_creation
http://en.wikipedia.org/wiki/Cambridge,1829,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Queen_Victoria,some critics,has speaker,Communicate_categorization
http://en.wikipedia.org/wiki/Queen_Victoria,lyrics,has theme,Duration_description
http://en.wikipedia.org/wiki/England,poet,has text,Text
http://en.wikipedia.org/wiki/Arthur_Hallam,http://en.wikipedia.org/wiki/Trinity_College_Dublin,has location,Personal_relationship
"http://en.wikipedia.org/wiki/Alfred,_Lord_Tennyson",his poems,has agent,Bringing
http://en.wikipedia.org/wiki/Queen_Victoria,little success,has theme,Experiencer_focus
http://en.wikipedia.org/wiki/Baron_Tennyson,encyclopedic style,has theme,Text_creation
http://en.wikipedia.org/wiki/Queen_Victoria,some of Tennyson's most celebrated poems,has state,State_continue
http://en.wikipedia.org/wiki/Baron_Tennyson,2025,has time,Education_teaching
http://en.wikipedia.org/wiki/England,2025,has time,Text
http://en.wikipedia.org/wiki/United_Kingdom,King,has leader,Leadership
