subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Publishing:has_work,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Time_vector:has_theme,beginning his literary career as a journalist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portsmouth,Being_employed:has_theme,boot-blacking factory,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Measure_duration:has_theme,three,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Duration_description:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Cardinal_numbers:has_theme,20,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Cardinal_numbers:has_theme,five,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Time_vector:has_theme,three years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Temporal_collocation:has_theme,today,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Reading_activity:has_time,today,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Calendric_unit:has_theme,few,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Desirability:has_degree,unprecedented,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Fame:has_entity,international literary celebrity,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Dimension:has_theme,widely,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Calendric_unit:has_theme,era,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Becoming:has_theme,"international literary celebrity, famous for his humour, satire and keen observation of character and society",0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Text:has_text,novellas,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Text_creation:has_author,Charles John Huffam Dickens ( d k n z / i,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Text:has_text,publications,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Dominate_situation:has_agent,Victorian,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Time_vector:has_theme,before,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Text_creation:has_text,short story,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Becoming:has_theme,dominant Victorian mode for novel publication,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Political_locales:has_theme,international,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Departing:has_time,when his father John was incarcerated in a debtors'prison,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Stimulus_focus:has_theme,readers,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Text:has_text,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Measure_duration:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Proportional_quantity:has_theme,literature's best-known fictional characters,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Quantified_mass:has_theme,short stories and nonfiction articles,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Increment:has_class,social reforms,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Text:has_text,narrative fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Process_start:has_theme,"1836 serial publication of The Pickwick Papers, a publishing phenomenon—thanks largely to the introduction of the character Sam Weller in the fourth episode—that sparked Pickwick merchandise and spin-offs",0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Desirability:has_theme,His works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Cause_change:has_entity,his plot and character development,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portsmouth,Imprisonment:has_theme,debtors'prison,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Cardinal_numbers:has_entity,novellas,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Departing:has_theme,school,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Assessing:has_feature,his audience's reaction,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Achieving_first:has_theme,"serial publication of narrative fiction, which became the dominant Victorian mode for novel publication",0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Cause_change:has_theme,based on such feedback,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Time_vector:has_event,he returned to school,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Cardinal_numbers:has_entity,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Text:has_theme,nonfiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Quantified_mass:has_quantity,hundreds,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Text:has_text,articles,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Frequency:has_theme,weekly,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Frequency:has_event,instalments,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Categorization:has_category,as the greatest novelist of the Victorian era,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Locale_by_use:has_theme,school,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Text:has_text,Pickwick Papers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Cardinal_numbers:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Publishing:has_work,most of them,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Reading_activity:has_text,His novels and short stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Reforming_a_system:has_entity,social,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Cause_to_continue:has_process,readers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portsmouth,Being_employed:has_employee,http://en.wikipedia.org/wiki/Charles_Dickens,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Arriving:has_time,before beginning his literary career as a journalist,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Prohibiting_or_licensing:has_principle,instalment format,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Intentionally_create:has_theme,some of literature's best-known fictional characters,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Frequency:has_theme,monthly,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Time_vector:has_theme,After,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portsmouth,Locale_by_use:has_theme,factory,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Prohibiting_or_licensing:has_theme,Dickens to evaluate his audience's reaction,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Process_start:has_event,Dickens's literary success,0.9,Unknown,True
http://en.wikipedia.org/wiki/Portsmouth,Imprisonment:has_theme,his father John,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Dimension:has_object,read,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Measure_duration:has_theme,20,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Cause_to_start:has_cause,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Kinship:has_theme,father,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Arriving:has_goal,school,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Text:has_text,journal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Defending:has_theme,vigorously,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Cause_to_continue:has_cause,Cliffhanger endings in his serial publications,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Intentionally_act:has_act,readings,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Cause_to_continue:has_state,suspense,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Perception_active:has_theme,http://en.wikipedia.org/wiki/Charles_Dickens,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Categorization:has_theme,many,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Becoming:has_entity,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Achieving_first:has_theme,"His novels, most of them published in monthly or weekly instalments",0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Departing:has_location,http://en.wikipedia.org/wiki/Portsmouth,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Text:has_text,letter,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Text:has_theme,1836,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gospel_of_John,Frequency:has_event,journal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Dickens,Text_creation:has_text,15 novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Pickwick_Papers,Reading_perception:has_reader,readers,0.9,Unknown,True
