Source,Target,Label,Frame
http://en.wikipedia.org/wiki/This_Side_of_Paradise,marry him,has theme,Make_agreement_on_action
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,1922,has time,Text
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,Age,has theme,Calendric_unit
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,1920,has time,Successful_action
http://en.wikipedia.org/wiki/This_Side_of_Paradise,lifestyle,has person,Wealthiness
http://en.wikipedia.org/wiki/United_States,20th century,has theme,Text
http://en.wikipedia.org/wiki/Alabama,"Zelda Sayre, a Southern debutante who belonged to Montgomery's exclusive country-club set",has theme,Make_acquaintance
http://en.wikipedia.org/wiki/This_Side_of_Paradise,1922,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,1917,has time,Relation
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,F. Scott Fitzgerald's,has theme,Kinship
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,during World War I,has time,Becoming_a_member
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,his death,has theme,Relative_time
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,further into the cultural elite,has goal,Cause_motion
http://en.wikipedia.org/wiki/Alabama,"he met Zelda Sayre, a Southern debutante who belonged to Montgomery's exclusive country-club set",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Alabama,Montgomery's exclusive country-club set,has group,Membership
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,Beautiful and Damned,has text,Text
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,financial prospects,has theme,Possession
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,His second novel The Beautiful and Damned 1922,has cause,Cause_motion
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,as one of the greatest American writers of the 20th century,has category,Categorization
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,financial,has theme,Possession
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,people,has class,Increment
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,this name,has theme,People
http://en.wikipedia.org/wiki/Alabama,http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,has theme,Make_acquaintance
http://en.wikipedia.org/wiki/This_Side_of_Paradise,after he published the commercially successful This Side of Paradise 1920,has time,Make_agreement_on_action
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,as one of the eminent writers of the decade,has reason,Fame
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,century,has theme,Calendric_unit
"http://en.wikipedia.org/wiki/Saint_Paul,_Minnesota",middle-class,has theme,Kinship
http://en.wikipedia.org/wiki/This_Side_of_Paradise,decade,has time,Text_creation
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,novels,has text,Text
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,Princeton University where he befriended future literary critic Edmund Wilson,has event,Attending
http://en.wikipedia.org/wiki/This_Side_of_Paradise,http://en.wikipedia.org/wiki/Zelda_Fitzgerald,has theme,Make_agreement_on_action
http://en.wikipedia.org/wiki/This_Side_of_Paradise,cultural sensation,has theme,Becoming
"http://en.wikipedia.org/wiki/Saint_Paul,_Minnesota",family,has theme,Kinship
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,initially,has time,Respond_to_proposal
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,now,has time,Categorization
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,name,has theme,Being_named
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,1917,has time,Successful_action
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,this,has entity,Being_named
http://en.wikipedia.org/wiki/Zelda_Fitzgerald,Zelda Sayre,has theme,Forming_relationships
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,he did not receive critical acclaim,has theme,Relative_time
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,story,has text,Text
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,"his novels depicting the flamboyance and excess of the Jazz Age, a term that he popularized in his short story collection Tales of the Jazz Age",has reason,Fame
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,temporary,has time,Success_or_failure
http://en.wikipedia.org/wiki/Alabama,who,has member,Membership
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,1920,has time,Possession
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,collection,has theme,Aggregate
http://en.wikipedia.org/wiki/This_Side_of_Paradise,magazines,has theme,Desirability
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,"four novels, four story collections, and 164 short stories",has work,Publishing
http://en.wikipedia.org/wiki/This_Side_of_Paradise,novel,has text,Text
http://en.wikipedia.org/wiki/United_States,novelist,has entity,Origin
http://en.wikipedia.org/wiki/F._Scott_Fitzgerald,short story,has theme,Aggregate
