subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/James_Blish,Process_start:has_time,early 20th century,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Temporal_subregion:has_theme,20th century,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Temporal_subregion:has_theme,late,0.9,Unknown,True
http://en.wikipedia.org/wiki/London,Assistance:has_goal,discover and shape the work of contemporaries such as H.D,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,People:has_age,Young,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Text:has_theme,1915,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ezra_Pound,Experiencer_obj:has_theme,carnage of World War I,0.9,Unknown,True
http://en.wikipedia.org/wiki/London,Assistance:has_theme,http://en.wikipedia.org/wiki/Ezra_Pound,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Temporal_subregion:has_theme,early,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_location,Fascist Italy,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Relative_time:has_theme,incarnation as a German puppet state,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Text:has_time,1924,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Blish,Text_creation:has_author,who,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Blish,Economy:has_theme,economy,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Judgment:has_theme,http://en.wikipedia.org/wiki/Ezra_Pound,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Blish,Responsibility:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Cantos,Being_named:has_time,1924,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Blish,Cause_to_make_progress:has_agent,http://en.wikipedia.org/wiki/Ezra_Pound,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Blish,Temporal_subregion:has_time,1913,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Statement:has_message,"that, for poets born in the late 19th or early 20th century, not to be influenced by Pound would be "" like passing through a great blizzard and not feeling its cold",0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Age:has_entity,Man,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Blish,Temporal_subregion:has_theme,modernist poetry movement,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ernest_Hemingway,Text_creation:has_time,1932,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Traversing:has_time,1932,0.9,Unknown,True
http://en.wikipedia.org/wiki/T._S._Eliot,Perception_experience:has_time,1932,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Blish,Importance:has_theme,early modernist poetry movement,0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Blish,Cause_to_make_progress:has_project,"Imagism, a movement stressing precision and economy of language",0.9,Unknown,True
http://en.wikipedia.org/wiki/James_Blish,Origin:has_location,Fascist Italy,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Cantos,Subjective_influence:has_time,1932,0.9,Unknown,True
