subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Isla_Negra,Time_vector:has_theme,just hours,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isla_Negra,Buildings:has_time,1973,0.9,Unknown,True
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,Cardinal_numbers:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Pablo_Neruda,Institutionalization:has_time,"September 1973, at the time of the coup d'état led by Augusto Pinochet that overthrew Allende's government",0.9,Unknown,True
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,Escaping:has_time,1949,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chile,Inclusion:has_theme,"surrealist poems, historical epics, political manifestos, a prose autobiography, and passionate love poems such as the ones in his collection Twenty Love Poems and a Song of Despair (1924)",0.9,Unknown,True
http://en.wikipedia.org/wiki/Chile,Measure_duration:has_theme,13,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chile,Inclusion:has_time,1924,0.9,Unknown,True
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,Suspicion:has_theme,injecting him with an unknown substance for the purpose of murdering him on Pinochet's orders,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isla_Negra,Death:has_theme,http://en.wikipedia.org/wiki/Pablo_Neruda,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chile,Being_named:has_entity,maternal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isla_Negra,Time_vector:has_time,1973,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chile,Text:has_text,epics,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gabriel_González_Videla,Leadership:has_location,http://en.wikipedia.org/wiki/Chile,0.9,Unknown,True
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,Measure_duration:has_theme,years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,Reading_activity:has_reader,http://en.wikipedia.org/wiki/Pablo_Neruda,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Being_born:has_time,1904,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chile,Product_line:has_time,1924,0.9,Unknown,True
http://en.wikipedia.org/wiki/Pablo_Neruda,Motion:has_time,after accepting his Nobel Prize in Stockholm,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isla_Negra,Departing:has_theme,hospital,0.9,Unknown,True
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,Filling:has_theme,unknown substance,0.9,Unknown,True
http://en.wikipedia.org/wiki/Salvador_Allende,Leadership:has_location,http://en.wikipedia.org/wiki/Stockholm,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chile,Temporal_collocation:has_time,1924,0.9,Unknown,True
http://en.wikipedia.org/wiki/Pablo_Neruda,Residence:has_location,many diplomatic positions in various countries,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_recipient,http://en.wikipedia.org/wiki/Pablo_Neruda,0.9,Unknown,True
http://en.wikipedia.org/wiki/Pablo_Neruda,Arriving:has_goal,http://en.wikipedia.org/wiki/Chile,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Being_born:has_person,Ricardo Eliécer Neftal Reyes Basoalto,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chile,Measure_duration:has_time,1924,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chile,First_experience:has_theme,surname,0.9,Unknown,True
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,Filling:has_agent,doctor,0.9,Unknown,True
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,Filling:has_location,September,0.9,Unknown,True
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,Killing:has_theme,http://en.wikipedia.org/wiki/Pablo_Neruda,0.9,Unknown,True
http://en.wikipedia.org/wiki/Isla_Negra,Departing:has_time,1973,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chile,Temporal_collocation:has_theme,Neruda became known as a poet,0.9,Unknown,True
