Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Patrick_Brontë,"Maria  née Branwell and Patrick Bront, a poor Irish clergyman in the Church of England",has theme,Kinship
http://en.wikipedia.org/wiki/Yorkshire_Dales,"he won a place to study theology at St. John's College, Cambridge",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Yorkshire_Dales,most,has degree,Likelihood
http://en.wikipedia.org/wiki/Yorkshire_Dales,novel,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Yorkshire_Dales,1847,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Yorkshire_Dales,"born to Hugh Brunty and Eleanor McCrory, poor Irish peasant farmers",has theme,People_by_age
http://en.wikipedia.org/wiki/Irish_people,Irish peasant farmers,has person,Wealthiness
http://en.wikipedia.org/wiki/Mirfield,as a governess,has position,Being_employed
http://en.wikipedia.org/wiki/Yorkshire_Dales,book,has text,Text
http://en.wikipedia.org/wiki/Yorkshire_Dales,"Her first novel, Agnes Grey, was published",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/England,classics of English literature,has category,Categorization
http://en.wikipedia.org/wiki/Yorkshire_Dales,he was ordained in the priesthood in the Church of England,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Anne_Brontë,between 1836 and 1837,has time,Attending
http://en.wikipedia.org/wiki/Mirfield,1839 and 1845,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/England,both of her novels,has item,Categorization
http://en.wikipedia.org/wiki/Joe_Prunty,as Prunty or Brunty,has category,Categorization
http://en.wikipedia.org/wiki/Yorkshire_Dales,St,has location,Locale
http://en.wikipedia.org/wiki/Emily_Brontë,"ten children born to Hugh Brunty and Eleanor McCrory, poor Irish peasant farmers",has degree,Age
http://en.wikipedia.org/wiki/England,literature,has theme,Fields
http://en.wikipedia.org/wiki/Yorkshire_Dales,both,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,"place to study theology at St. John's College, Cambridge",has theme,Getting
http://en.wikipedia.org/wiki/Mirfield,between,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Yorkshire_Dales,parish of Haworth on the Yorkshire Dales,has location,Residence
http://en.wikipedia.org/wiki/Church_of_England,Branwell,has theme,Being_named
http://en.wikipedia.org/wiki/Patrick_Brontë,"two-room cottage in Emdale, Loughbrickland, County Down, Ireland",has location,Being_born
http://en.wikipedia.org/wiki/Yorkshire_Dales,edition,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Irish_people,Irish clergyman,has person,Wealthiness
http://en.wikipedia.org/wiki/Mirfield,http://en.wikipedia.org/wiki/Anne_Brontë,has employee,Being_employed
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,http://en.wikipedia.org/wiki/Patrick_Brontë,has recipient,Getting
http://en.wikipedia.org/wiki/Emily_Brontë,"Hugh Brunty and Eleanor McCrory, poor Irish peasant farmers",has theme,Being_born
http://en.wikipedia.org/wiki/Yorkshire_Dales,theology,has theme,Studying
http://en.wikipedia.org/wiki/Yorkshire_Dales,1846,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Yorkshire_Dales,"St. John's College, Cambridge",has institution,Studying
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,republication of The Tenant of Wildfell Hall,has event,Preventing_or_letting
http://en.wikipedia.org/wiki/Yorkshire_Dales,1846,has time,Publishing
http://en.wikipedia.org/wiki/Anne_Brontë,as well,has degree,Fame
http://en.wikipedia.org/wiki/Yorkshire_Dales,novels,has text,Text
http://en.wikipedia.org/wiki/Patrick_Brontë,others,has student,Education_teaching
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,her sister Charlotte,has theme,Preventing_or_letting
http://en.wikipedia.org/wiki/Yorkshire_Dales,others,has theme,Increment
http://en.wikipedia.org/wiki/Mirfield,school,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Joe_Prunty,"family surname, mac Aedh Proinntigh",has item,Categorization
http://en.wikipedia.org/wiki/Yorkshire_Dales,two novels,has theme,Relative_time
http://en.wikipedia.org/wiki/Yorkshire_Dales,http://en.wikipedia.org/wiki/Patrick_Brontë,has student,Studying
http://en.wikipedia.org/wiki/Anne_Brontë,Anne is not as well known as her sisters,has effect,Causation
http://en.wikipedia.org/wiki/Patrick_Brontë,Anne Bront,has theme,Kinship
http://en.wikipedia.org/wiki/Mirfield,boarding,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Yorkshire_Dales,29,has time,Death
http://en.wikipedia.org/wiki/Yorkshire_Dales,http://en.wikipedia.org/wiki/Patrick_Brontë,has theme,Rite
http://en.wikipedia.org/wiki/Emily_Brontë,http://en.wikipedia.org/wiki/Anne_Brontë,has author,Text
http://en.wikipedia.org/wiki/Yorkshire_Dales,two,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Mirfield,1836 and 1837,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/England,Bront,has theme,Kinship
http://en.wikipedia.org/wiki/Yorkshire_Dales,http://en.wikipedia.org/wiki/Anne_Brontë,has theme,Kinship
http://en.wikipedia.org/wiki/Emily_Brontë,http://en.wikipedia.org/wiki/Brontë_family,has theme,Being_named
http://en.wikipedia.org/wiki/Emily_Brontë,http://en.wikipedia.org/wiki/Agnes_Grey,has text,Text
http://en.wikipedia.org/wiki/Yorkshire_Dales,pulmonary tuberculosis,has theme,Likelihood
http://en.wikipedia.org/wiki/Emily_Brontë,http://en.wikipedia.org/wiki/Patrick_Brontë,has entity,Being_named
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,St,has location,Getting
http://en.wikipedia.org/wiki/Yorkshire_Dales,time,has theme,Identicality
http://en.wikipedia.org/wiki/Yorkshire_Dales,pulmonary,has theme,Medical_conditions
http://en.wikipedia.org/wiki/Yorkshire_Dales,most of her life,has theme,Residence
http://en.wikipedia.org/wiki/Anne_Brontë,http://en.wikipedia.org/wiki/Mirfield,has location,Attending
http://en.wikipedia.org/wiki/Emily_Brontë,"his name, Brunty",has entity,Cause_change
http://en.wikipedia.org/wiki/Yorkshire_Dales,1807,has time,Rite
http://en.wikipedia.org/wiki/Anne_Brontë,"Anne Bront  / b r n t i /, commonly /- t",has member,Membership
http://en.wikipedia.org/wiki/Yorkshire_Dales,feminist,has theme,Text
http://en.wikipedia.org/wiki/Emily_Brontë,http://en.wikipedia.org/wiki/Patrick_Brontë,has person,Being_born
http://en.wikipedia.org/wiki/Yorkshire_Dales,http://en.wikipedia.org/wiki/Anne_Brontë,has theme,Residence
http://en.wikipedia.org/wiki/Anne_Brontë,father,has theme,Kinship
http://en.wikipedia.org/wiki/Church_of_England,Maria,has entity,Being_named
http://en.wikipedia.org/wiki/Anne_Brontë,Anne's,has theme,Kinship
http://en.wikipedia.org/wiki/Wuthering_Heights,"Her first novel, Agnes Grey",has work,Publishing
http://en.wikipedia.org/wiki/The_Tenant_of_Wildfell_Hall,1848,has time,Publishing
http://en.wikipedia.org/wiki/Yorkshire_Dales,"she published a book of poems with her sisters and later two novels, initially under the pen name Acton Bell",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Emily_Brontë,brother,has theme,Kinship
http://en.wikipedia.org/wiki/England,literature,has entity,Origin
http://en.wikipedia.org/wiki/Yorkshire_Dales,priesthood in the Church of England,has organization,Rite
http://en.wikipedia.org/wiki/Anne_Brontë,novel,has text,Text
http://en.wikipedia.org/wiki/Yorkshire_Dales,http://en.wikipedia.org/wiki/Anne_Brontë,has theme,Death
http://en.wikipedia.org/wiki/Patrick_Brontë,read and write,has skill,Education_teaching
http://en.wikipedia.org/wiki/Irish_people,peasant,has person,People
http://en.wikipedia.org/wiki/Wuthering_Heights,her sister Emily Bront,has theme,Publishing
http://en.wikipedia.org/wiki/Yorkshire_Dales,her novels,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Yorkshire_Dales,tuberculosis,has theme,Medical_conditions
http://en.wikipedia.org/wiki/Wuthering_Heights,same time as Wuthering Heights,has time,Publishing
http://en.wikipedia.org/wiki/Mirfield,elsewhere,has theme,Locative_relation
http://en.wikipedia.org/wiki/Anne_Brontë,boarding school,has event,Attending
