Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,shape his literary work,has goal,Assistance
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,his formal education,has process,Process_end
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,"theological treatises, Greek mythology, Johann Wolfgang von Goethe, Gotthold Ephraim Lessing, Friedrich Schiller, and Friedrich Nietzsche",has text,Reading_activity
http://en.wikipedia.org/wiki/Protestantism,school,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,briefly,has time,Education_teaching
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,individual's,has theme,Seeking
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,youth,has person,People_by_age
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,music,has theme,Performing_arts
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,http://en.wikipedia.org/wiki/Hermann_Hesse,has theme,Emotion_directed
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,works of poetry and prose,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Bildungsroman,"his first novel, Peter Camenzind",has entity,Circumscribed_existence
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Eastern,has location,Participation
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,child,has person,People_by_age
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,"Protestant boarding school, the Evangelical Seminaries of Maulbronn and Blaubeuren, where he struggled with bouts of depression and once attempted suicide, which temporarily landed him in a sanatorium",has institution,Education_teaching
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,temporarily,has time,Cause_to_land
http://en.wikipedia.org/wiki/Hermann_Hesse,1904,has time,Text
http://en.wikipedia.org/wiki/Germany,poet,has text,Text
http://en.wikipedia.org/wiki/Hermann_Hesse,1877,has time,Being_born
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,1890s and early 1900s,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,sanatorium,has goal,Cause_to_land
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,1904,has time,Temporal_collocation
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,http://en.wikipedia.org/wiki/Hermann_Hesse,has student,Education_teaching
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,"Eastern religious, spiritual, and philosophical traditions",has theme,Emotion_directed
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Jungian analysis,has event,Participation
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Eastern,has location,Custom
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,depression,has theme,Medical_conditions
http://en.wikipedia.org/wiki/Hermann_Hesse,1904,has time,Labor_product
http://en.wikipedia.org/wiki/Protestantism,boarding,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,"religious, spiritual, and philosophical",has theme,Custom
http://en.wikipedia.org/wiki/Calw,Germany's Northern Black Forest,has theme,Political_locales
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,1900s,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Germany,article,has text,Text
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Eastern,has location,Assistance
http://en.wikipedia.org/wiki/Hermann_Hesse,Hermann Karl Hesse,has person,Being_born
http://en.wikipedia.org/wiki/Germany,German - Swiss,has author,Text
http://en.wikipedia.org/wiki/Hermann_Hesse,poetry and prose,has theme,Labor_product
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,http://en.wikipedia.org/wiki/Hermann_Hesse,has theme,Participation
http://en.wikipedia.org/wiki/Germany,Empire,has theme,Political_locales
http://en.wikipedia.org/wiki/Hermann_Hesse,Hermann Hess politician,has theme,Reference_text
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,poetry,has text,Text
http://en.wikipedia.org/wiki/Hermann_Hesse,passion for poetry and music,has entity,Sharing
http://en.wikipedia.org/wiki/Hermann_Hesse,mother,has theme,Kinship
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,formal,has level,Education_teaching
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,after his formal education concluded,has time,Reading_activity
http://en.wikipedia.org/wiki/Black_Forest,http://en.wikipedia.org/wiki/Calw,has theme,Political_locales
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Eastern,has theme,Custom
http://en.wikipedia.org/wiki/Hermann_Hesse,"Calw, a town in Germany's Northern Black Forest",has location,Being_born
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,His first works of poetry and prose were being published,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Baltic German,has theme,People_by_origin
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,his formal education,has process,Process_end
http://en.wikipedia.org/wiki/Germany,father,has theme,Kinship
http://en.wikipedia.org/wiki/Bildungsroman,1904,has time,Circumscribed_existence
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,"Demian, Steppenwolf, Siddhartha, Narcissus and Goldmund, and The Glass Bead Game",has theme,Inclusion
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Eastern,has location,Fields
http://en.wikipedia.org/wiki/Hermann_Hesse,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Hermann_Hesse,"his mother,",has theme,Sharing
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,work,has task,Being_employed
http://en.wikipedia.org/wiki/Hermann_Hesse,"Black Forest town of Calw, in Württemberg, German Empire",has location,Being_born
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,his polyglot grandfather,has theme,Objective_influence
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,work,has theme,Fields
http://en.wikipedia.org/wiki/Hermann_Hesse,2 July 1877,has time,Being_born
http://en.wikipedia.org/wiki/Switzerland,politician,has person,People_by_vocation
http://en.wikipedia.org/wiki/Switzerland,businessman,has person,People_by_vocation
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,His father,has person,People_by_origin
http://en.wikipedia.org/wiki/Germany,1962,has time,Text
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Eastern,has location,Emotion_directed
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,which,has theme,Cause_to_land
http://en.wikipedia.org/wiki/Hermann_Hesse,grandfather,has theme,Kinship
http://en.wikipedia.org/wiki/Black_Forest,"Württemberg, German Empire",has theme,Political_locales
http://en.wikipedia.org/wiki/Hermann_Hesse,http://en.wikipedia.org/wiki/Gymnasium_(school),has activity,Activity_finish
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,"his first novel, Peter Camenzind",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Hermann_Hesse,"1893, when his formal education ended",has time,Activity_finish
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,citation,has theme,Being_necessary
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,novel,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,1890s and early 1900s,has time,Publishing
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,http://en.wikipedia.org/wiki/Hermann_Hesse,has student,Education_teaching
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,His first works of poetry and prose,has work,Publishing
http://en.wikipedia.org/wiki/Hermann_Hesse,novels,has text,Text
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,1904,has time,Temporal_subregion
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,http://en.wikipedia.org/wiki/Hermann_Hesse,has reader,Reading_activity
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,1904,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Calw,town,has theme,Political_locales
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,"His interest in Eastern religious, spiritual, and philosophical traditions, combined with his involvement with Jungian analysis",has theme,Assistance
http://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,1904,has theme,Temporal_collocation
