Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Naguib_Pasha_Mahfouz,http://en.wikipedia.org/wiki/Naguib_Mahfouz,has entity,Being_named
http://en.wikipedia.org/wiki/Arabian_Peninsula,one,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Naguib_Mahfouz,"as one of the first contemporary writers in Arabic literature, along with Taha Hussein, to explore themes of existentialism",has category,Categorization
http://en.wikipedia.org/wiki/Arabian_Peninsula,his compound,has theme,Part_whole
http://en.wikipedia.org/wiki/Arabian_Peninsula,art,has activity,Fields
http://en.wikipedia.org/wiki/Naguib_Mahfouz,youngest,has theme,People_by_age
http://en.wikipedia.org/wiki/Naguib_Mahfouz,explore themes of existentialism,has purpose,Accompaniment
http://en.wikipedia.org/wiki/Arabian_Peninsula,2004,has time,Quantified_mass
http://en.wikipedia.org/wiki/Arabian_Peninsula,Cairo,has entity,Age
http://en.wikipedia.org/wiki/Arabian_Peninsula,2004,has time,Text
http://en.wikipedia.org/wiki/Arabian_Peninsula,seven,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Egypt,newspapers,has text,Text
http://en.wikipedia.org/wiki/Islam,1911,has time,Kinship
http://en.wikipedia.org/wiki/Arabian_Peninsula,two,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Naguib_Mahfouz,works,has text,Text
http://en.wikipedia.org/wiki/Naguib_Pasha_Mahfouz, only child,has theme,Transition_to_state
http://en.wikipedia.org/wiki/Naguib_Mahfouz,http://en.wikipedia.org/wiki/Arabic,has location,Accompaniment
http://en.wikipedia.org/wiki/Arabic,texts,has text,Text_creation
http://en.wikipedia.org/wiki/Arabian_Peninsula,Old Cairo,has location,Age
http://en.wikipedia.org/wiki/Islam,family,has theme,Kinship
http://en.wikipedia.org/wiki/Naguib_Mahfouz,doctor,has theme,Medical_professionals
http://en.wikipedia.org/wiki/Sweden,http://en.wikipedia.org/wiki/Naguib_Mahfouz,has item,Communicate_categorization
http://en.wikipedia.org/wiki/Arabian_Peninsula,who,has entity,Coming_to_be
