subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/New_Jersey,Leadership:has_leader,chief,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Cognitive_connection:has_time,1963,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Jersey,Being_named:has_entity,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Jersey,Proportional_quantity:has_theme,Some,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Waste_Land,Categorization:has_category,as breaking through the alienation of the near at hand and reviving its wonder,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Calendric_unit:has_time,1923,0.9,Unknown,True
http://en.wikipedia.org/wiki/William_Carlos_Williams,Text:has_text, The Great Figure,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Waste_Land,Categorization:has_item,real [original emphasis] function of the imagination,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Jersey,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Jersey,Buildings:has_theme,St. Mary's,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Jersey,Proportional_quantity:has_theme,"his best known poems, "" This Is Just to Say "" and "" The Red Wheelbarrow",0.9,Unknown,True
http://en.wikipedia.org/wiki/Little_Men,Expressing_publicly:has_theme,his point of view,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Jersey,Buildings:has_theme,Hospital,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Jersey,Craft:has_activity,arts,0.9,Unknown,True
http://en.wikipedia.org/wiki/Williams_College,Expressing_publicly:has_theme,his democracy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Williams_College,Statement:has_message,"that the differences between men are less important than their similarities—that he and you and I, together, are the Little Men",0.9,Unknown,True
http://en.wikipedia.org/wiki/Williams_College,Expressing_publicly:has_means,through his way of speaking,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Jersey,Categorization:has_item,"Paterson, New Jersey",0.9,Unknown,True
http://en.wikipedia.org/wiki/Liberia_national_football_team,Request:has_message,poetry such as I did not know,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Waste_Land,Subjective_influence:has_entity,"his poem "" The Great Figure ",0.9,Unknown,True
http://en.wikipedia.org/wiki/Liberia_national_football_team,Awareness:has_theme,as,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Origin:has_entity,poet and physician,0.9,Unknown,True
http://en.wikipedia.org/wiki/Charles_Demuth,Perception_experience:has_location,Gold,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Cognitive_connection:has_degree,closely,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Jersey,Text:has_text,Poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Little_Men,People:has_person,men,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Waste_Land,Text_creation:has_time,wake of T. S. Eliot's The Waste Land (1922),0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Waste_Land,Text_creation:has_text,His Spring and All (1923),0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Jersey,Leadership:has_theme,pediatrics,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_Jersey,Death:has_theme,http://en.wikipedia.org/wiki/William_Carlos_Williams,0.9,Unknown,True
