Source,Target,Label,Frame
http://en.wikipedia.org/wiki/James_Joyce,people,has person,People
http://en.wikipedia.org/wiki/James_Joyce,1904,has time,Make_acquaintance
http://en.wikipedia.org/wiki/James_Joyce,1922,has time,Text
http://en.wikipedia.org/wiki/James_Joyce,1922,has time,Fields
http://en.wikipedia.org/wiki/James_Joyce,1920,has time,Time_vector
http://en.wikipedia.org/wiki/James_Joyce,1922,has time,Aggregate
http://en.wikipedia.org/wiki/James_Joyce,war,has theme,Time_vector
http://en.wikipedia.org/wiki/Rome,1915,has time,Being_employed
http://en.wikipedia.org/wiki/Zürich,http://en.wikipedia.org/wiki/James_Joyce,has employee,Being_employed
http://en.wikipedia.org/wiki/James_Joyce,short-story,has theme,Aggregate
http://en.wikipedia.org/wiki/James_Joyce,http://en.wikipedia.org/wiki/Dublin,has location,Being_born
http://en.wikipedia.org/wiki/James_Joyce,1902,has time,Expertise
http://en.wikipedia.org/wiki/Dublin,O'Connell,has theme,Locale_by_use
http://en.wikipedia.org/wiki/James_Joyce,20th century,has time,Subjective_influence
http://en.wikipedia.org/wiki/1995_in_music,Man,has entity,Age
http://en.wikipedia.org/wiki/James_Joyce,Trieste in Austria-Hungary,has goal,Motion
http://en.wikipedia.org/wiki/James_Joyce,poems,has theme,Text
http://en.wikipedia.org/wiki/James_Joyce,1920,has time,Motion
http://en.wikipedia.org/wiki/James_Joyce,1904,has time,Personal_relationship
http://en.wikipedia.org/wiki/James_Joyce,"Paris, which was his primary residence until 1940",has goal,Motion
http://en.wikipedia.org/wiki/James_Joyce,which,has location,Residence
http://en.wikipedia.org/wiki/Zürich,During most of World War I,has time,Being_employed
http://en.wikipedia.org/wiki/James_Joyce,http://en.wikipedia.org/wiki/Dublin,has goal,Arriving
http://en.wikipedia.org/wiki/Nora_Barnacle,1904,has time,Motion
http://en.wikipedia.org/wiki/James_Joyce,1914,has time,Text
http://en.wikipedia.org/wiki/James_Joyce,wife,has theme,Personal_relationship
http://en.wikipedia.org/wiki/James_Joyce,until 1915,has time,Residence
http://en.wikipedia.org/wiki/James_Joyce,1914,has time,Aggregate
http://en.wikipedia.org/wiki/James_Joyce,his book of poems Chamber Music and his short-story collection Dubliners,has work,Publishing
http://en.wikipedia.org/wiki/James_Joyce,collection,has theme,Aggregate
http://en.wikipedia.org/wiki/James_Joyce,1920,has time,First_rank
http://en.wikipedia.org/wiki/Rome,http://en.wikipedia.org/wiki/James_Joyce,has employee,Being_employed
http://en.wikipedia.org/wiki/James_Joyce,His other writings,has theme,Inclusion
http://en.wikipedia.org/wiki/James_Joyce,modernist movement,has recipient,Giving
