subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Quantified_mass:has_quantity,several,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Part_whole:has_theme,part,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_Custom_House,Being_employed:has_employee,http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Inclusion:has_theme,His published works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Taking:has_theme,Hawthorne and family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Being_born:has_location,"Salem, Massachusetts",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Time_vector:has_theme,their return to Concord in 1860,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Topic:has_theme,themes,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Attempt:has_goal,suppress it,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Subjective_influence:has_theme,anti- Puritan,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Salem,_Oregon",Membership:has_group,that town,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Becoming_a_member:has_time,before marrying Peabody in 1842,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Inclusion:has_theme,"novels, short stories, and a biography of his college friend Franklin Pierce, written for his 1852 campaign for President of the United States, which Pierce won, becoming the 14th president",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Appellations:has_theme,14th,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Wayside,Motion:has_time,later,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Text_creation:has_text,biography of his college friend Franklin Pierce,0.9,Unknown,True
http://en.wikipedia.org/wiki/President_of_the_United_States,Win_prize:has_competition,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Text:has_text,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/President_of_the_United_States,Win_prize:has_theme,becoming the 14th president,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Aggregate:has_theme,community,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Text_creation:has_purpose,his 1852 campaign for President of the United States,0.9,Unknown,True
http://en.wikipedia.org/wiki/President_of_the_United_States,Personal_relationship:has_theme,http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Wayside,Categorization:has_item,His fiction works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Publishing:has_time,1850,0.9,Unknown,True
"http://en.wikipedia.org/wiki/Salem,_Oregon",Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Wayside,Interior_profile_relation:has_theme,Wayside,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Leadership:has_theme,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Being_born:has_theme,family long associated with that town,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Education_teaching:has_time,1825,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Increment:has_class,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Appellations:has_type,president,0.9,Unknown,True
http://en.wikipedia.org/wiki/Boston_Custom_House,Being_employed:has_time,before marrying Peabody in 1842,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Leadership:has_leader,President,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Duration_description:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Temporal_collocation:has_theme,1860,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Feeling:has_theme,that it was not equal to the standard of his later work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Attributed_information:has_theme,http://en.wikipedia.org/wiki/Bowdoin_College,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Gathering_up:has_theme,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Temporal_collocation:has_theme,1828,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Origin:has_entity,author,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Origin:has_entity,novelist and short story writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Subjective_influence:has_behavior,moral metaphors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Publishing:has_theme,periodicals,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Temporal_collocation:has_theme,He published his first work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Gathering_up:has_time,1837,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Being_born:has_time,1804,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Gathering_up:has_means,as Twice-Told Tales,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Locale_by_use:has_theme,college,0.9,Unknown,True
http://en.wikipedia.org/wiki/President_of_the_United_States,Leadership:has_role,president,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Quantified_mass:has_theme,short stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Becoming_a_member:has_group,"Brook Farm, a transcendentalist community",0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Wayside,Interior_profile_relation:has_location,"http://en.wikipedia.org/wiki/Concord,_New_Hampshire",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Arriving:has_goal,"http://en.wikipedia.org/wiki/Concord,_New_Hampshire",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Becoming:has_theme,engaged to Sophia Peabody,0.9,Unknown,True
http://en.wikipedia.org/wiki/President_of_the_United_States,Becoming:has_theme,14th president,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Death:has_time,"May 19, 1864",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Emphasizing:has_theme,often,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Emphasizing:has_theme,"history, morality, and religion",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Relative_time:has_theme,work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Becoming:has_time,following year,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Change_of_leadership:has_role,Phi Beta Kappa,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Taking:has_goal,http://en.wikipedia.org/wiki/Europe,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Origin:has_theme,http://en.wikipedia.org/wiki/United_States,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Relative_time:has_theme,Scarlet Letter was published in 1850,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Personal_relationship:has_theme,http://en.wikipedia.org/wiki/Sophia_Hawthorne,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Wayside,Motion:has_location,"http://en.wikipedia.org/wiki/Concord,_New_Hampshire",0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Temporal_collocation:has_theme,their return to Concord,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Emphasizing:has_theme,His works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nathaniel_Hawthorne,Aggregate:has_theme,transcendentalist,0.9,Unknown,True
