subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Franz_Kafka,Being_born:has_location,"Prague, in the Austro-Hungarian Empire",0.9,Unknown,True
http://en.wikipedia.org/wiki/Bohemia,Being_employed:has_employee,http://en.wikipedia.org/wiki/Franz_Kafka,0.9,Unknown,True
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,Death:has_theme,aged 40,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Text:has_text,Metamorphosis,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Fame:has_degree,most,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Text:has_text,letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,Objective_influence:has_theme,"artists, philosophers, composers, filmmakers, literary historians, religious scholars, cultural theorists",0.9,Unknown,True
http://en.wikipedia.org/wiki/Bohemia,Relation:has_theme,whom,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Text_creation:has_addressee,family and close friends,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bohemia,Relative_time:has_theme,http://en.wikipedia.org/wiki/Franz_Kafka,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bohemia,Education_teaching:has_theme,legal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bohemia,Domain:has_theme,legal,0.9,Unknown,True
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,Objective_influence:has_theme,His work,0.9,Unknown,True
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,Death:has_time,1924,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Age:has_time,1924,0.9,Unknown,True
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,Fields:has_theme,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/History_of_the_Jews_in_Czechoslovakia,Text:has_time,1915,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bohemia,Education_teaching:has_role,as a lawyer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bohemia,Being_employed:has_theme,full-time,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bohemia,Quantified_mass:has_theme,letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Text_creation:has_text,hundreds of letters,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bohemia,Fields:has_time,1912,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Arriving:has_theme,term Kafkaesque,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bohemia,Relation:has_theme,http://en.wikipedia.org/wiki/Franz_Kafka,0.9,Unknown,True
