Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Neustadt_International_Prize_for_Literature,"Park Kyong-ni Prize in 2019, and the Neustadt International Prize for Literature in 2020",has theme,Receiving
http://en.wikipedia.org/wiki/Nobel_Peace_Prize,totalitarian,has type,Leadership
http://en.wikipedia.org/wiki/Ismail_Kadare,1990,has time,Avoiding
http://en.wikipedia.org/wiki/Prix_mondial_Cino_Del_Duca,http://en.wikipedia.org/wiki/Ismail_Kadare,has recipient,Receiving
http://en.wikipedia.org/wiki/Communism,1990,has time,Quitting_a_place
http://en.wikipedia.org/wiki/Ismail_Kadare,writing,has text,Text
http://en.wikipedia.org/wiki/Ismail_Kadare,http://en.wikipedia.org/wiki/Albania,has location,Coming_up_with
http://en.wikipedia.org/wiki/Ismail_Kadare,consensual,has type,Leadership
http://en.wikipedia.org/wiki/Franz_Kafka,into the infernal mechanism of totalitarian power and its impact on the human soul,has theme,Scrutiny
http://en.wikipedia.org/wiki/Nobel_Peace_Prize,Kadare is the successor of Franz Kafka,has message,Statement
http://en.wikipedia.org/wiki/Franz_Kafka,human soul,has theme,Objective_influence
http://en.wikipedia.org/wiki/Ismail_Kadare,President,has leader,Leadership
http://en.wikipedia.org/wiki/The_General_of_the_Dead_Army_(novel),http://en.wikipedia.org/wiki/Ismail_Kadare,has theme,Causation
http://en.wikipedia.org/wiki/Albania,1990s,has time,Change_position_on_a_scale
http://en.wikipedia.org/wiki/Ismail_Kadare,as one of the greatest writers and intellectuals of the 20th and 21st centuries,has category,Categorization
http://en.wikipedia.org/wiki/Communism,escape the Communist regime and its Sigurimi secret police,has purpose,Quitting_a_place
http://en.wikipedia.org/wiki/Ismail_Kadare,http://en.wikipedia.org/wiki/Albania,has location,Text
http://en.wikipedia.org/wiki/Communism,http://en.wikipedia.org/wiki/Paris,has theme,Quitting_a_place
http://en.wikipedia.org/wiki/Albania,parties,has theme,Aggregate
http://en.wikipedia.org/wiki/Ismail_Kadare,consensual President of the country,has theme,Becoming
http://en.wikipedia.org/wiki/France,http://en.wikipedia.org/wiki/Ismail_Kadare,has theme,Causation
http://en.wikipedia.org/wiki/The_General_of_the_Dead_Army_(novel),poetry,has text,Text
http://en.wikipedia.org/wiki/The_General_of_the_Dead_Army_(novel),internationally,has theme,Political_locales
http://en.wikipedia.org/wiki/Ismail_Kadare,country,has theme,Leadership
http://en.wikipedia.org/wiki/Nikolai_Gogol,"that of Nikolai Gogol, George Orwell, Gabriel Garca Márquez, Milan Kundera, and Balzac",has theme,Evaluative_comparison
http://en.wikipedia.org/wiki/Académie_des_Sciences_Morales_et_Politiques,associate,has member,Membership
http://en.wikipedia.org/wiki/Communism,http://en.wikipedia.org/wiki/Albania,has location,People_by_vocation
http://en.wikipedia.org/wiki/The_General_of_the_Dead_Army_(novel),novel,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Ismail_Kadare,"until the publication of his first novel, The General of the Dead Army, which made him famous internationally",has time,Emphasizing
http://en.wikipedia.org/wiki/Prix_mondial_Cino_Del_Duca,1992,has time,Receiving
http://en.wikipedia.org/wiki/Albania,country,has theme,Political_locales
http://en.wikipedia.org/wiki/Ismail_Kadare,"stratagems to outwit Communist censors who had banned three of his books, using devices such as parable, myth, fable, folk-tale, allegory, and legend, sprinkled with double-entendre, allusion, insinuation, satire, and coded messages",has theme,Coming_up_with
http://en.wikipedia.org/wiki/The_General_of_the_Dead_Army_(novel),"his first novel, The General of the Dead Army",has work,Publishing
http://en.wikipedia.org/wiki/Académie_des_Sciences_Morales_et_Politiques,1996,has time,Membership
http://en.wikipedia.org/wiki/Albania,during a time of strict censorship,has time,Residence
http://en.wikipedia.org/wiki/Albania,become a consensual President of the country,has message,Request
http://en.wikipedia.org/wiki/The_General_of_the_Dead_Army_(novel),literary,has theme,Fields
http://en.wikipedia.org/wiki/Albania,1990s,has theme,Time_vector
http://en.wikipedia.org/wiki/Ismail_Kadare,some,has theme,Categorization
http://en.wikipedia.org/wiki/Neustadt_International_Prize_for_Literature,2019,has time,Receiving
http://en.wikipedia.org/wiki/Albania,political,has theme,Aggregate
http://en.wikipedia.org/wiki/Albania,http://en.wikipedia.org/wiki/Ismail_Kadare,has item,Change_position_on_a_scale
http://en.wikipedia.org/wiki/The_General_of_the_Dead_Army_(novel),famous internationally,has effect,Causation
http://en.wikipedia.org/wiki/Ismail_Kadare,General of the Dead Army,has text,Text
http://en.wikipedia.org/wiki/Ismail_Kadare,poetry,has theme,Emphasizing
http://en.wikipedia.org/wiki/Nikolai_Gogol,His writing,has theme,Evaluative_comparison
http://en.wikipedia.org/wiki/Albania,three of his books,has theme,Prohibiting_or_licensing
http://en.wikipedia.org/wiki/Albania,"devices such as parable, myth, fable, folk-tale, allegory, and legend, sprinkled with double-entendre, allusion, insinuation, satire, and coded messages",has instrument,Using
http://en.wikipedia.org/wiki/The_General_of_the_Dead_Army_(novel),international,has theme,Political_locales
http://en.wikipedia.org/wiki/Communism,http://en.wikipedia.org/wiki/Ismail_Kadare,has theme,Quitting_a_place
http://en.wikipedia.org/wiki/Nobel_Peace_Prize,His nominating juror for the Neustadt Prize,has speaker,Statement
http://en.wikipedia.org/wiki/Communism,1996,has time,Foreign_or_domestic_country
http://en.wikipedia.org/wiki/Albania,political parties in Albania,has theme,Importance
http://en.wikipedia.org/wiki/Ismail_Kadare,internationally,has location,Fame
http://en.wikipedia.org/wiki/Communism,censors,has person,People_by_vocation
http://en.wikipedia.org/wiki/The_General_of_the_Dead_Army_(novel),figure and intellectual,has item,First_rank
http://en.wikipedia.org/wiki/Albania,both major political parties in Albania,has speaker,Request
http://en.wikipedia.org/wiki/Franz_Kafka,No one since Kafka,has theme,Scrutiny
http://en.wikipedia.org/wiki/Ismail_Kadare,http://en.wikipedia.org/wiki/Albania,has location,Leadership
http://en.wikipedia.org/wiki/Ismail_Kadare,http://en.wikipedia.org/wiki/Albania,has location,Becoming
http://en.wikipedia.org/wiki/France,foreign associate of the Académie des Sciences Morales et Politiques,has effect,Causation
http://en.wikipedia.org/wiki/Franz_Kafka,as much hypnotic depth as Kadare,has degree,Scrutiny
http://en.wikipedia.org/wiki/Albania,censorship,has theme,Strictness
http://en.wikipedia.org/wiki/France,1996,has time,Causation
http://en.wikipedia.org/wiki/Communism,1990,has time,Leadership
http://en.wikipedia.org/wiki/Albania,he was asked by both major political parties in Albania to become a consensual President of the country,has event,Time_vector
http://en.wikipedia.org/wiki/Communism,foreign,has theme,Foreign_or_domestic_country
http://en.wikipedia.org/wiki/Ismail_Kadare,books,has text,Text
http://en.wikipedia.org/wiki/Albania,http://en.wikipedia.org/wiki/Ismail_Kadare,has theme,Residence
http://en.wikipedia.org/wiki/Ismail_Kadare,Communist regime and its Sigurimi secret police,has theme,Avoiding
http://en.wikipedia.org/wiki/Albania,who,has principle,Prohibiting_or_licensing
http://en.wikipedia.org/wiki/Albania,http://en.wikipedia.org/wiki/Ismail_Kadare,has addressee,Request
http://en.wikipedia.org/wiki/The_General_of_the_Dead_Army_(novel),which,has cause,Causation
