subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/United_States,Text_creation:has_time,1928,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Relative_time:has_theme,string of odd jobs during her young adulthood,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Receiving:has_recipient,http://en.wikipedia.org/wiki/Maya_Angelou,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Cardinal_numbers:has_entity,honorary degrees,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wake_Forest_University,People_by_vocation:has_person,Reynolds,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wake_Forest_University,People:has_theme,Black,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wake_Forest_University,Text:has_text,I Know Why the Caged Bird Sings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Maya_Angelou,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wake_Forest_University,Prohibiting_or_licensing:has_theme,her books,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Age:has_time,1969,0.9,Unknown,True
http://en.wikipedia.org/wiki/Maya_Angelou,Judgment:has_role,as a spokesperson for Black people and women,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wake_Forest_University,Buildings:has_theme,libraries,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Age:has_entity,adulthood,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text_creation:has_author,author,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wake_Forest_University,Categorization:has_category,defense of Black culture,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Judgment_communication:has_theme,international,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wake_Forest_University,People_by_vocation:has_location,Winston,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wake_Forest_University,Using:has_degree,widely,0.9,Unknown,True
http://en.wikipedia.org/wiki/Maya_Angelou,People_by_age:has_age,young,0.9,Unknown,True
http://en.wikipedia.org/wiki/I_Know_Why_the_Caged_Bird_Sings,Causation:has_time,1969,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Natural_features:has_theme,Mercury,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Praiseworthiness:has_behavior,"list of plays, movies, and television shows spanning over 50 years",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Temporal_subregion:has_theme,early,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Political_locales:has_time,1969,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wake_Forest_University,Locale_by_use:has_theme,universities,0.9,Unknown,True
http://en.wikipedia.org/wiki/Bill_Clinton,Reading_activity:has_time,first inauguration of Bill Clinton,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wake_Forest_University,People_by_vocation:has_theme,"Wake Forest University in Winston-Salem, North Carolina",0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_text,list,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wake_Forest_University,Prohibiting_or_licensing:has_location,some U.S. libraries,0.9,Unknown,True
