Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Adolf_Hitler,1933,has time,Arriving
http://en.wikipedia.org/wiki/Nobel_Prize,His highly symbolic and ironic epic novels and novellas,has entity,Fame
http://en.wikipedia.org/wiki/Nobel_Prize,1955,has time,People
http://en.wikipedia.org/wiki/Thomas_Mann,When Adolf Hitler came to power in 1933,has time,Fleeing
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,his trading firm,has theme,Killing
http://en.wikipedia.org/wiki/Erika_Mann,brother,has theme,Kinship
http://en.wikipedia.org/wiki/Nobel_Prize,people,has person,People
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,modernized,has theme,Type
http://en.wikipedia.org/wiki/Hanseatic_League,hanseatic Mann,has theme,Kinship
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,writers,has entity,Origin
http://en.wikipedia.org/wiki/Nobel_Prize,artist,has creator,Create_physical_artwork
http://en.wikipedia.org/wiki/Adolf_Hitler,1933,has time,Leadership
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,http://en.wikipedia.org/wiki/Thomas_Mann,has theme,Businesses
http://en.wikipedia.org/wiki/Erika_Mann,Mann's six children,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,writers,has author,Text_creation
http://en.wikipedia.org/wiki/Nobel_Prize,Thomas Mann disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Thomas_Mann,1955,has time,Being_named
http://en.wikipedia.org/wiki/Nobel_Prize,their insight into the psychology of the artist and the intellectual,has reason,Fame
http://en.wikipedia.org/wiki/Erika_Mann,http://en.wikipedia.org/wiki/Switzerland,has goal,Arriving
http://en.wikipedia.org/wiki/Erika_Mann,http://en.wikipedia.org/wiki/Thomas_Mann,has theme,Motion
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,firm,has business,Businesses
http://en.wikipedia.org/wiki/Erika_Mann,mother,has theme,Kinship
http://en.wikipedia.org/wiki/Thomas_Mann,other people,has entity,Being_named
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,that,has theme,Relative_time
http://en.wikipedia.org/wiki/Nobel_Prize,1955,has time,Increment
http://en.wikipedia.org/wiki/Nobel_Prize,1955,has time,Reference_text
http://en.wikipedia.org/wiki/Erika_Mann,father,has theme,Kinship
http://en.wikipedia.org/wiki/Adolf_Hitler,exile,has theme,Text_creation
http://en.wikipedia.org/wiki/Thomas_Mann,"so-called Exilliteratur, German literature written in exile by those who opposed the Hitler regime",has theme,Using
http://en.wikipedia.org/wiki/Friedrich_Nietzsche,Jlia da Silva Bruhns,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,Hitler regime,has theme,Taking_sides
http://en.wikipedia.org/wiki/Erika_Mann,1952,has time,Arriving
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,children,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/Thomas_Mann,father,has theme,Kinship
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,older,has degree,Age
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,http://en.wikipedia.org/wiki/Germany,has theme,Origin
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,his trading firm was liquidated,has theme,Relative_time
http://en.wikipedia.org/wiki/Erika_Mann,http://en.wikipedia.org/wiki/Thomas_Mann,has theme,Arriving
http://en.wikipedia.org/wiki/Erika_Mann,http://en.wikipedia.org/wiki/United_States,has goal,Motion
http://en.wikipedia.org/wiki/Adolf_Hitler,power,has goal,Arriving
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,six,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,who,has theme,Taking_sides
http://en.wikipedia.org/wiki/Nobel_Prize,people,has class,Increment
http://en.wikipedia.org/wiki/Thomas_Mann,http://en.wikipedia.org/wiki/Buddenbrooks,has text,Text
http://en.wikipedia.org/wiki/Thomas_Mann,significant German writers,has theme,Becoming
http://en.wikipedia.org/wiki/Erika_Mann,three,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Adolf_Hitler,German literature,has text,Text_creation
http://en.wikipedia.org/wiki/Thomas_Mann,into his father's Lutheran religion,has organization,Rite
http://en.wikipedia.org/wiki/Erika_Mann,children,has theme,Kinship
http://en.wikipedia.org/wiki/Europe,"modernized versions of German and Biblical stories, as well as the ideas of Johann Wolfgang von Goethe, Friedrich Nietzsche, and Arthur Schopenhauer",has instrument,Using
http://en.wikipedia.org/wiki/Erika_Mann,http://en.wikipedia.org/wiki/Thomas_Mann,has theme,Kinship
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,novel,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Thomas_Mann,family,has theme,Kinship
http://en.wikipedia.org/wiki/Adolf_Hitler,those who opposed the Hitler regime,has author,Text_creation
http://en.wikipedia.org/wiki/Erika_Mann,When World War II broke out in 1939,has time,Motion
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,German and Biblical stories,has category,Type
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,trading,has theme,Businesses
http://en.wikipedia.org/wiki/Thomas_Mann,novels,has text,Text
http://en.wikipedia.org/wiki/Europe,His analysis and critique of the European and German soul,has agent,Using
http://en.wikipedia.org/wiki/Thomas_Mann,http://en.wikipedia.org/wiki/Switzerland,has goal,Fleeing
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,after that,has time,Killing
http://en.wikipedia.org/wiki/Arthur_Schopenhauer,brother,has entity,Age
http://en.wikipedia.org/wiki/Thomas_Mann,"three of Mann's six children – Erika Mann, Klaus Mann and Golo Mann –",has entity,Becoming
http://en.wikipedia.org/wiki/Thomas_Mann,Mann's,has theme,Kinship
http://en.wikipedia.org/wiki/Friedrich_Nietzsche,European and German soul,has theme,Scrutiny
http://en.wikipedia.org/wiki/Thomas_Mann,hanseatic Mann family,has group,Membership
