subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Elizabeth_II,Causation:has_theme,http://en.wikipedia.org/wiki/Agatha_Christie,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Success_or_failure:has_location,Styles,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Awareness:has_theme,"poisons that featured in many of her novels, short stories, and plays",0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Giving:has_recipient,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Intentionally_act:has_location,West End of London,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Measure_duration:has_theme,days,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Being_born:has_person,Christie,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Fame:has_entity,English author,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Publishing:has_work,"Mysterious Affair at Styles, featuring detective Hercule Poirot",0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Duration_description:has_theme,story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Ordinal_numbers:has_type,husband,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Transition_to_state:has_time,1926,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Being_named:has_time,1976,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Undergo_change:has_location,Styles,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Political_locales:has_theme,world,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Aggregate:has_theme,short story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Aggregate:has_time,1976,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Measure_duration:has_time,1926,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Compatibility:has_time,1920,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Text:has_time,1976,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Kinship:has_theme,mother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Commerce_sell:has_theme,more than two billion copies,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Text:has_text,article,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Text:has_text,fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Text_creation:has_location,Styles,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Fame:has_reason,"her 66 detective novels and 14 short story collections, particularly those revolving around fictional detectives Hercule Poirot and Miss Marple",0.9,Unknown,True
http://en.wikipedia.org/wiki/Elizabeth_II,Causation:has_effect,Dame (DBE),0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Buildings:has_theme,hospital,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Cardinal_numbers:has_theme,two,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Ordinal_numbers:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Reference_text:has_theme,Agatha Christie (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Quantified_mass:has_theme,her novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Intentionally_act:has_theme,since 1952,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Hostile_encounter:has_theme,world,0.9,Unknown,True
http://en.wikipedia.org/wiki/Archie_Christie,Kinship:has_theme,child,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Text:has_time,1976,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Text_creation:has_text,six novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Text:has_theme,detective,0.9,Unknown,True
http://en.wikipedia.org/wiki/Agatha_Christie,Text_creation:has_time,1952,0.9,Unknown,True
