Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Paris,http://en.wikipedia.org/wiki/Jean-Paul_Sartre,has theme,Growing_food
http://en.wikipedia.org/wiki/Beijing,Literature,has location,Compliance
http://en.wikipedia.org/wiki/Beijing,Literature,has location,Statement
http://en.wikipedia.org/wiki/Beijing,Literature,has location,Desirable_event
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,leading figure in 20th-century French philosophy and Marxism,has item,Categorization
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,his father,has theme,Forming_relationships
http://en.wikipedia.org/wiki/Beijing,20th-century French philosophy and Marxism,has theme,First_rank
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,http://en.wikipedia.org/wiki/Paris,has location,Being_born
http://en.wikipedia.org/wiki/France,Sartre disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,1964 Nobel Prize in Literature,has theme,Receiving
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,"thinkers like Henri Bergson, Edmund Husserl, and Martin Heidegger",has theme,Subjective_influence
http://en.wikipedia.org/wiki/Beijing,early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Beijing,theme,has theme,Dominate_situation
http://en.wikipedia.org/wiki/Beijing,writer,has agent,Preventing_or_letting
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,mother,has theme,Kinship
http://en.wikipedia.org/wiki/Beijing,not allow himself to be turned into an institution,has theme,Desirable_event
http://en.wikipedia.org/wiki/Beijing,1943,has time,Dominate_situation
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,1964,has time,Receiving
http://en.wikipedia.org/wiki/Beijing,Literature,has location,Preventing_or_letting
http://en.wikipedia.org/wiki/Paris,"his mother and grandfather, who introduced him to literature",has theme,Growing_food
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,despite attempting to refuse it,has theme,Receiving
http://en.wikipedia.org/wiki/Beijing,1943,has time,Means
http://en.wikipedia.org/wiki/Bad_faith_(existentialism),"dominant theme of Sartre's early work, a theme embodied in his principal philosophical work Being and Nothingness",has theme,Becoming
http://en.wikipedia.org/wiki/Beijing,refuse it,has goal,Attempt
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,http://en.wikipedia.org/wiki/Jean-Paul_Sartre,has recipient,Receiving
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,open,has theme,Relation
http://en.wikipedia.org/wiki/Simone_de_Beauvoir,Sartre and de Beauvoir,has theme,Kinship
http://en.wikipedia.org/wiki/Beijing,His work,has theme,Objective_influence
http://en.wikipedia.org/wiki/Martin_Heidegger,philosophy,has theme,Emotion_directed
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,http://en.wikipedia.org/wiki/Paris,has location,Forming_relationships
http://en.wikipedia.org/wiki/Beijing,1964,has time,Compliance
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,prominent feminist and fellow existentialist philosopher Simone de Beauvoir,has theme,Relation
http://en.wikipedia.org/wiki/Beijing,"sociology, critical theory, post-colonial theory, and literary studies",has theme,Objective_influence
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,which,has item,Categorization
http://en.wikipedia.org/wiki/Beijing,be turned into an institution,has event,Preventing_or_letting
http://en.wikipedia.org/wiki/Beijing,1964,has time,Preventing_or_letting
http://en.wikipedia.org/wiki/Martin_Heidegger,deep,has degree,Emotion_directed
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,bourgeois,has category,Categorization
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,father,has theme,Kinship
http://en.wikipedia.org/wiki/Bad_faith_(existentialism),"conflict between oppressive, spiritually destructive conformity  mauvaise foi, literally,'bad faith' and an "" authentic "" way of "" being ",has entity,Becoming
http://en.wikipedia.org/wiki/France,uses,has class,Increment
http://en.wikipedia.org/wiki/Beijing,declined official honors,has event,Frequency
http://en.wikipedia.org/wiki/Beijing,Literature,has location,Frequency
http://en.wikipedia.org/wiki/Beijing,1964,has time,Frequency
http://en.wikipedia.org/wiki/Beijing,honors,has theme,Compliance
http://en.wikipedia.org/wiki/Beijing, being,has purpose,Means
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,1955,has time,Categorization
http://en.wikipedia.org/wiki/Beijing,1964,has time,Attempt
http://en.wikipedia.org/wiki/Beijing,1964,has time,Statement
http://en.wikipedia.org/wiki/Beijing,figure,has item,First_rank
http://en.wikipedia.org/wiki/École_normale_supérieure_(Paris),"prestigious École Normale Supérieure, where he developed a deep interest in philosophy, influenced by thinkers like Henri Bergson, Edmund Husserl, and Martin Heidegger",has institution,Studying
http://en.wikipedia.org/wiki/École_normale_supérieure_(Paris),http://en.wikipedia.org/wiki/Jean-Paul_Sartre,has student,Studying
http://en.wikipedia.org/wiki/Bad_faith_(existentialism),1943,has time,Hostile_encounter
http://en.wikipedia.org/wiki/Beijing,figures,has theme,Importance
http://en.wikipedia.org/wiki/Beijing,official,has degree,Compliance
http://en.wikipedia.org/wiki/Beijing,work,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,http://en.wikipedia.org/wiki/Beijing,has location,Categorization
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,both lifestyles and thought,has theme,Categorization
http://en.wikipedia.org/wiki/Bad_faith_(existentialism),"between oppressive, spiritually destructive conformity  mauvaise foi, literally,'bad faith' and an "" authentic "" way of "" being",has theme,Hostile_encounter
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,http://en.wikipedia.org/wiki/Paris,has location,Kinship
http://en.wikipedia.org/wiki/Paris,two,has age,Age
http://en.wikipedia.org/wiki/Bad_faith_(existentialism),1943,has time,Becoming
http://en.wikipedia.org/wiki/Beijing,1943,has time,Temporal_subregion
http://en.wikipedia.org/wiki/Beijing,authentic,has theme,Means
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,http://en.wikipedia.org/wiki/Simone_de_Beauvoir,has theme,Categorization
http://en.wikipedia.org/wiki/Beijing,Literature,has location,Attempt
http://en.wikipedia.org/wiki/Beijing,way,has means,Means
http://en.wikipedia.org/wiki/Jean-Paul_Sartre,age two,has time,Forming_relationships
http://en.wikipedia.org/wiki/Beijing,"that he always declined official honors and that "" a writer should not allow himself to be turned into an institution",has message,Statement
http://en.wikipedia.org/wiki/Beijing,1964,has time,Desirable_event
