subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Wole_Soyinka,People_by_vocation:has_theme,"university's magazine, The Eagle",0.9,Unknown,True
http://en.wikipedia.org/wiki/Abu_Dhabi,Time_vector:has_location,New York University Abu Dhabi,0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_College_Umuahia,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_College_Umuahia,Kinship:has_location,Ak,0.9,Unknown,True
http://en.wikipedia.org/wiki/Eagle_(British_comics),Text:has_text,magazine,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nigerians,Duration_description:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_College_Umuahia,Aggregate:has_theme,collections,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wole_Soyinka,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nigerians,Quantified_mass:has_quantity,many,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wole_Soyinka,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wole_Soyinka,Defending:has_time,Since 1 September 2022,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wole_Soyinka,Categorization:has_category,as one of Africa's greatest writers and one of the world's most important dramatists,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wole_Soyinka,Being_born:has_theme,into an Anglican Yoruba family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nigerians,Text_creation:has_text,author,0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_College_Umuahia,Frequency:has_theme,period,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nigeria,Individual_history:has_participant,country ’s,0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_College_Umuahia,Quantified_mass:has_quantity,numerous,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nigerians,Reference_text:has_theme,Soyinka (surname ),0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_College_Umuahia,Education_teaching:has_institution,"Government College, Ibadan",0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_College_Umuahia,Behind_the_scenes:has_artist,http://en.wikipedia.org/wiki/Wole_Soyinka,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nigerians,Translating:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_College_Umuahia,Buildings:has_location,Nigeria and the UK,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wole_Soyinka,Text:has_location,http://en.wikipedia.org/wiki/Nigeria,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nigeria,Quantified_mass:has_theme,plays,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wole_Soyinka,Text_creation:has_text,short stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_College_Umuahia,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/Government_College_Umuahia,Dimension:has_object,range,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nigerians,Fame:has_time,1934,0.9,Unknown,True
http://en.wikipedia.org/wiki/Abu_Dhabi,Time_vector:has_event,Soyinka has held the position of Arts Professor of Theatre at New York University Abu Dhabi,0.9,Unknown,True
http://en.wikipedia.org/wiki/Wole_Soyinka,Text_creation:has_text,"three novels, ten collections of short stories, seven poetry collections, twenty-five plays and five memoirs",0.9,Unknown,True
http://en.wikipedia.org/wiki/Wole_Soyinka,Studying:has_institution,http://en.wikipedia.org/wiki/University_of_Leeds,0.9,Unknown,True
