Source,Target,Label,Frame
http://en.wikipedia.org/wiki/England,as the Lake District,has theme,Being_named
http://en.wikipedia.org/wiki/William_Wordsworth,http://en.wikipedia.org/wiki/English_language,has location,Being_named
http://en.wikipedia.org/wiki/Masterpiece,http://en.wikipedia.org/wiki/English_language,has theme,Origin
http://en.wikipedia.org/wiki/Masterpiece,years,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Masterpiece,ship,has theme,Vehicle
http://en.wikipedia.org/wiki/Masterpiece,poetry,has entity,Origin
http://en.wikipedia.org/wiki/William_Wordsworth,7 April 1770,has time,Being_born
http://en.wikipedia.org/wiki/Romanticism,http://en.wikipedia.org/wiki/English_language,has location,Text
http://en.wikipedia.org/wiki/Masterpiece,http://en.wikipedia.org/wiki/English_language,has text,Text_creation
http://en.wikipedia.org/wiki/Masterpiece,his wife,has author,Text_creation
http://en.wikipedia.org/wiki/William_Wordsworth,http://en.wikipedia.org/wiki/English_language,has location,State_continue
http://en.wikipedia.org/wiki/Cumbria,now,has time,Interior_profile_relation
http://en.wikipedia.org/wiki/Masterpiece,times,has theme,Quantified_mass
http://en.wikipedia.org/wiki/English_language,poets,has text,Text
http://en.wikipedia.org/wiki/The_Prelude,Prelude,has entity,Being_named
http://en.wikipedia.org/wiki/Masterpiece,who,has theme,Becoming_a_member
http://en.wikipedia.org/wiki/English_language,Romantic poets,has theme,Importance
http://en.wikipedia.org/wiki/The_Prelude,"as "" The Poem to Coleridge",has theme,Being_named
http://en.wikipedia.org/wiki/Masterpiece,"which he was captain, the Earl of Abergavenny",has theme,Vehicle
http://en.wikipedia.org/wiki/Cockermouth,http://en.wikipedia.org/wiki/William_Wordsworth,has theme,Buildings
http://en.wikipedia.org/wiki/John_Wordsworth,"William's sister, the poet and diarist Dorothy Wordsworth, to whom he was close all his life,",has person,Being_born
http://en.wikipedia.org/wiki/English_language,launch the Romantic Age in English literature,has theme,Assistance
http://en.wikipedia.org/wiki/William_Wordsworth,number of times,has theme,Reveal_secret
http://en.wikipedia.org/wiki/Cockermouth,region in northwestern England,has theme,Sensation
