Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Nanjing,eventually,has time,Quitting
http://en.wikipedia.org/wiki/Wu_Cheng'en,many,has theme,Categorization
http://en.wikipedia.org/wiki/Nanjing,university,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Nanjing,resigned,has event,Time_vector
http://en.wikipedia.org/wiki/Ming_dynasty,several,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Wu_Cheng'en,his hometown,has location,Text_creation
http://en.wikipedia.org/wiki/Ming_dynasty,world,has theme,Political_locales
http://en.wikipedia.org/wiki/Ming_dynasty,stories,has theme,Desirability
http://en.wikipedia.org/wiki/Ming_dynasty,poetry,has text,Text
http://en.wikipedia.org/wiki/Ming_dynasty,primary education,has theme,Desirability
http://en.wikipedia.org/wiki/Wu_Cheng'en,poor,has state,State_continue
http://en.wikipedia.org/wiki/Wu_Cheng'en,Wu,has theme,Kinship
http://en.wikipedia.org/wiki/Jiangsu,province,has theme,Political_locales
http://en.wikipedia.org/wiki/Ming_dynasty,novelist,has entity,Origin
http://en.wikipedia.org/wiki/Wu_Cheng'en,http://en.wikipedia.org/wiki/Huai'an,has goal,Motion
http://en.wikipedia.org/wiki/Wu_Rui_(eunuch),devote himself to literary pursuits,has activity,Activity_ongoing
http://en.wikipedia.org/wiki/Nanjing,http://en.wikipedia.org/wiki/Wu_Cheng'en,has theme,Examination
http://en.wikipedia.org/wiki/Ming_dynasty,Literary,has theme,Work
http://en.wikipedia.org/wiki/Ming_dynasty,http://en.wikipedia.org/wiki/Nanjing,has location,Getting
http://en.wikipedia.org/wiki/Ming_dynasty,political climate of the time and with the corruption of the world,has theme,Experiencer_focus
http://en.wikipedia.org/wiki/Wu_Cheng'en,http://en.wikipedia.org/wiki/Nanjing,has location,Attempt
http://en.wikipedia.org/wiki/Wu_Cheng'en,Journey to the West,has theme,Leadership
http://en.wikipedia.org/wiki/Chinese_language,Chinese novelist and poet,has entity,Being_named
http://en.wikipedia.org/wiki/Wu_Cheng'en,Wu,has person,Wealthiness
http://en.wikipedia.org/wiki/Ming_dynasty,entry into the imperial university,has theme,Getting
http://en.wikipedia.org/wiki/Ming_dynasty,http://en.wikipedia.org/wiki/Wu_Rui_(eunuch),has theme,Kinship
http://en.wikipedia.org/wiki/Ng_(name),friends with several prominent contemporary writers,has theme,Becoming
http://en.wikipedia.org/wiki/Ming_dynasty,financial,has theme,Difficulty
http://en.wikipedia.org/wiki/Ng_(name),Ng,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Wu_Cheng'en,official,has theme,Becoming
http://en.wikipedia.org/wiki/Wu_Cheng'en,"be the author of Journey to the West, one of the Classic Chinese Novels",has category,Categorization
http://en.wikipedia.org/wiki/Jiangsu,http://en.wikipedia.org/wiki/Lianshui_County,has location,Political_locales
http://en.wikipedia.org/wiki/Wu_Cheng'en,father,has theme,Kinship
http://en.wikipedia.org/wiki/Nanjing,postings,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/Ming_dynasty,http://en.wikipedia.org/wiki/Wu_Cheng'en,has recipient,Getting
http://en.wikipedia.org/wiki/Wu_Cheng'en,Wu's,has leader,Leadership
http://en.wikipedia.org/wiki/Ming_dynasty,primary,has level,Education_teaching
http://en.wikipedia.org/wiki/Ming_dynasty,his family's financial difficulties,has cause,Causation
http://en.wikipedia.org/wiki/Wu_Cheng'en,Wu's,has theme,Kinship
http://en.wikipedia.org/wiki/Nanjing,middle,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Wu_Cheng'en,Wu,has recipient,Getting
http://en.wikipedia.org/wiki/Nanjing,his work,has theme,Experiencer_focus
http://en.wikipedia.org/wiki/Lianshui_County,moved to Huai'an,has event,Time_vector
http://en.wikipedia.org/wiki/Nanjing,rest,has theme,Rest
http://en.wikipedia.org/wiki/Ming_dynasty,Journey to the West,has text,Text
http://en.wikipedia.org/wiki/Wu_Cheng'en,"become a mandarin, or imperial official",has goal,Attempt
http://en.wikipedia.org/wiki/Wu_Rui_(eunuch),http://en.wikipedia.org/wiki/Nanjing,has location,Leadership
http://en.wikipedia.org/wiki/Ming_dynasty,"classical literature, popular stories, and anecdotes",has theme,Inclusion
http://en.wikipedia.org/wiki/Wu_Cheng'en,after that,has time,Becoming
http://en.wikipedia.org/wiki/Nanjing,http://en.wikipedia.org/wiki/Wu_Cheng'en,has theme,Experiencer_focus
http://en.wikipedia.org/wiki/Wu_Rui_(eunuch),imperial,has theme,Leadership
