Source,Target,Label,Frame
http://en.wikipedia.org/wiki/New_England,Randall Jarrell,has theme,Give_impression
http://en.wikipedia.org/wiki/Robert_Frost,"his 1939 essay "" The Figure a Poem Makes ",has theme,Statement
http://en.wikipedia.org/wiki/United_States,"America's rare "" public literary figures",has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/New_England,other living poet,has theme,Increment
http://en.wikipedia.org/wiki/Robert_Frost,Stevens and Eliot,has theme,Accompaniment
http://en.wikipedia.org/wiki/New_England,American,has location,Intentionally_create
http://en.wikipedia.org/wiki/Robert_Frost,http://en.wikipedia.org/wiki/New_England,has location,Statement
http://en.wikipedia.org/wiki/New_England,1939,has time,Text
http://en.wikipedia.org/wiki/American_poetry,four Pulitzer Prizes for Poetry,has theme,Receiving
http://en.wikipedia.org/wiki/New_England,revelations,has theme,Sequence
http://en.wikipedia.org/wiki/New_England,American,has location,Motion
http://en.wikipedia.org/wiki/New_England,literary,has theme,Fields
http://en.wikipedia.org/wiki/Robert_Frost,name,has theme,Being_named
http://en.wikipedia.org/wiki/Robert_Frost,1939,has theme,Text
http://en.wikipedia.org/wiki/New_England,American,has theme,Experiencer_focus
http://en.wikipedia.org/wiki/American_poetry,poet,has author,Text
http://en.wikipedia.org/wiki/New_England,1939,has time,Body_parts
http://en.wikipedia.org/wiki/New_England,actions,has act,Intentionally_act
http://en.wikipedia.org/wiki/Robert_Frost,other people,has entity,Being_named
http://en.wikipedia.org/wiki/Robert_Frost,1910,has time,Being_born
http://en.wikipedia.org/wiki/American_poetry,poet,has theme,Dead_or_alive
http://en.wikipedia.org/wiki/Robert_Frost,his realistic depictions of rural life and his command of American colloquial speech,has reason,Fame
http://en.wikipedia.org/wiki/United_States,1963,has time,Text
http://en.wikipedia.org/wiki/Robert_Frost,settings from rural life in New England in the early 20th century,has theme,Statement
http://en.wikipedia.org/wiki/United_States,something,has theme,Awareness
http://en.wikipedia.org/wiki/New_England,"Robert Frost, along with Stevens and Eliot",has theme,Give_impression
http://en.wikipedia.org/wiki/Robert_Frost,name,has type,Identicality
http://en.wikipedia.org/wiki/Robert_Frost,poet laureate of Vermont,has theme,Being_named
http://en.wikipedia.org/wiki/Robert_Frost,complex social and philosophical themes,has theme,Scrutiny
http://en.wikipedia.org/wiki/New_England,artistic,has activity,Fields
http://en.wikipedia.org/wiki/Robert_Frost,people,has person,People
http://en.wikipedia.org/wiki/American_poetry,only poet,has recipient,Receiving
http://en.wikipedia.org/wiki/New_England,United States Poet Laureate,has role,Appointing
http://en.wikipedia.org/wiki/New_England,Frost's virtues,has theme,Desirability
http://en.wikipedia.org/wiki/New_England,writer,has theme,Experiencer_obj
http://en.wikipedia.org/wiki/New_England,during his lifetime,has time,Compliance
http://en.wikipedia.org/wiki/New_England,institution,has theme,Fields
http://en.wikipedia.org/wiki/New_England,writer,has text,Text
http://en.wikipedia.org/wiki/Robert_Frost,1958,has time,Being_named
http://en.wikipedia.org/wiki/New_England,relation,has event,Time_vector
http://en.wikipedia.org/wiki/Robert_Frost,http://en.wikipedia.org/wiki/New_England,has location,Scrutiny
http://en.wikipedia.org/wiki/Robert_Frost,frequently,has theme,Statement
http://en.wikipedia.org/wiki/American_poetry,poets,has entity,Origin
http://en.wikipedia.org/wiki/American_poetry,poets,has theme,Expertise
http://en.wikipedia.org/wiki/New_England,something I didn 't know I knew,has theme,Memory
http://en.wikipedia.org/wiki/New_England,ordinary men,has agent,Intentionally_act
http://en.wikipedia.org/wiki/Robert_Frost,1939,has time,Text
http://en.wikipedia.org/wiki/New_England,remembering something I didn't know I knew,has theme,Just_found_out
http://en.wikipedia.org/wiki/New_England,material,has theme,Substance
http://en.wikipedia.org/wiki/New_England,men,has person,People
http://en.wikipedia.org/wiki/Robert_Frost,http://en.wikipedia.org/wiki/United_States,has theme,People_by_vocation
http://en.wikipedia.org/wiki/New_England,greatest of the American poets of this century,has theme,Give_impression
http://en.wikipedia.org/wiki/Robert_Frost,1963,has time,People_by_vocation
http://en.wikipedia.org/wiki/New_England,writer,has person,People_by_vocation
http://en.wikipedia.org/wiki/Robert_Frost,journalist William Prescott Frost Jr. and Isabelle Moodie,has theme,Being_born
http://en.wikipedia.org/wiki/American_poetry,poet,has person,People_by_vocation
http://en.wikipedia.org/wiki/Robert_Frost, The Figure a Poem Makes,has text,Text
http://en.wikipedia.org/wiki/Robert_Frost,http://en.wikipedia.org/wiki/New_England,has location,Using
http://en.wikipedia.org/wiki/Robert_Frost,http://en.wikipedia.org/wiki/New_England,has instrument,Using
http://en.wikipedia.org/wiki/Robert_Frost,examine complex social and philosophical themes,has purpose,Using
http://en.wikipedia.org/wiki/Congressional_Gold_Medal,1958,has time,Receiving
http://en.wikipedia.org/wiki/Randall_Jarrell,"Robert Frost, along with Stevens and Eliot, seems to me the greatest of the American poets of this century",has message,Statement
http://en.wikipedia.org/wiki/New_England,poet as for the reader,has theme,Reveal_secret
http://en.wikipedia.org/wiki/New_England,men,has theme,Typicality
http://en.wikipedia.org/wiki/New_England,century,has theme,Calendric_unit
http://en.wikipedia.org/wiki/New_England,absolute mastery,has event,Frequency
http://en.wikipedia.org/wiki/New_England,early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Robert_Frost,"his poetics : No tears in the writer, no tears in the reader",has theme,Statement
http://en.wikipedia.org/wiki/United_States,one,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/American_poetry,No other living poet,has author,Text_creation
http://en.wikipedia.org/wiki/New_England,1958,has time,Appointing
http://en.wikipedia.org/wiki/American_poetry,actions of ordinary men,has text,Text_creation
http://en.wikipedia.org/wiki/American_poetry,article,has text,Text
http://en.wikipedia.org/wiki/New_England,relations,has theme,Intentionally_create
http://en.wikipedia.org/wiki/Robert_Frost,http://en.wikipedia.org/wiki/New_England,has location,Fame
http://en.wikipedia.org/wiki/American_poetry,poet,has entity,Origin
http://en.wikipedia.org/wiki/American_poetry,1963,has time,People_by_vocation
http://en.wikipedia.org/wiki/Congressional_Gold_Medal,http://en.wikipedia.org/wiki/Robert_Frost,has recipient,Receiving
http://en.wikipedia.org/wiki/New_England,people,has theme,Awareness
http://en.wikipedia.org/wiki/Robert_Frost,1939,has time,Statement
http://en.wikipedia.org/wiki/Robert_Frost,San Francisco,has location,Being_born
http://en.wikipedia.org/wiki/New_England,poets,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Robert_Frost,"one of America's rare "" public literary figures, almost an artistic institution",has theme,Becoming
http://en.wikipedia.org/wiki/Robert_Frost,same name,has theme,People
http://en.wikipedia.org/wiki/New_England,"greatest freedom of the material to move about in it and to establish relations in it regardless of time and space, previous relation, and everything but affinity",has entity,Existence
http://en.wikipedia.org/wiki/New_England,20th century,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/New_England,surprise of remembering something I didn't know I knew,has event,Experiencer_focus
http://en.wikipedia.org/wiki/New_England,few,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/New_England,tears,has theme,Body_parts
http://en.wikipedia.org/wiki/New_England,people,has person,People
http://en.wikipedia.org/wiki/New_England,"verse that uses, sometimes with absolute mastery, the rhythms of actual speech",has text,Text_creation
http://en.wikipedia.org/wiki/American_poetry,http://en.wikipedia.org/wiki/United_States,has theme,Origin
http://en.wikipedia.org/wiki/New_England,previous,has theme,Time_vector
http://en.wikipedia.org/wiki/New_England,Poem,has text,Text
http://en.wikipedia.org/wiki/American_poetry,1963,has time,Text
http://en.wikipedia.org/wiki/New_England,speech,has type,Actually_occurring_entity
http://en.wikipedia.org/wiki/United_States,poet,has text,Text
http://en.wikipedia.org/wiki/Robert_Frost,Robert Frost disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Robert_Frost,"Robert Lee Frost March 26, 1874 – January 29, 1963 ",has person,People_by_vocation
http://en.wikipedia.org/wiki/American_poetry,so well,has theme,Text_creation
http://en.wikipedia.org/wiki/New_England,1939,has time,Reading_perception
http://en.wikipedia.org/wiki/Robert_Frost,people,has class,Increment
http://en.wikipedia.org/wiki/New_England,reader,has theme,Just_found_out
http://en.wikipedia.org/wiki/American_poetry,1963,has time,Origin
http://en.wikipedia.org/wiki/New_England,dramatic monologues or dramatic scenes,has theme,Desirability
http://en.wikipedia.org/wiki/New_England,poet,has type,Sole_instance
http://en.wikipedia.org/wiki/New_England,reader,has reader,Reading_perception
