subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/American_Renaissance,Death:has_theme,http://en.wikipedia.org/wiki/Herman_Melville,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Fame:has_degree,well,0.9,Unknown,True
http://en.wikipedia.org/wiki/Moby-Dick,Becoming_aware:has_location,Moby,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Natural_features:has_theme,sea,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Supporting:has_theme,his expanding family,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Measure_duration:has_location,Moby,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Judgment:has_location,Moby,0.9,Unknown,True
http://en.wikipedia.org/wiki/Moby-Dick,Categorization:has_category,one of the Great American Novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,People_by_age:has_person,child,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Taking_time:has_location,Moby,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Measure_duration:has_theme,year,0.9,Unknown,True
http://en.wikipedia.org/wiki/Tahitians,Text:has_theme,his experiences in Polynesia,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Taking_time:has_activity,write,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Ordinal_numbers:has_theme,prosperous merchant,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Death:has_time,1832,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Vehicle:has_possessor,merchant,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Ordinal_numbers:has_type,work of prose,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Encounter:has_theme,http://en.wikipedia.org/wiki/Herman_Melville,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Text_creation:has_location,Moby,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Origin:has_entity,writer and poet (1819–1891,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Natural_features:has_theme,Marquesas,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Temporal_collocation:has_theme,1857,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Natural_features:has_theme,Islands,0.9,Unknown,True
http://en.wikipedia.org/wiki/Herman_Melville,Personal_relationship:has_theme,"Elizabeth Shaw, the daughter of the Boston jurist Lemuel Shaw",0.9,Unknown,True
http://en.wikipedia.org/wiki/Herman_Melville,Publishing:has_theme,magazines,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Judgment:has_evaluee,"his psychological novel Pierre : or, The Ambiguities (1852",0.9,Unknown,True
http://en.wikipedia.org/wiki/Tahitians,Perception_experience:has_theme,http://en.wikipedia.org/wiki/Herman_Melville,0.9,Unknown,True
http://en.wikipedia.org/wiki/Herman_Melville,Labor_product:has_location,http://en.wikipedia.org/wiki/Tahitians,0.9,Unknown,True
http://en.wikipedia.org/wiki/Herman_Melville,Text:has_text,book,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Time_vector:has_theme,1853 to 1856,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Inclusion:has_theme,magazines,0.9,Unknown,True
http://en.wikipedia.org/wiki/Great_American_Novel,Cardinal_numbers:has_theme,one,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Part_whole:has_location,Moby,0.9,Unknown,True
http://en.wikipedia.org/wiki/Herman_Melville,Labor_product:has_theme,works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Herman_Melville,Publishing:has_work,short fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Ordinal_numbers:has_type,book,0.9,Unknown,True
http://en.wikipedia.org/wiki/Tahitians,Text:has_text,novella,0.9,Unknown,True
http://en.wikipedia.org/wiki/Herman_Melville,Travel:has_time,1857,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Text:has_text,Novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Herman_Melville,Travel:has_theme,http://en.wikipedia.org/wiki/Near_East,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Text_creation:has_text,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_City,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Obviousness:has_time,"Moby-Dick (1851 ), which took nearly a year and a half to write, but it did not find an audience, and critics scorned his psychological novel Pierre : or, The Ambiguities (1852 )",0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Fame:has_entity,public,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Taking_time:has_theme,nearly a year and a half,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Perception_experience:has_state,as a well-born young man at sea,0.9,Unknown,True
http://en.wikipedia.org/wiki/Tahitians,Publishing:has_work,novella,0.9,Unknown,True
http://en.wikipedia.org/wiki/Elizabeth_Shaw_(confectionery_company),Giving:has_theme,"financial security to marry Elizabeth Shaw, the daughter of the Boston jurist Lemuel Shaw",0.9,Unknown,True
http://en.wikipedia.org/wiki/Elizabeth_Shaw_(confectionery_company),Giving:has_recipient,http://en.wikipedia.org/wiki/Herman_Melville,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Vehicle:has_theme,ship,0.9,Unknown,True
http://en.wikipedia.org/wiki/Herman_Melville,Labor_product:has_theme,prose,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_Renaissance,Obviousness:has_location,Moby,0.9,Unknown,True
