Source,Target,Label,Frame
http://en.wikipedia.org/wiki/New_England,Lowell,has speaker,Statement
http://en.wikipedia.org/wiki/New_England,which,has theme,Emphasizing
http://en.wikipedia.org/wiki/New_England,number,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/William_Carlos_Williams,where,has location,Serving_in_capacity
http://en.wikipedia.org/wiki/American_poetry,poets,has entity,Origin
http://en.wikipedia.org/wiki/Life_Studies,1959,has time,Part_whole
http://en.wikipedia.org/wiki/American_poetry,American poet,has participant,Individual_history
http://en.wikipedia.org/wiki/Allen_Tate,who,has entity,Subjective_influence
http://en.wikipedia.org/wiki/New_England,work,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/New_England,1959,has time,Political_locales
http://en.wikipedia.org/wiki/New_England,verse,has goods,Expensiveness
http://en.wikipedia.org/wiki/New_England,some,has theme,Proportional_quantity
http://en.wikipedia.org/wiki/New_England,National,has theme,Political_locales
http://en.wikipedia.org/wiki/National_Book_Award_for_Poetry,National Institute of Arts and Letters Award,has prize,Win_prize
http://en.wikipedia.org/wiki/New_England,Lowell,has agent,Labor_product
http://en.wikipedia.org/wiki/New_England,over the course of his career,has time,Being_employed
http://en.wikipedia.org/wiki/New_England,Lowell,has theme,Categorization
http://en.wikipedia.org/wiki/New_England,region,has theme,Locale
http://en.wikipedia.org/wiki/New_England,personal,has theme,Cause_to_amalgamate
http://en.wikipedia.org/wiki/American_poetry,important part of the confessional poetry movement,has category,Categorization
http://en.wikipedia.org/wiki/American_poetry,family,has theme,Kinship
http://en.wikipedia.org/wiki/New_England,combination,has theme,Likelihood
http://en.wikipedia.org/wiki/American_poetry,one of the most important American poets of the postwar era,has category,Categorization
http://en.wikipedia.org/wiki/New_England,emphasis,has entity,Age
http://en.wikipedia.org/wiki/Library_of_Congress,Poetry,has location,Appointing
http://en.wikipedia.org/wiki/New_England,1959,has time,Age
http://en.wikipedia.org/wiki/New_England,work,has theme,Labor_product
http://en.wikipedia.org/wiki/New_England,particularly in his early work,has theme,Categorization
http://en.wikipedia.org/wiki/New_England,1959,has time,Discussion
http://en.wikipedia.org/wiki/American_poetry,American poet,has theme,Desiring
http://en.wikipedia.org/wiki/New_England,public,has theme,Cause_to_amalgamate
