Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Sylvia_Plath,http://en.wikipedia.org/wiki/United_States,has location,Text_creation
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,1981,has time,Labor_product
http://en.wikipedia.org/wiki/Sylvia_Plath,fellow poet Ted Hughes,has theme,Forming_relationships
http://en.wikipedia.org/wiki/Jamaica_Plain,"family moved from 24 Prince Street in Jamaica Plain, Massachusetts, to 92 Johnson Avenue, Winthrop, Massachusetts",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/United_States,people,has class,Increment
http://en.wikipedia.org/wiki/Boston_University,later,has time,Education_teaching
http://en.wikipedia.org/wiki/Boston_University,1934,has time,Text_creation
http://en.wikipedia.org/wiki/Sylvia_Plath,http://en.wikipedia.org/wiki/England,has location,Forming_relationships
http://en.wikipedia.org/wiki/Jamaica_Plain,1936,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Sylvia_Plath,"April 27, 1935",has time,Being_born
http://en.wikipedia.org/wiki/Boston_University,book about bumblebees,has text,Text_creation
http://en.wikipedia.org/wiki/Boston_University,http://en.wikipedia.org/wiki/Sylvia_Plath,has theme,Killing
http://en.wikipedia.org/wiki/Boston_University,versions of electroconvulsive therapy ECT,has theme,Relative_time
http://en.wikipedia.org/wiki/Sylvia_Plath,early versions of electroconvulsive therapy ECT ,has theme,Medical_intervention
http://en.wikipedia.org/wiki/Sylvia_Plath,1906,has time,Kinship
http://en.wikipedia.org/wiki/Boston_University,"studied with Robert Lowell at Boston University, alongside poets Anne Sexton and George Starbuck",has event,Time_vector
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,1981,has time,Inclusion
http://en.wikipedia.org/wiki/Sylvia_Plath,best,has degree,Fame
http://en.wikipedia.org/wiki/Sylvia_Plath,advancing the genre of confessional poetry,has behavior,Praiseworthiness
http://en.wikipedia.org/wiki/Sylvia_Plath,1960,has time,Praiseworthiness
http://en.wikipedia.org/wiki/Sylvia_Plath,abuse at his hands,has message,Statement
http://en.wikipedia.org/wiki/United_States,poet,has text,Text
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,1982,has time,Temporal_collocation
http://en.wikipedia.org/wiki/Ted_Hughes,United States and then in England,has location,Residence
http://en.wikipedia.org/wiki/Sylvia_Plath,1982,has time,Giving
http://en.wikipedia.org/wiki/United_States,poet and author,has entity,Origin
http://en.wikipedia.org/wiki/Sylvia_Plath,"Colossus and Other Poems 1960, Ariel 1965 , and The Bell Jar, a semi-autobiographical novel published shortly before her suicide in 1963",has reason,Fame
http://en.wikipedia.org/wiki/United_States,Plath surname,has theme,Reference_text
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,previously unpublished,has theme,Labor_product
http://en.wikipedia.org/wiki/Sylvia_Plath,mother,has theme,Kinship
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,person,has person,People
http://en.wikipedia.org/wiki/Boston_University,electroconvulsive,has theme,Cure
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,fourth person,has recipient,Receiving
http://en.wikipedia.org/wiki/Sylvia_Plath,1935,has time,Kinship
http://en.wikipedia.org/wiki/Ted_Hughes,1962,has time,Kinship
http://en.wikipedia.org/wiki/United_States,poet and writer,has entity,Origin
http://en.wikipedia.org/wiki/Sylvia_Plath,http://en.wikipedia.org/wiki/Boston_University,has theme,People_by_vocation
http://en.wikipedia.org/wiki/Boston_University,1963,has time,Killing
http://en.wikipedia.org/wiki/Sylvia_Plath,poetry,has text,Text
http://en.wikipedia.org/wiki/Sylvia_Plath,here,has theme,Locative_relation
http://en.wikipedia.org/wiki/Sylvia_Plath,1960,has time,Fame
http://en.wikipedia.org/wiki/Boston_University,http://en.wikipedia.org/wiki/Ted_Hughes,has theme,Relation
http://en.wikipedia.org/wiki/Massachusetts,"24 Prince Street in Jamaica Plain, Massachusetts",has source,Motion
http://en.wikipedia.org/wiki/Massachusetts,"92 Johnson Avenue, Winthrop, Massachusetts",has goal,Motion
http://en.wikipedia.org/wiki/Boston,"http://en.wikipedia.org/wiki/Newnham_College,_Cambridge",has institution,Education_teaching
http://en.wikipedia.org/wiki/Austrians,Austrian immigrants,has theme,Kinship
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,1981,has time,Publishing
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,1982,has time,Aggregate
http://en.wikipedia.org/wiki/Sylvia_Plath,"Boston, Massachusetts",has location,Being_born
http://en.wikipedia.org/wiki/Moby,song,has text,Text
http://en.wikipedia.org/wiki/Sylvia_Plath,Sylvia Plath,has author,Text
http://en.wikipedia.org/wiki/Boston_University,http://en.wikipedia.org/wiki/Sylvia_Plath,has theme,Death
http://en.wikipedia.org/wiki/Sylvia_Plath,Poetry,has location,Giving
http://en.wikipedia.org/wiki/Boston_University,1934,has time,Text
http://en.wikipedia.org/wiki/Boston,University,has theme,Institutionalization
http://en.wikipedia.org/wiki/Sylvia_Plath,brother,has theme,Kinship
http://en.wikipedia.org/wiki/Jamaica_Plain,Jamaica Plain,has location,Kinship
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,person,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Poetry,has location,Ordinal_numbers
http://en.wikipedia.org/wiki/Sylvia_Plath,1963,has time,Killing
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,1982,has time,Commemorative
http://en.wikipedia.org/wiki/Sylvia_Plath,"October 27, 1932",has time,Being_born
http://en.wikipedia.org/wiki/Ted_Hughes,1956,has time,Residence
http://en.wikipedia.org/wiki/Jamaica_Plain,1936,has time,Temporal_collocation
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,1982,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Sylvia_Plath,1934,has time,People_by_vocation
http://en.wikipedia.org/wiki/Sylvia_Plath,1932,has time,Text
http://en.wikipedia.org/wiki/United_States,people,has person,People
http://en.wikipedia.org/wiki/Boston,http://en.wikipedia.org/wiki/Sylvia_Plath,has student,Education_teaching
http://en.wikipedia.org/wiki/Austrians,"Her mother, Aurelia Schober Plath 1906–1994,",has theme,Kinship
http://en.wikipedia.org/wiki/Sylvia_Plath,Plath's,has theme,Kinship
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Poetry,has location,People
http://en.wikipedia.org/wiki/Sylvia_Plath,biology,has theme,People_by_vocation
http://en.wikipedia.org/wiki/Sylvia_Plath,novel,has text,Text
http://en.wikipedia.org/wiki/Sylvia_Plath,semi-autobiographical,has theme,Text
http://en.wikipedia.org/wiki/Sylvia_Plath,1932,has time,Text_creation
http://en.wikipedia.org/wiki/Massachusetts,Jamaica Plain,has location,Motion
http://en.wikipedia.org/wiki/Boston_University,his hands,has theme,Abusing
http://en.wikipedia.org/wiki/Sylvia_Plath,http://en.wikipedia.org/wiki/United_States,has location,Text
http://en.wikipedia.org/wiki/Jamaica_Plain,family,has theme,Kinship
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Poetry,has location,Commemorative
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,posthumously,has time,Receiving
http://en.wikipedia.org/wiki/United_States,1932,has time,Origin
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,this honor,has theme,Receiving
http://en.wikipedia.org/wiki/Sylvia_Plath,author,has text,Text_creation
http://en.wikipedia.org/wiki/Austrians,1906,has time,Kinship
http://en.wikipedia.org/wiki/Boston_University,who,has author,Text_creation
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,collection,has theme,Aggregate
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,1982,has time,People
http://en.wikipedia.org/wiki/Boston_University,electroconvulsive therapy ECT,has category,Type
http://en.wikipedia.org/wiki/Sylvia_Plath,"Victoria Lucas "" redirects",has theme,Locative_relation
http://en.wikipedia.org/wiki/Boston_University,adult,has person,People_by_age
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Poetry,has location,Temporal_collocation
http://en.wikipedia.org/wiki/Boston_University,suicide,has theme,Death
http://en.wikipedia.org/wiki/The_Bell_Jar,shortly before her suicide in 1963,has time,Publishing
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,receive this honor posthumously,has theme,Ordinal_numbers
http://en.wikipedia.org/wiki/Boston_University,1963,has time,Death
http://en.wikipedia.org/wiki/The_Bell_Jar,"Bell Jar, a semi-autobiographical novel",has work,Publishing
http://en.wikipedia.org/wiki/Sylvia_Plath,1956,has time,Forming_relationships
http://en.wikipedia.org/wiki/Sylvia_Plath,1934,has time,Kinship
http://en.wikipedia.org/wiki/Boston_University,alongside poets Anne Sexton and George Starbuck,has role,Education_teaching
http://en.wikipedia.org/wiki/Sylvia_Plath,father,has theme,Kinship
http://en.wikipedia.org/wiki/Sylvia_Plath,Plath's father,has person,People_by_vocation
http://en.wikipedia.org/wiki/Massachusetts,family,has theme,Motion
http://en.wikipedia.org/wiki/Ted_Hughes,children,has theme,Kinship
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,honor,has theme,Commemorative
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Plath was awarded a Pulitzer Prize in Poetry,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Sylvia_Plath,letters,has text,Text
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,which,has theme,Inclusion
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,1982,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Boston_University,book,has text,Text
http://en.wikipedia.org/wiki/Jamaica_Plain,Jamaica Plain,has location,Temporal_collocation
http://en.wikipedia.org/wiki/Massachusetts,1936,has time,Motion
http://en.wikipedia.org/wiki/Sylvia_Plath,poet,has text,Text
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Poetry,has location,Receiving
http://en.wikipedia.org/wiki/Sylvia_Plath,http://en.wikipedia.org/wiki/Boston_University,has location,Kinship
http://en.wikipedia.org/wiki/Sylvia_Plath,Sylvia Plath,has author,Text_creation
http://en.wikipedia.org/wiki/United_States,1932,has time,Text
http://en.wikipedia.org/wiki/Sylvia_Plath,http://en.wikipedia.org/wiki/Boston_University,has location,People_by_vocation
http://en.wikipedia.org/wiki/Sylvia_Plath,Plath's brother Warren,has person,Being_born
http://en.wikipedia.org/wiki/Boston_University,http://en.wikipedia.org/wiki/Robert_Lowell,has teacher,Education_teaching
