subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Locative_relation:has_theme,world,0.9,Unknown,True
http://en.wikipedia.org/wiki/Joseph_Stalin,Organization:has_organization,organisations,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Membership:has_group,left that opposed Joseph Stalin and the Soviet Union because of their totalitarianism,0.9,Unknown,True
http://en.wikipedia.org/wiki/France,Reference_text:has_theme,Camus (disambiguation),0.9,Unknown,True
http://en.wikipedia.org/wiki/Joseph_Stalin,People_along_political_spectrum:has_theme,left,0.9,Unknown,True
http://en.wikipedia.org/wiki/Combat,Becoming_a_member:has_group,"French Resistance where he served as editor-in-chief at Combat, an outlawed newspaper",0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Categorization:has_category,be an existentialist,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Causation:has_cause,their totalitarianism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paris,Interior_profile_relation:has_time,when the Germans invaded France during World War II in 1940,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paris,Invading:has_time,during World War II in 1940,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Being_born:has_time,7 November 1913,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Time_vector:has_theme,war,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Being_named:has_entity,philosophy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Attempt:has_goal,flee,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Being_named:has_theme,Sintès,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Locative_relation:has_theme,many lectures,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Membership:has_group,many organisations seeking European integration,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Age:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Joseph_Stalin,Respond_to_proposal:has_theme,firmly,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Kinship:has_theme,childhood,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Categorization:has_item,Camus's work,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Being_named:has_theme,as absurdism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Joseph_Stalin,Respond_to_proposal:has_speaker,he himself,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Inclusion:has_theme,"Stranger, The Plague, The Myth of Sisyphus, The Fall and The Rebel",0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Personal_relationship:has_degree,twice,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Time_vector:has_event,studied philosophy at the University of Algiers,0.9,Unknown,True
http://en.wikipedia.org/wiki/Joseph_Stalin,Taking_sides:has_theme,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Categorization:has_theme,Some,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Being_active:has_activity,politically,0.9,Unknown,True
http://en.wikipedia.org/wiki/Combat,Becoming_a_member:has_time,finally,0.9,Unknown,True
http://en.wikipedia.org/wiki/Algiers_1_University,Studying:has_time,later,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paris,Interior_profile_relation:has_theme,http://en.wikipedia.org/wiki/Albert_Camus,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Desirability:has_theme,neighbourhood,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Being_named:has_entity,Catherine Hélène Camus,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_time,age of 44,0.9,Unknown,True
http://en.wikipedia.org/wiki/Algiers_1_University,Studying:has_student,http://en.wikipedia.org/wiki/Albert_Camus,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Time_vector:has_event,he was a celebrity figure and gave many lectures around the world,0.9,Unknown,True
http://en.wikipedia.org/wiki/Combat,Becoming_a_member:has_theme,http://en.wikipedia.org/wiki/Albert_Camus,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Change_posture:has_theme,towards anarcho-syndicalism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Joseph_Stalin,Respond_to_proposal:has_theme,term,0.9,Unknown,True
http://en.wikipedia.org/wiki/Joseph_Stalin,Taking_sides:has_theme,Joseph Stalin and the Soviet Union,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Age:has_time,1957,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Opinion:has_theme,Camus's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_theme,Nobel Prize in Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paris,Temporal_collocation:has_time,1940,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Kinship:has_theme,mother,0.9,Unknown,True
http://en.wikipedia.org/wiki/Germany,People_by_origin:has_time,1940,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_theme,1957 Nobel Prize in Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/French_Algeria,Kinship:has_theme,parents,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Being_born:has_location,http://en.wikipedia.org/wiki/French_Algeria,0.9,Unknown,True
http://en.wikipedia.org/wiki/Combat,Text:has_theme,outlawed,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Inclusion:has_theme,His works,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Quantified_mass:has_quantity,many,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paris,Temporal_collocation:has_theme,Germans invaded France during World War II in 1940,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Age:has_age,44,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paris,Temporal_collocation:has_theme,He was in Paris,0.9,Unknown,True
http://en.wikipedia.org/wiki/Joseph_Stalin,Seeking_to_achieve:has_theme,European integration,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Attempt:has_location,http://en.wikipedia.org/wiki/Combat,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Posture:has_theme,neutral,0.9,Unknown,True
http://en.wikipedia.org/wiki/Algiers_1_University,Studying:has_theme,philosophy,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Causation:has_effect,he was part of the left that opposed Joseph Stalin and the Soviet Union,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paris,Invading:has_theme,http://en.wikipedia.org/wiki/France,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Being_born:has_location,"working-class neighbourhood in Mondovi (present-day Dréan ), in French Algeria",0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Political_locales:has_theme,world,0.9,Unknown,True
http://en.wikipedia.org/wiki/France,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Time_vector:has_theme,After,0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Posture:has_time,During the Algerian War (1954–1962),0.9,Unknown,True
http://en.wikipedia.org/wiki/Albert_Camus,Being_born:has_theme,pied-noir parents,0.9,Unknown,True
http://en.wikipedia.org/wiki/Combat,Text:has_text,newspaper,0.9,Unknown,True
http://en.wikipedia.org/wiki/Paris,Invading:has_theme,http://en.wikipedia.org/wiki/Germany,0.9,Unknown,True
http://en.wikipedia.org/wiki/Combat,Fleeing:has_theme,http://en.wikipedia.org/wiki/Albert_Camus,0.9,Unknown,True
http://en.wikipedia.org/wiki/Germany,People_by_origin:has_location,http://en.wikipedia.org/wiki/Paris,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Stranger_(newspaper),Quantified_mass:has_theme,lectures,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_recipient,http://en.wikipedia.org/wiki/Albert_Camus,0.9,Unknown,True
http://en.wikipedia.org/wiki/Joseph_Stalin,Seeking_to_achieve:has_agent,many organisations,0.9,Unknown,True
