subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,Proportional_quantity:has_theme,Almost,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Locating:has_theme,poetic matter,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Canterbury_Tales,Capability:has_location,http://en.wikipedia.org/wiki/England,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Ordinal_numbers:has_type,fyndere of our fair langage,0.9,Unknown,True
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,Text:has_text,manuscripts,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Canterbury_Tales,Capability:has_event,finding poetic matter in English,0.9,Unknown,True
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,Proportional_quantity:has_theme,two thousand English words,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Reference_text:has_theme,Chaucer (disambiguation ),0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Increment:has_class,uses,0.9,Unknown,True
http://en.wikipedia.org/wiki/London,Temporal_subregion:has_theme,early,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Text:has_text,poet,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Continued_state_of_affairs:has_theme,still,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Canterbury_Tales,State_continue:has_entity,precise date and location,0.9,Unknown,True
http://en.wikipedia.org/wiki/London,Inclusion:has_theme,some accounts,0.9,Unknown,True
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,Grasp:has_category,as crucial in legitimising the literary use of Middle English at a time when the dominant literary languages in England were still Anglo-Norman French and Latin,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Locale:has_theme,languages,0.9,Unknown,True
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,Text_creation:has_text,"scientific A Treatise on the Astrolabe for his ten-year-old son, Lewis",0.9,Unknown,True
http://en.wikipedia.org/wiki/England,First_rank:has_theme,our fair langage,0.9,Unknown,True
http://en.wikipedia.org/wiki/Geoffrey_Chaucer,Body_parts:has_theme,Arms,0.9,Unknown,True
http://en.wikipedia.org/wiki/London,Inclusion:has_theme,his monument,0.9,Unknown,True
http://en.wikipedia.org/wiki/Westminster_Abbey,Increment:has_theme,other works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Westminster_Abbey,Interior_profile_relation:has_theme,his other works,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Death:has_time,1400,0.9,Unknown,True
http://en.wikipedia.org/wiki/England,Ordinal_numbers:has_type,one capable of finding poetic matter in English,0.9,Unknown,True
http://en.wikipedia.org/wiki/Westminster_Abbey,Change_of_leadership:has_theme,http://en.wikipedia.org/wiki/Geoffrey_Chaucer,0.9,Unknown,True
