subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Clarice_Lispector,Being_born:has_time,1920,0.9,Unknown,True
http://en.wikipedia.org/wiki/Family_Ties,Cause_harm:has_theme,http://en.wikipedia.org/wiki/Clarice_Lispector,0.9,Unknown,True
http://en.wikipedia.org/wiki/Europe,Relative_time:has_time,1944,0.9,Unknown,True
http://en.wikipedia.org/wiki/Family_Ties,Publishing:has_work,"novels and stories, including the celebrated gua Viva",0.9,Unknown,True
http://en.wikipedia.org/wiki/Family_Ties,Frequency:has_event,pain,0.9,Unknown,True
http://en.wikipedia.org/wiki/Benjamin_Moser,Text:has_theme,2009,0.9,Unknown,True
http://en.wikipedia.org/wiki/Rio_de_Janeiro,Law:has_law,law,0.9,Unknown,True
http://en.wikipedia.org/wiki/Brazil,Interior_profile_relation:has_location,http://en.wikipedia.org/wiki/Rio_de_Janeiro,0.9,Unknown,True
http://en.wikipedia.org/wiki/Europe,Measure_duration:has_theme,10,0.9,Unknown,True
http://en.wikipedia.org/wiki/Family_Ties,Cause_change:has_entity,Several of her works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Podolia,Committing_crime:has_theme,pogroms,0.9,Unknown,True
http://en.wikipedia.org/wiki/Rio_de_Janeiro,Ordinal_numbers:has_type,novel,0.9,Unknown,True
http://en.wikipedia.org/wiki/Clarice_Lispector,Text:has_location,http://en.wikipedia.org/wiki/Rio_de_Janeiro,0.9,Unknown,True
http://en.wikipedia.org/wiki/Benjamin_Moser,Origin:has_entity,writer Benjamin Moser,0.9,Unknown,True
http://en.wikipedia.org/wiki/Clarice_Lispector,Activity_start:has_activity,publishing her first journalistic work and short stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ukraine,Categorization:has_item,style and language that,0.9,Unknown,True
http://en.wikipedia.org/wiki/Family_Ties,Cause_harm:has_cause,accident,0.9,Unknown,True
http://en.wikipedia.org/wiki/Ukraine,Categorization:has_category,revolutionary,0.9,Unknown,True
http://en.wikipedia.org/wiki/Rio_de_Janeiro,Publishing:has_theme,http://en.wikipedia.org/wiki/Clarice_Lispector,0.9,Unknown,True
http://en.wikipedia.org/wiki/Europe,Measure_duration:has_theme,decade,0.9,Unknown,True
http://en.wikipedia.org/wiki/Europe,Part_whole:has_time,1944,0.9,Unknown,True
http://en.wikipedia.org/wiki/Rio_de_Janeiro,Publishing:has_work,"her first novel, Near to the Wild Heart ( Perto do Coraço Selvagem )",0.9,Unknown,True
http://en.wikipedia.org/wiki/Clarice_Lispector,Labor_product:has_theme,journalistic,0.9,Unknown,True
