subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Wallace_Stevens,Being_born:has_theme,into a Lutheran family of Dutch and German descent,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Idea_of_Order_at_Key_West,Inclusion:has_theme,Transport to Summer,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,Text:has_text,poems,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Subjective_influence:has_theme,http://en.wikipedia.org/wiki/Wallace_Stevens,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,Attending:has_agent,"son of a prosperous lawyer, Stevens",0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Businesses:has_location,"Hartford, Connecticut",0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_University,Kinship:has_theme,son,0.9,Unknown,True
http://en.wikipedia.org/wiki/New_York_University,Kinship:has_time,1900,0.9,Unknown,True
http://en.wikipedia.org/wiki/Susquehanna_River,Leadership:has_role,president,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,Text:has_time,1950,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Relative_time:has_time,1923,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Frequency:has_time,1923,0.9,Unknown,True
http://en.wikipedia.org/wiki/Susquehanna_River,Colonization:has_time,1709,0.9,Unknown,True
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,Win_prize:has_prize,http://en.wikipedia.org/wiki/Pulitzer_Prize_for_Poetry,0.9,Unknown,True
http://en.wikipedia.org/wiki/Susquehanna_River,Leadership:has_theme,Harvard Advocate,0.9,Unknown,True
http://en.wikipedia.org/wiki/Susquehanna_River,Education_teaching:has_skill,non-degree,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,Attending:has_event,http://en.wikipedia.org/wiki/Harvard_University,0.9,Unknown,True
http://en.wikipedia.org/wiki/Susquehanna_River,Duration_description:has_time,1977,0.9,Unknown,True
http://en.wikipedia.org/wiki/American_poetry,Text:has_text,edition,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,Text:has_author,her father's,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,Frequency:has_theme,period,0.9,Unknown,True
