Source,Target,Label,Frame
http://en.wikipedia.org/wiki/American_Renaissance,http://en.wikipedia.org/wiki/Herman_Melville,has theme,Death
http://en.wikipedia.org/wiki/American_Renaissance,well,has degree,Fame
http://en.wikipedia.org/wiki/Moby-Dick,Moby,has location,Becoming_aware
http://en.wikipedia.org/wiki/American_Renaissance,sea,has theme,Natural_features
http://en.wikipedia.org/wiki/American_Renaissance,his expanding family,has theme,Supporting
http://en.wikipedia.org/wiki/American_Renaissance,Moby,has location,Measure_duration
http://en.wikipedia.org/wiki/American_Renaissance,Moby,has location,Judgment
http://en.wikipedia.org/wiki/Moby-Dick,one of the Great American Novels,has category,Categorization
http://en.wikipedia.org/wiki/New_York_City,child,has person,People_by_age
http://en.wikipedia.org/wiki/American_Renaissance,Moby,has location,Taking_time
http://en.wikipedia.org/wiki/American_Renaissance,year,has theme,Measure_duration
http://en.wikipedia.org/wiki/Tahitians,his experiences in Polynesia,has theme,Text
http://en.wikipedia.org/wiki/American_Renaissance,write,has activity,Taking_time
http://en.wikipedia.org/wiki/New_York_City,prosperous merchant,has theme,Ordinal_numbers
http://en.wikipedia.org/wiki/New_York_City,1832,has time,Death
http://en.wikipedia.org/wiki/American_Renaissance,merchant,has possessor,Vehicle
http://en.wikipedia.org/wiki/American_Renaissance,work of prose,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/American_Renaissance,http://en.wikipedia.org/wiki/Herman_Melville,has theme,Encounter
http://en.wikipedia.org/wiki/American_Renaissance,Moby,has location,Text_creation
http://en.wikipedia.org/wiki/United_States,writer and poet 1819–1891,has entity,Origin
http://en.wikipedia.org/wiki/American_Renaissance,Marquesas,has theme,Natural_features
http://en.wikipedia.org/wiki/American_Renaissance,1857,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/American_Renaissance,Islands,has theme,Natural_features
http://en.wikipedia.org/wiki/Herman_Melville,"Elizabeth Shaw, the daughter of the Boston jurist Lemuel Shaw",has theme,Personal_relationship
http://en.wikipedia.org/wiki/Herman_Melville,magazines,has theme,Publishing
http://en.wikipedia.org/wiki/American_Renaissance,"his psychological novel Pierre : or, The Ambiguities 1852",has evaluee,Judgment
http://en.wikipedia.org/wiki/Tahitians,http://en.wikipedia.org/wiki/Herman_Melville,has theme,Perception_experience
http://en.wikipedia.org/wiki/Herman_Melville,http://en.wikipedia.org/wiki/Tahitians,has location,Labor_product
http://en.wikipedia.org/wiki/Herman_Melville,book,has text,Text
