Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Rugby_union,crime fiction,has theme,Fields
http://en.wikipedia.org/wiki/Rugby_union,his works,has theme,Inclusion
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,"his baptism entry in the register of St Mary's Cathedral, Edinburgh",has theme,Giving
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,"that ""Conan"" is part of a compound surname rather than a middle name",has theme,Evidence
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,"Study in Scarlet, the first of four novels and fifty-six short stories about Holmes and Dr. Watson",has purpose,Intentionally_create
http://en.wikipedia.org/wiki/Scarlets,first,has item,Ordinal_numbers
http://en.wikipedia.org/wiki/Rugby_union,poetry,has text,Text
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,text,has text,Text_creation
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,given names,has theme,Being_named
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,Shortly,has theme,Time_vector
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,Michael Conan,has theme,Appointing
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,"11 Picardy Place, Edinburgh, Scotland",has location,Being_born
http://en.wikipedia.org/wiki/The_Baker_Street_Journal,"Steven Doyle, publisher of The Baker Street Journal",has speaker,Statement
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,compound surname,has theme,Part_whole
http://en.wikipedia.org/wiki/Rugby_union,short stories,has theme,Relative_time
http://en.wikipedia.org/wiki/Scarlets,novels,has text,Text
http://en.wikipedia.org/wiki/Rugby_union,Sherlock Holmes,has theme,Text
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,Arthur's,has entity,Being_named
http://en.wikipedia.org/wiki/Rugby_union,plays,has theme,Performing_arts
http://en.wikipedia.org/wiki/Napoleonic_era,Brigadier Gerard,has person,Member_of_military
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,as a sort of surname,has role,Using
http://en.wikipedia.org/wiki/Rugby_union,member,has member,Membership
http://en.wikipedia.org/wiki/Rugby_union,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,using Conan as a sort of surname,has activity,Activity_start
http://en.wikipedia.org/wiki/Rugby_union,writer,has theme,Expertise
http://en.wikipedia.org/wiki/Rugby_union,drifting at sea with no crew member aboard,has state,Becoming_aware
http://en.wikipedia.org/wiki/Library_of_Congress,Doyle,has item,Communicate_categorization
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,character Sherlock Holmes,has theme,Intentionally_create
http://en.wikipedia.org/wiki/Rugby_union,stories,has text,Text
http://en.wikipedia.org/wiki/Scarlets,stories,has theme,Duration_description
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,Conan,has theme,Part_whole
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,simply'Dog ,has theme,Being_named
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,often,has time,Subjective_influence
http://en.wikipedia.org/wiki/The_Baker_Street_Journal,Conan was Arthur's middle name,has message,Statement
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,"referred to as ""Sir Arthur Conan Doyle"" or ""Conan Doyle",has event,Frequency
http://en.wikipedia.org/wiki/Library_of_Congress,alone as his surname,has category,Communicate_categorization
http://en.wikipedia.org/wiki/Library_of_Congress,catalogues of the British Library and the Library of Congress,has theme,Communicate_categorization
http://en.wikipedia.org/wiki/Scarlets,four novels and fifty-six short stories about Holmes and Dr. Watson,has theme,Ordinal_numbers
http://en.wikipedia.org/wiki/Scarlets,fifty-six,has theme,Duration_description
http://en.wikipedia.org/wiki/Rugby_union,brigantine Mary Celeste,has theme,Becoming_aware
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,Arthur Ignatius Conan,has theme,Giving
http://en.wikipedia.org/wiki/Rugby_union,"fantasy and science fiction stories about Professor Challenger, and humorous stories about the Napoleonic soldier Brigadier Gerard, as well as plays, romances, poetry, non-fiction, and historical novels",has theme,Inclusion
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,"as ""Sir Arthur Conan Doyle"" or ""Conan Doyle ",has behavior,Subjective_influence
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,1887,has time,Intentionally_create
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,he began using Conan as a sort of surname,has event,Time_vector
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,http://en.wikipedia.org/wiki/Scarlets,has location,Intentionally_create
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,22 May 1859,has time,Being_born
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Rugby_union,crew,has group,Membership
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,Conan,has entity,Being_named
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,as his given names,has theme,Giving
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,he graduated from high school,has theme,Time_vector
http://en.wikipedia.org/wiki/Sherlock_Holmes,stories,has text,Text
http://en.wikipedia.org/wiki/Arthur_Conan_Doyle,as his godfather,has role,Appointing
