subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Spanish_language,Being_named:has_theme,name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Assistance:has_goal,expand this article with text translated from the corresponding article in Spanish,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Have_as_requirement:has_theme,additional citations,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Removing:has_time,2018,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Importance:has_theme,translation instructions,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Give_impression:has_theme,text,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jaime_Lozano,Being_named:has_time,1914,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Cotheme:has_theme,edit summary,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Translating:has_theme,corresponding article in Spanish,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mexico,Supply:has_location,edit summary accompanying your translation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Have_as_requirement:has_theme,verification,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Removing:has_theme,this message,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Substance:has_theme,Unsourced,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Discussion:has_theme,these issues,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Supply:has_theme,references,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Locating:has_theme,sources,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Coming_to_believe:has_theme,how and when to remove these messages,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Correctness:has_information,translation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Ordinal_numbers:has_type,family name,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Increment:has_class,citations,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Education_teaching:has_skill,how and when to remove this message,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Calendric_unit:has_theme,August,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Locating:has_time,2018,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jaime_Lozano,Being_named:has_entity,second or maternal family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Removing:has_theme,these messages,0.9,Unknown,True
http://en.wikipedia.org/wiki/Spanish_language,Reference_text:has_theme,Wikipedia:Translation,0.9,Unknown,True
