Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Ancient_Rome,article,has text,Text
http://en.wikipedia.org/wiki/Middle_Ages,early,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,modern scholars,has theme,Categorization
http://en.wikipedia.org/wiki/Virgil,"as the most popular Latin poet through late antiquity, the Middle Ages, and early modernity",has theme,Being_located
http://en.wikipedia.org/wiki/Virgil,Virgil disambiguation,has theme,Reference_text
"http://en.wikipedia.org/wiki/Augusta,_Georgia",poems,has entity,Fame
http://en.wikipedia.org/wiki/Latin,Aeneid,has text,Text
http://en.wikipedia.org/wiki/Virgil,his lifetime,has time,Judgment_communication
http://en.wikipedia.org/wiki/Middle_Ages,style,has attribute,Aesthetics
"http://en.wikipedia.org/wiki/Augusta,_Georgia",Latin literature,has location,Fame
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,as spurious,has category,Categorization
http://en.wikipedia.org/wiki/Ancient_Rome,poet,has text,Text
"http://en.wikipedia.org/wiki/Augusta,_Georgia",short,has theme,Part_piece
http://en.wikipedia.org/wiki/Ancient_Rome,uses,has class,Increment
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,Publius Vergilius Maro  Classical Latin : publis wrlis maro ; 15 October 70 BC – 21 September 19 BC ,has entity,Simple_naming
http://en.wikipedia.org/wiki/Middle_Ages,pilere,has location,Posture
"http://en.wikipedia.org/wiki/Augusta,_Georgia",Roman poet of the Augustan period,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Virgil,http://en.wikipedia.org/wiki/Latin,has location,Text_creation
"http://en.wikipedia.org/wiki/Augusta,_Georgia",pieces,has theme,Duration_description
http://en.wikipedia.org/wiki/Virgil,that it must be one which will expressly reckon with him,has message,Statement
http://en.wikipedia.org/wiki/Middle_Ages,Already,has theme,Time_vector
http://en.wikipedia.org/wiki/Ancient_Rome,Roman poet,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Virgil,House,has location,Conduct
http://en.wikipedia.org/wiki/Middle_Ages,"as standing on a pilere / that was of tinned yren clere "" on a pillar that was of bright tin-plated iron"", and in the Divine Comedy, in which Virgil appears as the author's guide through Hell and Purgatory, Dante pays tribute to Virgil with the words tu se' solo colui da cu'io tolsi / lo bello stile che m'ha fatto onore",has message,Statement
http://en.wikipedia.org/wiki/Middle_Ages,that,has feature,Distinctiveness
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,poet,has text,Text
http://en.wikipedia.org/wiki/Virgil,classic,has text,Text_creation
http://en.wikipedia.org/wiki/Middle_Ages,acclaimed in his lifetime as a classic author,has event,Time_vector
http://en.wikipedia.org/wiki/Virgil,as a classic author,has role,Judgment_communication
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,Virgil or Vergil,has theme,Simple_naming
http://en.wikipedia.org/wiki/Middle_Ages,alone,has person,People_by_vocation
http://en.wikipedia.org/wiki/Middle_Ages,authors,has author,Text_creation
http://en.wikipedia.org/wiki/Middle_Ages,modernity,has theme,Temporal_subregion
http://en.wikipedia.org/wiki/Virgil,rapidly,has degree,Take_place_of
http://en.wikipedia.org/wiki/Middle_Ages,Roman,has entity,Distinctiveness
http://en.wikipedia.org/wiki/Middle_Ages,Latin poet,has theme,Desirability
http://en.wikipedia.org/wiki/Appendix_Vergiliana,Some minor poems,has theme,Gathering_up
http://en.wikipedia.org/wiki/Middle_Ages,Roman,has purpose,Intentionally_act
http://en.wikipedia.org/wiki/Virgil,as a standard school text,has role,Take_place_of
http://en.wikipedia.org/wiki/Virgil,Ennius and other earlier authors,has theme,Take_place_of
http://en.wikipedia.org/wiki/T._S._Eliot,"subject "" What Is a Classic?",has theme,Education_teaching
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,English,has location,Simple_naming
http://en.wikipedia.org/wiki/T._S._Eliot,"lecture on the subject "" What Is a Classic?",has activity,Activity_start
http://en.wikipedia.org/wiki/Middle_Ages,classic,has theme,Type
http://en.wikipedia.org/wiki/Middle_Ages,Geoffrey Chaucer,has speaker,Statement
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,Publius Vergilius Maro  Classical Latin : publis wrlis maro ; 15 October 70 BC – 21 September 19 BC ,has author,Text
http://en.wikipedia.org/wiki/Latin,literature,has theme,Fields
http://en.wikipedia.org/wiki/Middle_Ages,authors,has theme,Relative_time
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,Augustan period,has theme,Text
http://en.wikipedia.org/wiki/Middle_Ages,earlier authors,has class,Increment
http://en.wikipedia.org/wiki/T._S._Eliot,famously,has theme,Activity_start
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,English,has location,Text
"http://en.wikipedia.org/wiki/Augusta,_Georgia",poems,has text,Text
http://en.wikipedia.org/wiki/Middle_Ages,antiquity,has theme,Temporal_subregion
"http://en.wikipedia.org/wiki/Augusta,_Georgia",exception of some short pieces,has theme,Likelihood
http://en.wikipedia.org/wiki/Virgil,confidently,has theme,Statement
http://en.wikipedia.org/wiki/Middle_Ages,House,has location,Statement
http://en.wikipedia.org/wiki/Middle_Ages,Western literature,has theme,Importance
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,http://en.wikipedia.org/wiki/Virgil,has evaluee,Judgment
"http://en.wikipedia.org/wiki/Augusta,_Georgia",times,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Middle_Ages,most,has degree,Desirability
http://en.wikipedia.org/wiki/T._S._Eliot,http://en.wikipedia.org/wiki/20th_century,has time,Activity_start
http://en.wikipedia.org/wiki/Virgil,major,has degree,Objective_influence
http://en.wikipedia.org/wiki/Virgil,as the author's guide through Hell and Purgatory,has theme,Conduct
"http://en.wikipedia.org/wiki/Augusta,_Georgia",these,has theme,Morality_evaluation
"http://en.wikipedia.org/wiki/Augusta,_Georgia",English,has location,Temporal_collocation
"http://en.wikipedia.org/wiki/Augusta,_Georgia",pieces,has theme,Part_piece
"http://en.wikipedia.org/wiki/Augusta,_Georgia",scholars,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Virgilius_Maro_Grammaticus,these,has item,Categorization
