Source,Target,Label,Frame
http://en.wikipedia.org/wiki/James_Baldwin,James Baldwin disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/United_States,writer,has entity,Origin
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,artists,has creator,Create_physical_artwork
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,that,has theme,Objective_influence
http://en.wikipedia.org/wiki/James_Baldwin,1955,has time,Fame
http://en.wikipedia.org/wiki/New_York_City,http://en.wikipedia.org/wiki/Harlem,has location,Age
http://en.wikipedia.org/wiki/James_Baldwin,"his essays, novels, plays, and poems",has reason,Judgment_communication
http://en.wikipedia.org/wiki/Beale_Street,2018 film,has entity,Being_named
http://en.wikipedia.org/wiki/Beale_Street,which,has theme,Judgment_communication
http://en.wikipedia.org/wiki/James_Baldwin,2016,has time,Text
http://en.wikipedia.org/wiki/James_Baldwin,same name,has theme,People
http://en.wikipedia.org/wiki/Beale_Street,name,has theme,Being_named
http://en.wikipedia.org/wiki/James_Baldwin,name,has theme,Being_named
http://en.wikipedia.org/wiki/James_Baldwin,novels,has text,Text
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,1953,has time,Occupy_rank
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,Son,has entity,Indigenous_origin
http://en.wikipedia.org/wiki/Beale_Street,same name,has product,Behind_the_scenes
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,His 1955 essay collection Notes of a Native Son,has theme,Assistance
http://en.wikipedia.org/wiki/James_Baldwin,1924,has time,Text
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,typically,has theme,Confronting_problem
http://en.wikipedia.org/wiki/BAFTA_Award_for_Best_Documentary,His unfinished manuscript Remember This House,has competitor,Win_prize
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,100 English-language novels,has item,Occupy_rank
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,1953,has time,Assessing
http://en.wikipedia.org/wiki/James_Baldwin,people,has person,People
http://en.wikipedia.org/wiki/Beale_Street,1903,has time,Separating
http://en.wikipedia.org/wiki/New_York_City,when she was 19 years old,has time,Arriving
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,essay,has text,Text
http://en.wikipedia.org/wiki/James_Baldwin,If Beale Street Could Talk,has text,Text
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,intricate narratives that influenced both the civil rights movement and the gay liberation movement in mid-twentieth century America,has theme,Intentionally_create
http://en.wikipedia.org/wiki/James_Baldwin,Go Tell It on the Mountain,has text,Text
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,as one of the top 100 English-language novels,has standard,Assessing
http://en.wikipedia.org/wiki/Beale_Street,His 1974 novel If Beale Street Could Talk,has patient,Cause_change_of_phase
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,His 1953 novel Go Tell It on the Mountain,has theme,Assessing
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,artists and writers,has theme,Objective_influence
http://en.wikipedia.org/wiki/James_Baldwin,"August 2, 1924",has time,Being_born
http://en.wikipedia.org/wiki/United_States,self- and social acceptance,has theme,Scrutiny
http://en.wikipedia.org/wiki/James_Baldwin,1953,has theme,Text
http://en.wikipedia.org/wiki/New_York_City,"Harlem, New York",has goal,Arriving
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,collection,has theme,Aggregate
http://en.wikipedia.org/wiki/MountainWest_Sports_Network,his reputation as a voice for human equality,has theme,Intentionally_create
http://en.wikipedia.org/wiki/Emma_Davies_(cyclist),Emma Jones,has person,Being_born
http://en.wikipedia.org/wiki/James_Baldwin,plays,has theme,Performing_arts
http://en.wikipedia.org/wiki/Beale_Street,http://en.wikipedia.org/wiki/Southern_United_States,has theme,Interior_profile_relation
http://en.wikipedia.org/wiki/James_Baldwin,Emma Berdis Jones,has theme,Being_born
http://en.wikipedia.org/wiki/Beale_Street,name,has type,Identicality
http://en.wikipedia.org/wiki/James_Baldwin,1974,has theme,Text
