subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Jane_Austen,Reliance:has_instrument,marriage,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Cotheme:has_theme,favourable social standing and economic security,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Being_at_risk:has_theme,economic,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Temporal_subregion:has_theme,end,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard_Bentley,Text:has_text,essays,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Text_creation:has_text,major novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Judgment_communication:has_reason,"Her use of social commentary, realism, wit, and irony",0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Temporal_collocation:has_theme,her nephew published A Memoir of Jane Austen,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard_Bentley,Importance:has_theme,transition in her reputation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard_Bentley,Text:has_text,anthologies,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Text:has_text,volumes,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Temporal_subregion:has_theme,18th century,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Publishing:has_time,until she was 35,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard_Bentley,Quantified_mass:has_theme,critical essays,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard_Bentley,Quantified_mass:has_quantity,number,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Text:has_theme,second half of the 18th century,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Judgment_communication:has_theme,amongst critics and scholars,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Part_whole:has_theme,transition to 19th-century literary realism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Temporal_collocation:has_theme,1869,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Text_creation:has_time,before the age of 22,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Text_creation:has_text,writings,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Text_creation:has_text,two other novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Text:has_author,Austen's,0.9,Unknown,True
http://en.wikipedia.org/wiki/Pride_and_Prejudice,Getting:has_theme,wide acclaim and popular readership,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard_Bentley,Event:has_event,significant transition in her reputation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Time_vector:has_event,Austen's novels have rarely been out of print,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard_Bentley,Removing:has_goal,Richard Bentley's Standard Novels series (illustrated by Ferdinand Pickering,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Text:has_text,Memoir,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Publishing:has_time,1817,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard_Bentley,Quantified_mass:has_theme,literary anthologies,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard_Bentley,Inclusion:has_theme,many literary anthologies,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard_Bentley,Undergo_change:has_entity,her reputation,0.9,Unknown,True
http://en.wikipedia.org/wiki/Richard_Bentley,Quantified_mass:has_quantity,many,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Part_whole:has_theme,Her works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Pride_and_Prejudice,Personal_success:has_theme,"anonymously published Sense and Sensibility (1811 ), Pride and Prejudice (1813 ), Mansfield Park (1814 ), and Emma (1816",0.9,Unknown,True
http://en.wikipedia.org/wiki/Jane_Austen,Part_whole:has_theme,18th century,0.9,Unknown,True
