Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Thomas_Hardy,child,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Thomas_Hardy,few English novels,has text,Text_creation
http://en.wikipedia.org/wiki/Thomas_Hardy,man,has entity,Age
http://en.wikipedia.org/wiki/Thomas_Hardy,http://en.wikipedia.org/wiki/George_Eliot,has theme,Personal_relationship
http://en.wikipedia.org/wiki/George_Eliot,uses,has class,Increment
http://en.wikipedia.org/wiki/Thomas_Hardy,"George Eliot married her long-time friend John Cross, a man much younger than she, and changed her name to Mary Ann Cross",has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Middlemarch,who,has theme,Death
http://en.wikipedia.org/wiki/The_Mill_on_the_Floss,March,has location,Kinship
http://en.wikipedia.org/wiki/George_Eliot,husband,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Jake_Jervis,children,has theme,Kinship
http://en.wikipedia.org/wiki/Thomas_Hardy,another,has theme,Increment
http://en.wikipedia.org/wiki/Thomas_Hardy,"George Eliot married her long-time friend John Cross, a man much younger than she, and changed her name to Mary Ann Cross",has event,Time_vector
http://en.wikipedia.org/wiki/The_Mill_on_the_Floss,local mill-owner,has theme,Kinship
http://en.wikipedia.org/wiki/Jake_Jervis,live with another man and have children with him,has theme,Abandonment
http://en.wikipedia.org/wiki/Freetown_Christiania,Pearson,has theme,Being_named
http://en.wikipedia.org/wiki/Middlemarch,March,has location,Death
http://en.wikipedia.org/wiki/George_Eliot,her name,has entity,Cause_change
http://en.wikipedia.org/wiki/Thomas_Hardy,English,has author,Text
http://en.wikipedia.org/wiki/Thomas_Hardy,March,has location,Completeness
http://en.wikipedia.org/wiki/Daniel_Deronda,novels,has text,Text
http://en.wikipedia.org/wiki/Thomas_Hardy,much younger than she,has age,People
http://en.wikipedia.org/wiki/Thomas_Hardy,grown-up people,has theme,Text_creation
http://en.wikipedia.org/wiki/Jake_Jervis,"his wife, Agnes Jervis",has theme,Personal_relationship
http://en.wikipedia.org/wiki/George_Eliot,George Eliot disambiguation,has theme,Reference_text
http://en.wikipedia.org/wiki/Thomas_Hardy,man,has class,Increment
http://en.wikipedia.org/wiki/Thomas_Hardy,siblings,has theme,Completeness
http://en.wikipedia.org/wiki/George_Eliot,siblings,has theme,Kinship
http://en.wikipedia.org/wiki/Thomas_Hardy,May 1880,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Thomas_Hardy,long-time,has theme,Personal_relationship
http://en.wikipedia.org/wiki/Thomas_Hardy,http://en.wikipedia.org/wiki/George_Eliot,has theme,Residence
http://en.wikipedia.org/wiki/George_Eliot,name,has theme,Being_named
http://en.wikipedia.org/wiki/Thomas_Hardy,March,has location,Quantified_mass
http://en.wikipedia.org/wiki/George_Eliot,provincial England,has theme,Departing
http://en.wikipedia.org/wiki/George_Eliot,March,has location,Kinship
http://en.wikipedia.org/wiki/The_Mill_on_the_Floss,brothers,has theme,Kinship
http://en.wikipedia.org/wiki/George_Eliot,brothers,has theme,Kinship
http://en.wikipedia.org/wiki/Thomas_Hardy,much,has degree,Age
http://en.wikipedia.org/wiki/Thomas_Hardy,few,has theme,Measure_duration
http://en.wikipedia.org/wiki/The_Mill_on_the_Floss,daughter,has theme,Kinship
http://en.wikipedia.org/wiki/George_Eliot,her husband,has theme,Simple_naming
http://en.wikipedia.org/wiki/Jake_Jervis,"married to his wife, Agnes Jervis",has state,State_continue
http://en.wikipedia.org/wiki/Thomas_Hardy,Jervis left him to live with another man and have children with him,has theme,Relative_time
http://en.wikipedia.org/wiki/George_Eliot,writers,has text,Text
http://en.wikipedia.org/wiki/Virginia_Woolf,novelist Virginia Woolf,has speaker,Statement
http://en.wikipedia.org/wiki/Thomas_Hardy,few,has quantity,Quantified_mass
http://en.wikipedia.org/wiki/Charles_Dickens,http://en.wikipedia.org/wiki/George_Eliot,has theme,Similarity
http://en.wikipedia.org/wiki/George_Eliot,uses,has goal,Purpose
http://en.wikipedia.org/wiki/Thomas_Hardy,"their realism, psychological insight, sense of place, and detailed depiction of the countryside",has reason,Fame
http://en.wikipedia.org/wiki/Freetown_Christiania,March,has location,Being_named
http://en.wikipedia.org/wiki/George_Eliot,third,has age,People_by_age
http://en.wikipedia.org/wiki/George_Eliot,her long-time friend John Cross,has theme,Forming_relationships
http://en.wikipedia.org/wiki/Daniel_Deronda,seven,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/George_Eliot,eighteen months after Lewes's death,has time,Forming_relationships
http://en.wikipedia.org/wiki/Thomas_Hardy,novels,has text,Text
http://en.wikipedia.org/wiki/George_Eliot,Victorian era,has theme,Text
http://en.wikipedia.org/wiki/Virginia_Woolf,http://en.wikipedia.org/wiki/Middlemarch,has theme,Statement
http://en.wikipedia.org/wiki/Freetown_Christiania,Christiana Evans,has entity,Being_named
http://en.wikipedia.org/wiki/Thomas_Hardy,Lewes's,has theme,Death
