subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Henrik_Ibsen,Buildings:has_theme,theatre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anton_Chekhov,Statement:has_message,and literature is my mistress,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henrik_Ibsen,Temporal_collocation:has_theme,no longer present,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anton_Chekhov,Cause_to_resume:has_time,1898,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henrik_Ibsen,Behind_the_scenes:has_time,subsequently,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henrik_Ibsen,Intentionally_act:has_theme,conventional,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anton_Chekhov,Intentionally_create:has_theme,formal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henrik_Ibsen,Temporal_subregion:has_theme,modernism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henrik_Ibsen,Cardinal_numbers:has_entity,plays,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henrik_Ibsen,Relative_time:has_theme,Chekhov renounced the theatre,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henrik_Ibsen,Creating:has_cause,plays that Chekhov wrote,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anton_Chekhov,Earnings_and_losses:has_theme,money,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henrik_Ibsen,Intentionally_act:has_act,action,0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Seagull,Coming_to_be:has_entity,modern short story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anton_Chekhov,Buildings:has_theme,house,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anton_Chekhov,Intentionally_create:has_theme,formal innovations that influenced the evolution of the modern short story,0.9,Unknown,True
http://en.wikipedia.org/wiki/Russia,Personal_relationship:has_theme,Medicine,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henrik_Ibsen,Temporal_collocation:has_theme,1896,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henrik_Ibsen,Money:has_theme,money,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henrik_Ibsen,Expansion:has_item,his artistic ambition,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anton_Chekhov,Text_creation:has_text,that,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anton_Chekhov,Regard:has_judgment,high,0.9,Unknown,True
http://en.wikipedia.org/wiki/Anton_Chekhov,Renunciation:has_time,after the reception of The Seagull in 1896,0.9,Unknown,True
http://en.wikipedia.org/wiki/Henrik_Ibsen,Temporal_collocation:has_theme,reception of The Seagull,0.9,Unknown,True
