Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Havana,family,has theme,Kinship
http://en.wikipedia.org/wiki/Machado,interlanguage,has type,Connectors
http://en.wikipedia.org/wiki/Havana,fully,has degree,Change_of_leadership
http://en.wikipedia.org/wiki/Machado,1908,has time,Being_named
http://en.wikipedia.org/wiki/Machado_de_Assis,never,has theme,Attending
http://en.wikipedia.org/wiki/Machado_de_Assis,"French, English, German and Greek",has theme,Education_teaching
http://en.wikipedia.org/wiki/Machado,starting point,has entity,Usefulness
http://en.wikipedia.org/wiki/Rio_de_Janeiro,poor family,has theme,Being_born
http://en.wikipedia.org/wiki/Machado,your translation,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Assis,paternal family,has entity,Being_named
http://en.wikipedia.org/wiki/Machado,2024,has time,Contacting
http://en.wikipedia.org/wiki/Portuguese_language,corresponding article in Portuguese,has theme,Translating
http://en.wikipedia.org/wiki/Machado,foreign-language article,has location,Supply
http://en.wikipedia.org/wiki/Machado_de_Assis,Wikipedia:Translation,has theme,Reference_text
http://en.wikipedia.org/wiki/Machado_de_Assis,guidance,has class,Increment
http://en.wikipedia.org/wiki/Rio_de_Janeiro,Morro do Livramento  pt ,has location,Being_born
http://en.wikipedia.org/wiki/Machado,Machine,has means,Translating
http://en.wikipedia.org/wiki/Brazil,edit summary accompanying your translation,has location,Supply
http://en.wikipedia.org/wiki/Brazil,interlanguage link to the source of your translation,has theme,Supply
http://en.wikipedia.org/wiki/Machado_de_Assis,1897,has time,Becoming
http://en.wikipedia.org/wiki/Machado,important translation instructions,has purpose,Contacting
http://en.wikipedia.org/wiki/Portuguese_language,1908,has time,Being_named
http://en.wikipedia.org/wiki/Portuguese_language,expand this article with text translated from the corresponding article in Portuguese,has goal,Assistance
http://en.wikipedia.org/wiki/Havana,poor,has theme,Kinship
http://en.wikipedia.org/wiki/Machado_de_Assis,he founded and became the first President of the Brazilian Academy of Letters,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Machado_de_Assis,Brazilian Academy of Letters,has theme,Leadership
http://en.wikipedia.org/wiki/Brazil,copyright attribution,has theme,Supply
http://en.wikipedia.org/wiki/Machado_de_Assis,schools,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Machado_de_Assis,1897,has time,Intentionally_create
http://en.wikipedia.org/wiki/Assis,1908,has time,Being_named
http://en.wikipedia.org/wiki/Machado_de_Assis,also add the template Translated,has theme,Possibility
http://en.wikipedia.org/wiki/Machado_de_Assis,himself,has student,Education_teaching
http://en.wikipedia.org/wiki/Machado,provide copyright attribution in the edit summary accompanying your translation by providing an interlanguage link to the source of your translation,has theme,Required_event
http://en.wikipedia.org/wiki/Machado,family,has entity,Being_named
http://en.wikipedia.org/wiki/Machado_de_Assis,university,has theme,Locale_by_use
http://en.wikipedia.org/wiki/Portuguese_language,name,has theme,Being_named
http://en.wikipedia.org/wiki/Brazil,providing an interlanguage link to the source of your translation,has means,Supply
http://en.wikipedia.org/wiki/Machado,1908,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Machado,family name,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Machado_de_Assis,later in life,has time,Education_teaching
http://en.wikipedia.org/wiki/Machado,edit summary,has theme,Cotheme
http://en.wikipedia.org/wiki/Havana,slavery,has theme,Change_of_leadership
http://en.wikipedia.org/wiki/Portuguese_language,text,has theme,Translating
http://en.wikipedia.org/wiki/Machado,translation instructions,has theme,Importance
http://en.wikipedia.org/wiki/Machado,maternal,has type,Being_named
http://en.wikipedia.org/wiki/Machado,translation,has information,Correctness
http://en.wikipedia.org/wiki/Machado,article,has text,Text
http://en.wikipedia.org/wiki/Machado_de_Assis,public schools,has location,Education_teaching
http://en.wikipedia.org/wiki/Machado,errors,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Machado,text,has theme,Give_impression
http://en.wikipedia.org/wiki/Portuguese_language,article,has text,Text
http://en.wikipedia.org/wiki/Brazil,translation,has text,Translating
http://en.wikipedia.org/wiki/Machado,link,has theme,Connectors
http://en.wikipedia.org/wiki/Machado_de_Assis,President of the Brazilian Academy of Letters,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Machado,text,has text,Text
http://en.wikipedia.org/wiki/Machado,source,has theme,Source_of_getting
http://en.wikipedia.org/wiki/Machado,your translation,has theme,Cotheme
http://en.wikipedia.org/wiki/Machado_de_Assis,university,has event,Attending
http://en.wikipedia.org/wiki/Machado,revise errors as necessary and confirm that the translation is accurate,has theme,Required_event
http://en.wikipedia.org/wiki/Machado_de_Assis,barely,has degree,Education_teaching
http://en.wikipedia.org/wiki/Portuguese_language,help expand this article with text translated from the corresponding article in Portuguese,has event,Capability
http://en.wikipedia.org/wiki/Machado_de_Assis,Brazilian Academy of Letters,has theme,Intentionally_create
http://en.wikipedia.org/wiki/Machado,foreign-language,has language,Text
http://en.wikipedia.org/wiki/Machado,references,has theme,Supply
http://en.wikipedia.org/wiki/Machado_de_Assis,first President of the Brazilian Academy of Letters,has theme,Becoming
