Source,Target,Label,Frame
http://en.wikipedia.org/wiki/World_War_I,poetry,has text,Text
http://en.wikipedia.org/wiki/Elijah_Cummings,http://en.wikipedia.org/wiki/E._E._Cummings,has author,Text
http://en.wikipedia.org/wiki/World_War_I,plays,has entity,Cardinal_numbers
http://en.wikipedia.org/wiki/World_War_I,as i—six nonlectures 1953,has time,Publishing
http://en.wikipedia.org/wiki/World_War_I,1965,has time,Duration_description
http://en.wikipedia.org/wiki/World_War_I,as various ways of stripping the film of familiarity from language to strip the film of familiarity from the world,has category,Categorization
http://en.wikipedia.org/wiki/The_Enormous_Room,"avant-garde, experimental poems",has theme,Cause_motion
http://en.wikipedia.org/wiki/World_War_I,Charles Eliot Norton Lectures in poetry,has work,Publishing
http://en.wikipedia.org/wiki/Elijah_Cummings,1962,has time,Reference_text
http://en.wikipedia.org/wiki/World_War_I,During World War I,has time,Being_employed
http://en.wikipedia.org/wiki/E._E._Cummings,http://en.wikipedia.org/wiki/United_States,has location,Text
http://en.wikipedia.org/wiki/World_War_I,20th,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Elijah_Cummings,1933,has time,Text_creation
http://en.wikipedia.org/wiki/United_States,poets,has entity,Origin
http://en.wikipedia.org/wiki/World_War_I,ways,has means,Means
http://en.wikipedia.org/wiki/World_War_I,poems,has text,Text
http://en.wikipedia.org/wiki/United_States,author,has author,Text
http://en.wikipedia.org/wiki/Elijah_Cummings,"Edward Estlin Cummings October 14, 1894 – September 3, 1962 ",has author,Text_creation
http://en.wikipedia.org/wiki/Randall_Jarrell,poet Randall Jarrell,has speaker,Statement
http://en.wikipedia.org/wiki/The_Enormous_Room,film of familiarity,has theme,Removing
http://en.wikipedia.org/wiki/World_War_I,poetic expression,has purpose,Using
http://en.wikipedia.org/wiki/World_War_I,short stories,has theme,Aggregate
http://en.wikipedia.org/wiki/The_Enormous_Room,"Charles Eliot Norton Lectures in poetry, published as i—six nonlectures 1953",has theme,Delivery
http://en.wikipedia.org/wiki/World_War_I,posthumously,has time,Publishing
http://en.wikipedia.org/wiki/World_War_I,1933,has time,Text
http://en.wikipedia.org/wiki/Elijah_Cummings,as e e cummings or E. E. Cummings,has theme,Being_named
http://en.wikipedia.org/wiki/World_War_I,1927,has time,Success_or_failure
http://en.wikipedia.org/wiki/The_Enormous_Room,world,has theme,Removing
http://en.wikipedia.org/wiki/Elijah_Cummings,http://en.wikipedia.org/wiki/E._E._Cummings,has agent,Labor_product
http://en.wikipedia.org/wiki/World_War_I,following,has theme,Calendric_unit
http://en.wikipedia.org/wiki/World_War_I,"have felt,",has theme,Give_impression
http://en.wikipedia.org/wiki/World_War_I,world,has theme,Political_locales
http://en.wikipedia.org/wiki/World_War_I,experiments with grammar and typography,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/United_States,world,has entity,Cause_change
http://en.wikipedia.org/wiki/Elijah_Cummings,http://en.wikipedia.org/wiki/E._E._Cummings,has author,Text_creation
http://en.wikipedia.org/wiki/World_War_I,Cummings's inventions,has item,Categorization
http://en.wikipedia.org/wiki/World_War_I,four plays,has agent,Success_or_failure
http://en.wikipedia.org/wiki/World_War_I,stripping the film of familiarity from language to strip the film of familiarity from the world,has purpose,Means
http://en.wikipedia.org/wiki/United_States,author,has entity,Origin
http://en.wikipedia.org/wiki/World_War_I,following year,has time,Publishing
http://en.wikipedia.org/wiki/World_War_I,as an ambulance driver,has position,Being_employed
http://en.wikipedia.org/wiki/World_War_I,poetry,has theme,Aggregate
http://en.wikipedia.org/wiki/World_War_I,"avant-garde, experimental poems so attractive to the general and the special reader",has theme,Intentionally_create
http://en.wikipedia.org/wiki/United_States,1962,has time,Origin
http://en.wikipedia.org/wiki/Elijah_Cummings,"four plays, the most successful of which were HIM 1927 and Santa Claus : A Morality 1946",has text,Text_creation
http://en.wikipedia.org/wiki/E._E._Cummings,1962,has time,Text
http://en.wikipedia.org/wiki/Elijah_Cummings,work,has theme,Labor_product
http://en.wikipedia.org/wiki/Elijah_Cummings,http://en.wikipedia.org/wiki/E._E._Cummings,has agent,Separating
