Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Wallace_Stevens,into a Lutheran family of Dutch and German descent,has theme,Being_born
http://en.wikipedia.org/wiki/The_Idea_of_Order_at_Key_West,Transport to Summer,has theme,Inclusion
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,poems,has text,Text
http://en.wikipedia.org/wiki/American_poetry,http://en.wikipedia.org/wiki/Wallace_Stevens,has theme,Subjective_influence
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,"son of a prosperous lawyer, Stevens",has agent,Attending
http://en.wikipedia.org/wiki/American_poetry,"Hartford, Connecticut",has location,Businesses
http://en.wikipedia.org/wiki/New_York_University,son,has theme,Kinship
http://en.wikipedia.org/wiki/New_York_University,1900,has time,Kinship
http://en.wikipedia.org/wiki/Susquehanna_River,president,has role,Leadership
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,1950,has time,Text
http://en.wikipedia.org/wiki/American_poetry,1923,has time,Relative_time
http://en.wikipedia.org/wiki/American_poetry,1923,has time,Frequency
http://en.wikipedia.org/wiki/Susquehanna_River,1709,has time,Colonization
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,http://en.wikipedia.org/wiki/Pulitzer_Prize_for_Poetry,has prize,Win_prize
http://en.wikipedia.org/wiki/Susquehanna_River,Harvard Advocate,has theme,Leadership
http://en.wikipedia.org/wiki/Susquehanna_River,non-degree,has skill,Education_teaching
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,http://en.wikipedia.org/wiki/Harvard_University,has event,Attending
http://en.wikipedia.org/wiki/Susquehanna_River,1977,has time,Duration_description
http://en.wikipedia.org/wiki/American_poetry,edition,has text,Text
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,her father's,has author,Text
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,period,has theme,Frequency
http://en.wikipedia.org/wiki/American_poetry,1923,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/Wallace_Stevens,1977,has time,Kinship
http://en.wikipedia.org/wiki/American_poetry,period,has theme,Frequency
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,Looking at a Blackbird,has purpose,Means
http://en.wikipedia.org/wiki/John_Zeller,maternal,has theme,Kinship
http://en.wikipedia.org/wiki/Wallace_Stevens,poems,has text,Text
http://en.wikipedia.org/wiki/American_poetry,poet,has entity,Origin
http://en.wikipedia.org/wiki/Susquehanna_River,student,has student,Education_teaching
http://en.wikipedia.org/wiki/The_Idea_of_Order_at_Key_West,Ideas of Order 1933 ,has theme,Process_start
http://en.wikipedia.org/wiki/New_York_University,1900,has time,People_by_vocation
http://en.wikipedia.org/wiki/Hollie_Stevens,when she posthumously reprinted her father's collected letters in 1977 for Knopf,has time,Memory
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,1950,has time,Relative_time
http://en.wikipedia.org/wiki/The_Idea_of_Order_at_Key_West,1933,has time,Process_start
http://en.wikipedia.org/wiki/Lutheranism,"http://en.wikipedia.org/wiki/Reading,_Berkshire",has location,Kinship
http://en.wikipedia.org/wiki/American_poetry,1955,has time,Origin
http://en.wikipedia.org/wiki/Lutheranism,Dutch and German descent,has theme,Kinship
http://en.wikipedia.org/wiki/American_poetry,1923,has time,Publishing
http://en.wikipedia.org/wiki/Boston,Stevens was personally introduced to the philosopher George Santayana while living in Boston and was strongly influenced by Santayana's book Interpretations of Poetry and Religion,has theme,Attributed_information
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,Key West,has location,Fields
http://en.wikipedia.org/wiki/New_York_University,lawyer,has person,People_by_vocation
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,1933,has time,Ordinal_numbers
http://en.wikipedia.org/wiki/The_Idea_of_Order_at_Key_West,His second period,has event,Process_start
http://en.wikipedia.org/wiki/American_poetry,strongly,has degree,Subjective_influence
http://en.wikipedia.org/wiki/Hollie_Stevens,her father's long dedication to Santayana,has theme,Memory
"http://en.wikipedia.org/wiki/Reading,_Berkshire",as an executive,has position,Being_employed
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,making art and poetry in particular,has activity,Craft
http://en.wikipedia.org/wiki/American_poetry,edition,has type,Ordinal_numbers
http://en.wikipedia.org/wiki/Wallace_Stevens,"Reading, Pennsylvania",has location,Being_born
http://en.wikipedia.org/wiki/Wallace_Stevens,1879,has time,Being_born
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,Ways,has means,Means
http://en.wikipedia.org/wiki/Wallace_Stevens,http://en.wikipedia.org/wiki/Alfred_A._Knopf,has goal,Removing
http://en.wikipedia.org/wiki/New_York_University,prosperous lawyer,has theme,Kinship
http://en.wikipedia.org/wiki/Seamus_Heaney_Collected_Poems,His Collected Poems 1954,has competitor,Win_prize
http://en.wikipedia.org/wiki/The_Emperor_of_Ice-Cream,1897 to 1900,has theme,Attending
http://en.wikipedia.org/wiki/Wallace_Stevens,1977,has time,Removing
http://en.wikipedia.org/wiki/Susquehanna_River,as a religious refugee,has purpose,Colonization
http://en.wikipedia.org/wiki/American_poetry,1923,has time,Process_start
"http://en.wikipedia.org/wiki/Reading,_Berkshire",http://en.wikipedia.org/wiki/Wallace_Stevens,has student,Education_teaching
http://en.wikipedia.org/wiki/American_poetry,http://en.wikipedia.org/wiki/Boston,has location,Subjective_influence
http://en.wikipedia.org/wiki/The_Auroras_of_Autumn,1950,has time,Publishing
http://en.wikipedia.org/wiki/American_poetry,Stevens's first period,has event,Process_start
http://en.wikipedia.org/wiki/American_poetry,publication of Harmonium 1923 ,has theme,Process_start
