subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,Personal_relationship:has_theme,Mercedes Barcha Pardo,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Text_creation:has_text,Spanish language,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,Kinship:has_time,1958,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Political_locales:has_time,1982,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Judgment_communication:has_theme,His works,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_time,1982,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Importance:has_theme,authors,0.9,Unknown,True
http://en.wikipedia.org/wiki/Colombia,Being_named:has_entity,paternal,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Cardinal_numbers:has_entity,sons,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Calendric_unit:has_theme,century,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Temporal_collocation:has_time,1958,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Hostile_encounter:has_time,1982,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Judgment_communication:has_theme,http://en.wikipedia.org/wiki/Gabriel_García_Márquez,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Temporal_collocation:has_theme,he married Mercedes Barcha Pardo,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Text_creation:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,Kinship:has_theme,sons,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Commerce_sell:has_time,1961,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,Fame:has_time,1961,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,Text:has_time,1961,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Duration_description:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Latin_America,Judgment_communication:has_theme,non-fiction works and short stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Gabriel_García_Márquez,Activity_start:has_role,as a journalist,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_theme,Nobel Prize in Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Colombia,Being_named:has_time,1927,0.9,Unknown,True
