subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Mo_Yan,Being_named:has_theme,pen name Mo Yan,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_theme,"his work as a writer "" who with hallucinatory realism merges folk tales, history and the contemporary",0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Being_employed:has_time,1973,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_recipient,Mo,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Ordinal_numbers:has_time,2009,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jim_Leach,Simple_naming:has_theme,Chinese answer to Franz Kafka or Joseph Heller,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Age:has_entity,Mo,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Being_named:has_entity,Guan Moye,0.9,Unknown,True
http://en.wikipedia.org/wiki/Western_world,Reading_perception:has_time,1986,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cultural_Revolution,Temporal_collocation:has_theme,close of the Cultural Revolution in 1976,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mao_Zedong,Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chinese_language,Being_named:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Hostile_encounter:has_theme,class,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Continued_state_of_affairs:has_time,1976,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Cause_change:has_entity,"Red Sorghum, the first two parts of which",0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Continued_state_of_affairs:has_theme,still,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cultural_Revolution,Temporal_collocation:has_theme,Mo enlisted in the People's Liberation Army (PLA ) and began writing while he was still a soldier,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Fame:has_time,1986,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Part_whole:has_theme,which,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Win_prize:has_location,http://en.wikipedia.org/wiki/Italy,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,People:has_person,folk,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Being_employed:has_employee,http://en.wikipedia.org/wiki/Mo_Yan,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Ordinal_numbers:has_type,recipient of the University of Oklahoma's Newman Prize for Chinese Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Being_born:has_theme,"into a peasant family in Ping'an Village, Gaomi Township, northeast of Shandong Province, the People's Republic of China",0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Quitting:has_purpose,work as a farmer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Chinese_language,Text_creation:has_time,1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Kinship:has_location,February,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Text_creation:has_author,writer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cultural_Revolution,Temporal_collocation:has_time,1976,0.9,Unknown,True
http://en.wikipedia.org/wiki/Donald_Morrison_(politician),Topic:has_theme,Donald Morrison of TIME,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Age:has_degree,youngest,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Behind_the_scenes:has_theme,Golden Bear -winning,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Activity_start:has_time,while he was still a soldier,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Being_born:has_location,February,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Age:has_age,11 years,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_theme,Nobel Prize in Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Member_of_military:has_time,1976,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Text_creation:has_location,Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Fame:has_degree,best,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Being_employed:has_position,as a farmer,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Text_creation:has_author,Mo,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Cause_change:has_time,1986,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Labor_product:has_time,2012,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Amalgamation:has_theme,"folk tales, history and the contemporary",0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Part_whole:has_time,1986,0.9,Unknown,True
http://en.wikipedia.org/wiki/Donald_Morrison_(politician),Topic:has_status,"as "" one of the most famous, oft-banned and widely pirated of all Chinese writers ",0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Processing_materials:has_theme,cotton oil,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_time,2009,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Frequency:has_theme,period,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,People:has_time,2012,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Age:has_theme,four children,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Amalgamation:has_theme,hallucinatory realism,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Ordinal_numbers:has_time,1986,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Labor_product:has_theme,work,0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Being_born:has_time,5 March 1955,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Kinship:has_theme,family,0.9,Unknown,True
http://en.wikipedia.org/wiki/Cultural_Revolution,Becoming_a_member:has_group,People's Liberation Army (PLA),0.9,Unknown,True
http://en.wikipedia.org/wiki/Mo_Yan,Kinship:has_theme,sister,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_theme,University of Oklahoma's Newman Prize for Chinese Literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Jim_Leach,Simple_naming:has_entity,http://en.wikipedia.org/wiki/Mo_Yan,0.9,Unknown,True
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Receiving:has_recipient,http://en.wikipedia.org/wiki/Mo_Yan,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Being_employed:has_theme,cotton oil processing factory,0.9,Unknown,True
http://en.wikipedia.org/wiki/Franz_Kafka,Political_locales:has_theme,cotton oil processing,0.9,Unknown,True
