Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Isla_Negra,just hours,has theme,Time_vector
http://en.wikipedia.org/wiki/Isla_Negra,1973,has time,Buildings
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,years,has theme,Cardinal_numbers
http://en.wikipedia.org/wiki/Pablo_Neruda,"September 1973, at the time of the coup d'état led by Augusto Pinochet that overthrew Allende's government",has time,Institutionalization
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,1949,has time,Escaping
http://en.wikipedia.org/wiki/Chile,"surrealist poems, historical epics, political manifestos, a prose autobiography, and passionate love poems such as the ones in his collection Twenty Love Poems and a Song of Despair 1924",has theme,Inclusion
http://en.wikipedia.org/wiki/Chile,13,has theme,Measure_duration
http://en.wikipedia.org/wiki/Chile,1924,has time,Inclusion
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,injecting him with an unknown substance for the purpose of murdering him on Pinochet's orders,has theme,Suspicion
http://en.wikipedia.org/wiki/Isla_Negra,http://en.wikipedia.org/wiki/Pablo_Neruda,has theme,Death
http://en.wikipedia.org/wiki/Chile,maternal,has entity,Being_named
http://en.wikipedia.org/wiki/Isla_Negra,1973,has time,Time_vector
http://en.wikipedia.org/wiki/Chile,epics,has text,Text
http://en.wikipedia.org/wiki/Gabriel_González_Videla,http://en.wikipedia.org/wiki/Chile,has location,Leadership
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,years,has theme,Measure_duration
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,http://en.wikipedia.org/wiki/Pablo_Neruda,has reader,Reading_activity
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,1904,has time,Being_born
http://en.wikipedia.org/wiki/Chile,1924,has time,Product_line
http://en.wikipedia.org/wiki/Pablo_Neruda,after accepting his Nobel Prize in Stockholm,has time,Motion
http://en.wikipedia.org/wiki/Isla_Negra,hospital,has theme,Departing
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,unknown substance,has theme,Filling
http://en.wikipedia.org/wiki/Salvador_Allende,http://en.wikipedia.org/wiki/Stockholm,has location,Leadership
http://en.wikipedia.org/wiki/Chile,1924,has time,Temporal_collocation
http://en.wikipedia.org/wiki/Pablo_Neruda,many diplomatic positions in various countries,has location,Residence
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,http://en.wikipedia.org/wiki/Pablo_Neruda,has recipient,Receiving
http://en.wikipedia.org/wiki/Pablo_Neruda,http://en.wikipedia.org/wiki/Chile,has goal,Arriving
http://en.wikipedia.org/wiki/Nobel_Prize_in_Literature,Ricardo Eliécer Neftal Reyes Basoalto,has person,Being_born
http://en.wikipedia.org/wiki/Chile,1924,has time,Measure_duration
http://en.wikipedia.org/wiki/Chile,surname,has theme,First_experience
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,doctor,has agent,Filling
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,September,has location,Filling
http://en.wikipedia.org/wiki/Communist_Party_of_Chile,http://en.wikipedia.org/wiki/Pablo_Neruda,has theme,Killing
