Source,Target,Label,Frame
http://en.wikipedia.org/wiki/Trojan_War,poems,has text,Text
http://en.wikipedia.org/wiki/Iliad,article,has text,Text
http://en.wikipedia.org/wiki/Ancient_Greek,literature,has text,Text
http://en.wikipedia.org/wiki/Iliad,2025,has time,Quantified_mass
http://en.wikipedia.org/wiki/Trojan_War,year,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Trojan_War,originally,has time,Transfer
http://en.wikipedia.org/wiki/Anno_Domini,"as the author of the Iliad and the Odyssey, two epic poems that are foundational works of ancient Greek literature",has behavior,Praiseworthiness
http://en.wikipedia.org/wiki/Ancient_Greek,poet,has text,Text
http://en.wikipedia.org/wiki/Trojan_War,through the punishment of the gods,has problem,Resolve_problem
http://en.wikipedia.org/wiki/Homeric_Greek,language,has theme,Fields
http://en.wikipedia.org/wiki/Trojan_War,http://en.wikipedia.org/wiki/Homeric_Greek,has location,Cause_to_perceive
http://en.wikipedia.org/wiki/Trojan_War,instances,has theme,Instance
http://en.wikipedia.org/wiki/Trojan_War,that,has agent,Cause_to_perceive
http://en.wikipedia.org/wiki/Iliad,quarrel between King Agamemnon and the warrior Achilles during the last year of the Trojan War,has theme,Emphasizing
http://en.wikipedia.org/wiki/Ithaca,after the fall of Troy,has time,Travel
http://en.wikipedia.org/wiki/Anno_Domini,his authorship,has theme,Certainty
http://en.wikipedia.org/wiki/Iliad,talk page,has location,Existence
http://en.wikipedia.org/wiki/Iliad,readers,has reader,Reading_perception
http://en.wikipedia.org/wiki/Trojan_War,last,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Homer,one of the most influential authors in history,has category,Categorization
http://en.wikipedia.org/wiki/Iliad,discussion about this,has theme,Spatial_contact
http://en.wikipedia.org/wiki/Iliad,here,has goal,Redirecting
http://en.wikipedia.org/wiki/Homeric_Greek,centuries,has type,Identicality
http://en.wikipedia.org/wiki/Trojan_War,that the poems were originally transmitted orally,has theme,Certainty
http://en.wikipedia.org/wiki/Ithaca,"Odysseus, king of Ithaca",has traveler,Travel
http://en.wikipedia.org/wiki/Homeric_Greek,influence,has theme,Dominate_situation
http://en.wikipedia.org/wiki/Trojan_War,predominantly,has degree,Fame
http://en.wikipedia.org/wiki/Anno_Domini,who,has author,Text_creation
http://en.wikipedia.org/wiki/Trojan_War,http://en.wikipedia.org/wiki/Ithaca,has theme,Leadership
http://en.wikipedia.org/wiki/Trojan_War,their tragic and serious themes,has reason,Fame
http://en.wikipedia.org/wiki/Trojan_War,Trojan War,has theme,Calendric_unit
http://en.wikipedia.org/wiki/Trojan_War,culture and education,has entity,Origin
http://en.wikipedia.org/wiki/Homeric_Greek,poems,has entity,Being_named
http://en.wikipedia.org/wiki/Iliad,Several terms,has cause,Redirecting
http://en.wikipedia.org/wiki/Iliad,be confusing or unclear to readers,has theme,Likelihood
http://en.wikipedia.org/wiki/Iliad,author,has author,Text_creation
http://en.wikipedia.org/wiki/Anno_Domini,poems,has text,Text
http://en.wikipedia.org/wiki/Anno_Domini,foundational,has theme,Labor_product
http://en.wikipedia.org/wiki/Greece,who,has teacher,Education_teaching
http://en.wikipedia.org/wiki/Iliad,terms,has theme,Quantified_mass
http://en.wikipedia.org/wiki/Trojan_War,Greek culture and education,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Trojan_War,epics,has text,Text
http://en.wikipedia.org/wiki/Anno_Domini,Greek literature,has theme,Temporal_collocation
http://en.wikipedia.org/wiki/Homeric_Greek,poems,has text,Text
http://en.wikipedia.org/wiki/Ithaca,ten-year,has theme,Travel
http://en.wikipedia.org/wiki/Iliad,talk page,has theme,Spatial_contact
http://en.wikipedia.org/wiki/Trojan_War,comedy and laughter,has type,Instance
http://en.wikipedia.org/wiki/Trojan_War,mixture of features of the Ionic and Aeolic dialects from different centuries,has theme,Cause_to_perceive
http://en.wikipedia.org/wiki/Homeric_Greek,Eastern Ionic,has theme,Objective_influence
http://en.wikipedia.org/wiki/Trojan_War,researchers,has person,People_by_vocation
http://en.wikipedia.org/wiki/Iliad,clarify the article,has goal,Assistance
http://en.wikipedia.org/wiki/Trojan_War,Odysseus,has agent,Resolve_problem
http://en.wikipedia.org/wiki/Iliad,talk page,has location,Discussion
http://en.wikipedia.org/wiki/Ancient_Greek,poet,has entity,Origin
http://en.wikipedia.org/wiki/Iliad,this,has theme,Discussion
http://en.wikipedia.org/wiki/Anno_Domini,authors,has entity,Subjective_influence
http://en.wikipedia.org/wiki/Homer,instances of comedy and laughter,has theme,Inclusion
http://en.wikipedia.org/wiki/Trojan_War,home,has theme,Buildings
http://en.wikipedia.org/wiki/Anno_Domini,ancient Greek literature,has theme,Labor_product
http://en.wikipedia.org/wiki/Iliad,2025,has time,Redirecting
http://en.wikipedia.org/wiki/Iliad,this message,has theme,Removing
http://en.wikipedia.org/wiki/Homer,"Homer disambiguation , Homerus disambiguation , and Homeric disambiguation ",has theme,Reference_text
http://en.wikipedia.org/wiki/Iliad,2025,has time,Removing
http://en.wikipedia.org/wiki/Homer,poems,has text,Text
http://en.wikipedia.org/wiki/Trojan_War,gods,has theme,Rewards_and_punishments
http://en.wikipedia.org/wiki/Anno_Domini,http://en.wikipedia.org/wiki/Homer,has leader,Leadership
http://en.wikipedia.org/wiki/Iliad,discussion about this,has entity,Existence
http://en.wikipedia.org/wiki/Homer,Homeric poems,has theme,Inclusion
http://en.wikipedia.org/wiki/Iliad,how and when to remove this message,has skill,Education_teaching
http://en.wikipedia.org/wiki/Trojan_War,orally,has theme,Transfer
http://en.wikipedia.org/wiki/Homeric_Greek,ancient Greek culture and education,has entity,Distinctiveness
http://en.wikipedia.org/wiki/Anno_Domini,Greek poet,has event,Time_vector
http://en.wikipedia.org/wiki/Ancient_Greek,literature,has entity,Origin
http://en.wikipedia.org/wiki/Anno_Domini,"Iliad and the Odyssey, two epic poems that are foundational works of ancient Greek literature",has text,Text_creation
http://en.wikipedia.org/wiki/Anno_Domini,works,has theme,Labor_product
http://en.wikipedia.org/wiki/Homeric_Greek,predominant,has degree,Objective_influence
http://en.wikipedia.org/wiki/Trojan_War,Most researchers,has theme,Certainty
