subject,predicate,object,confidence,source_sentence,extractable
http://en.wikipedia.org/wiki/Raymond_F._Chandler,Text:has_time,1939,0.9,Unknown,True
http://en.wikipedia.org/wiki/Humphrey_Bogart,Coincidence:has_theme,possess elements of mystery,0.9,Unknown,True
http://en.wikipedia.org/wiki/Black_Mask_(magazine),Text:has_theme,pulp,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_Marlowe,Similarity:has_theme,Hammett's Sam Spade,0.9,Unknown,True
http://en.wikipedia.org/wiki/Raymond_F._Chandler,Text:has_time,1933,0.9,Unknown,True
http://en.wikipedia.org/wiki/Black_Mask_(magazine),Publishing:has_location,"Black Mask, a pulp magazine",0.9,Unknown,True
http://en.wikipedia.org/wiki/The_Simple_Art_of_Murder,Fields:has_activity,Simple Art of Murder,0.9,Unknown,True
http://en.wikipedia.org/wiki/Humphrey_Bogart,Text:has_theme,mainstream,0.9,Unknown,True
http://en.wikipedia.org/wiki/Raymond_Chandler,Judgment_communication:has_theme,detective fiction,0.9,Unknown,True
http://en.wikipedia.org/wiki/Black_Mask_(magazine),Text:has_text,novels,0.9,Unknown,True
http://en.wikipedia.org/wiki/Robert_B._Parker,Leadership:has_theme,Mystery Writers of America,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Text:has_text,literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Temporal_collocation:has_theme,1932,0.9,Unknown,True
http://en.wikipedia.org/wiki/Black_Mask_(magazine),Ordinal_numbers:has_time,1939,0.9,Unknown,True
http://en.wikipedia.org/wiki/Black_Mask_(magazine),Duration_description:has_theme,stories,0.9,Unknown,True
http://en.wikipedia.org/wiki/Humphrey_Bogart,Possession:has_theme,elements of mystery,0.9,Unknown,True
http://en.wikipedia.org/wiki/Black_Mask_(magazine),Ordinal_numbers:has_time,1933,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Locale_by_use:has_theme,hardboiled,0.9,Unknown,True
http://en.wikipedia.org/wiki/Humphrey_Bogart,Ordinal_numbers:has_theme,qualify as a serious and significant mainstream novel that just happened to possess elements of mystery,0.9,Unknown,True
http://en.wikipedia.org/wiki/Dashiell_Hammett,Categorization:has_item,"Philip Marlowe, like Hammett's Sam Spade",0.9,Unknown,True
http://en.wikipedia.org/wiki/Raymond_Chandler,Finish_competition:has_time,during the Great Depression,0.9,Unknown,True
http://en.wikipedia.org/wiki/Humphrey_Bogart,Publishing:has_work,Hammett's The Glass Key,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Substance:has_time,1932,0.9,Unknown,True
http://en.wikipedia.org/wiki/Black_Mask_(magazine),Time_vector:has_theme,before,0.9,Unknown,True
http://en.wikipedia.org/wiki/Humphrey_Bogart,Publishing:has_time,more than twenty years earlier,0.9,Unknown,True
http://en.wikipedia.org/wiki/Raymond_F._Chandler,Intentionally_create:has_creator,http://en.wikipedia.org/wiki/Raymond_Chandler,0.9,Unknown,True
http://en.wikipedia.org/wiki/Humphrey_Bogart,People_by_vocation:has_theme,Crime Writers'Association,0.9,Unknown,True
http://en.wikipedia.org/wiki/Humphrey_Bogart,Text:has_text,anthology,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Businesses:has_business,company,0.9,Unknown,True
http://en.wikipedia.org/wiki/United_States,Businesses:has_product,oil,0.9,Unknown,True
http://en.wikipedia.org/wiki/Philip_Marlowe,Categorization:has_item,whom,0.9,Unknown,True
http://en.wikipedia.org/wiki/Raymond_Chandler,Objective_influence:has_theme,American popular literature,0.9,Unknown,True
http://en.wikipedia.org/wiki/Black_Mask_(magazine),Text:has_text,magazine,0.9,Unknown,True
http://en.wikipedia.org/wiki/Black_Mask_(magazine),Time_vector:has_event,year,0.9,Unknown,True
